frequency	elided_form	expanded_form	presentation_form	turns
135	δ’	δέ	δέ	urn:cts:greekLit:tlg0085.tlg006.fu.sp:4.1.text.token.3,urn:cts:greekLit:tlg0085.tlg006.fu.sp:26.1.text.token.3,urn:cts:greekLit:tlg0085.tlg006.fu.sp:27.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:47.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:55.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:59.1.text.token.6,urn:cts:greekLit:tlg0085.tlg006.fu.sp:61.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:63.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:65.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:68.1.text.token.3,urn:cts:greekLit:tlg0085.tlg006.fu.sp:71.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:75.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:82.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:123.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:133.1.text.token.7,urn:cts:greekLit:tlg0085.tlg006.fu.sp:136.1.text.token.7,urn:cts:greekLit:tlg0085.tlg006.fu.sp:138.1.text.token.3,urn:cts:greekLit:tlg0085.tlg006.fu.sp:142.1.text.token.8,urn:cts:greekLit:tlg0085.tlg006.fu.sp:184.1.text.token.4,urn:cts:greekLit:tlg0085.tlg006.fu.sp:192.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:194.1.text.token.5,urn:cts:greekLit:tlg0085.tlg006.fu.sp:211.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:226.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:231.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:239.1.text.token.4,urn:cts:greekLit:tlg0085.tlg006.fu.sp:243.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:249.1.text.token.5,urn:cts:greekLit:tlg0085.tlg006.fu.sp:262.1.text.token.5,urn:cts:greekLit:tlg0085.tlg006.fu.sp:276.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:279.1.text.token.6,urn:cts:greekLit:tlg0085.tlg006.fu.sp:294.1.text.token.5,urn:cts:greekLit:tlg0085.tlg006.fu.sp:295.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:320.1.text.token.4,urn:cts:greekLit:tlg0085.tlg006.fu.sp:326.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:327.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:328.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:336.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:338.1.text.token.6,urn:cts:greekLit:tlg0085.tlg006.fu.sp:367.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:385.1.text.token.4,urn:cts:greekLit:tlg0085.tlg006.fu.sp:398.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:415.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:418.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:420.1.text.token.5,urn:cts:greekLit:tlg0085.tlg006.fu.sp:425.1.text.token.3,urn:cts:greekLit:tlg0085.tlg006.fu.sp:427.1.text.token.5,urn:cts:greekLit:tlg0085.tlg006.fu.sp:435.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:437.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:440.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:445.1.text.token.6,urn:cts:greekLit:tlg0085.tlg006.fu.sp:447.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:454.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:455.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:457.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:465.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:490.1.text.token.5,urn:cts:greekLit:tlg0085.tlg006.fu.sp:492.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:493.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:506.1.text.token.4,urn:cts:greekLit:tlg0085.tlg006.fu.sp:512.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:514.1.text.token.4,urn:cts:greekLit:tlg0085.tlg006.fu.sp:517.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:519.1.text.token.4,urn:cts:greekLit:tlg0085.tlg006.fu.sp:522.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:535.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:536.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:546.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:547.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:549.1.text.token.5,urn:cts:greekLit:tlg0085.tlg006.fu.sp:552.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:552.1.text.token.6,urn:cts:greekLit:tlg0085.tlg006.fu.sp:571.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:577.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:581.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:583.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:599.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:602.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:623.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:629.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:635.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:639.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:646.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:647.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:648.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:660.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:661.1.text.token.4,urn:cts:greekLit:tlg0085.tlg006.fu.sp:664.1.text.token.5,urn:cts:greekLit:tlg0085.tlg006.fu.sp:672.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:675.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:690.1.text.token.6,urn:cts:greekLit:tlg0085.tlg006.fu.sp:698.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:704.1.text.token.4,urn:cts:greekLit:tlg0085.tlg006.fu.sp:709.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:727.1.text.token.4,urn:cts:greekLit:tlg0085.tlg006.fu.sp:731.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:733.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:749.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:758.1.text.token.6,urn:cts:greekLit:tlg0085.tlg006.fu.sp:764.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:782.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:794.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:796.1.text.token.5,urn:cts:greekLit:tlg0085.tlg006.fu.sp:811.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:815.1.text.token.3,urn:cts:greekLit:tlg0085.tlg006.fu.sp:816.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:818.1.text.token.3,urn:cts:greekLit:tlg0085.tlg006.fu.sp:826.1.text.token.3,urn:cts:greekLit:tlg0085.tlg006.fu.sp:836.1.text.token.7,urn:cts:greekLit:tlg0085.tlg006.fu.sp:841.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:857.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:868.1.text.token.4,urn:cts:greekLit:tlg0085.tlg006.fu.sp:880.1.text.token.3,urn:cts:greekLit:tlg0085.tlg006.fu.sp:885.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:892.1.text.token.6,urn:cts:greekLit:tlg0085.tlg006.fu.sp:895.1.text.token.4,urn:cts:greekLit:tlg0085.tlg006.fu.sp:896.1.text.token.7,urn:cts:greekLit:tlg0085.tlg006.fu.sp:901.1.text.token.5,urn:cts:greekLit:tlg0085.tlg006.fu.sp:907.1.text.token.6,urn:cts:greekLit:tlg0085.tlg006.fu.sp:937.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:939.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:946.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:948.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:960.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:969.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:980.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:991.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:993.1.text.token.5,urn:cts:greekLit:tlg0085.tlg006.fu.sp:1020.2.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:1020.2.text.token.8,urn:cts:greekLit:tlg0085.tlg006.fu.sp:1026.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:1032.1.text.token.4,urn:cts:greekLit:tlg0085.tlg006.fu.sp:1042.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:1061.1.text.token.8,urn:cts:greekLit:tlg0085.tlg006.fu.sp:1071.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:1073.1.text.token.2
34	τ’	τε	τε	urn:cts:greekLit:tlg0085.tlg006.fu.sp:2.1.text.token.6,urn:cts:greekLit:tlg0085.tlg006.fu.sp:41.1.text.token.3,urn:cts:greekLit:tlg0085.tlg006.fu.sp:103.1.text.token.5,urn:cts:greekLit:tlg0085.tlg006.fu.sp:128.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:130.1.text.token.7,urn:cts:greekLit:tlg0085.tlg006.fu.sp:131.1.text.token.3,urn:cts:greekLit:tlg0085.tlg006.fu.sp:141.1.text.token.5,urn:cts:greekLit:tlg0085.tlg006.fu.sp:154.1.text.token.7,urn:cts:greekLit:tlg0085.tlg006.fu.sp:161.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:163.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:206.1.text.token.4,urn:cts:greekLit:tlg0085.tlg006.fu.sp:208.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:228.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:252.1.text.token.5,urn:cts:greekLit:tlg0085.tlg006.fu.sp:283.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:293.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:300.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:349.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:388.1.text.token.4,urn:cts:greekLit:tlg0085.tlg006.fu.sp:523.1.text.token.10,urn:cts:greekLit:tlg0085.tlg006.fu.sp:538.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:587.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:630.1.text.token.3,urn:cts:greekLit:tlg0085.tlg006.fu.sp:671.1.text.token.4,urn:cts:greekLit:tlg0085.tlg006.fu.sp:800.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:817.1.text.token.3,urn:cts:greekLit:tlg0085.tlg006.fu.sp:831.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:834.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:851.1.text.token.3,urn:cts:greekLit:tlg0085.tlg006.fu.sp:962.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:962a.text.token.3,urn:cts:greekLit:tlg0085.tlg006.fu.sp:977.1.text.token.4,urn:cts:greekLit:tlg0085.tlg006.fu.sp:1000.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:1003.1.text.token.5
23	ἀλλ’	ἀλλά	ἀλλά	urn:cts:greekLit:tlg0085.tlg006.fu.sp:189.1.text.token.1,urn:cts:greekLit:tlg0085.tlg006.fu.sp:197.1.text.token.1,urn:cts:greekLit:tlg0085.tlg006.fu.sp:201.1.text.token.1,urn:cts:greekLit:tlg0085.tlg006.fu.sp:220.1.text.token.1,urn:cts:greekLit:tlg0085.tlg006.fu.sp:222.1.text.token.1,urn:cts:greekLit:tlg0085.tlg006.fu.sp:306.1.text.token.1,urn:cts:greekLit:tlg0085.tlg006.fu.sp:340.1.text.token.1,urn:cts:greekLit:tlg0085.tlg006.fu.sp:473.1.text.token.3,urn:cts:greekLit:tlg0085.tlg006.fu.sp:540.1.text.token.1,urn:cts:greekLit:tlg0085.tlg006.fu.sp:594.1.text.token.1,urn:cts:greekLit:tlg0085.tlg006.fu.sp:710.1.text.token.1,urn:cts:greekLit:tlg0085.tlg006.fu.sp:747.1.text.token.1,urn:cts:greekLit:tlg0085.tlg006.fu.sp:771.1.text.token.1,urn:cts:greekLit:tlg0085.tlg006.fu.sp:774.1.text.token.1,urn:cts:greekLit:tlg0085.tlg006.fu.sp:775.1.text.token.1,urn:cts:greekLit:tlg0085.tlg006.fu.sp:781.1.text.token.1,urn:cts:greekLit:tlg0085.tlg006.fu.sp:838.1.text.token.6,urn:cts:greekLit:tlg0085.tlg006.fu.sp:877.1.text.token.5,urn:cts:greekLit:tlg0085.tlg006.fu.sp:918.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:985.1.text.token.4,urn:cts:greekLit:tlg0085.tlg006.fu.sp:1021.1.text.token.1,urn:cts:greekLit:tlg0085.tlg006.fu.sp:1044.1.text.token.1,urn:cts:greekLit:tlg0085.tlg006.fu.sp:1063.1.text.token.1
12	τόδ’		τόδ’	urn:cts:greekLit:tlg0085.tlg006.fu.sp:47.1.text.token.4,urn:cts:greekLit:tlg0085.tlg006.fu.sp:60.1.text.token.1,urn:cts:greekLit:tlg0085.tlg006.fu.sp:170.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:193.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:439.1.text.token.6,urn:cts:greekLit:tlg0085.tlg006.fu.sp:655.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:673.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:704.1.text.token.8,urn:cts:greekLit:tlg0085.tlg006.fu.sp:825.1.text.token.6,urn:cts:greekLit:tlg0085.tlg006.fu.sp:841.1.text.token.6,urn:cts:greekLit:tlg0085.tlg006.fu.sp:1011.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:1038.1.text.token.2
12	ἐπ’	ἐπί	ἐπί	urn:cts:greekLit:tlg0085.tlg006.fu.sp:4.1.text.token.4,urn:cts:greekLit:tlg0085.tlg006.fu.sp:9.1.text.token.5,urn:cts:greekLit:tlg0085.tlg006.fu.sp:149.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:404.1.text.token.3,urn:cts:greekLit:tlg0085.tlg006.fu.sp:415.1.text.token.4,urn:cts:greekLit:tlg0085.tlg006.fu.sp:627.1.text.token.1,urn:cts:greekLit:tlg0085.tlg006.fu.sp:628.1.text.token.1,urn:cts:greekLit:tlg0085.tlg006.fu.sp:721.1.text.token.3,urn:cts:greekLit:tlg0085.tlg006.fu.sp:739.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:764.1.text.token.3,urn:cts:greekLit:tlg0085.tlg006.fu.sp:863.1.text.token.5,urn:cts:greekLit:tlg0085.tlg006.fu.sp:991.1.text.token.3
9	τῶνδ’		τῶνδ’	urn:cts:greekLit:tlg0085.tlg006.fu.sp:37.1.text.token.5,urn:cts:greekLit:tlg0085.tlg006.fu.sp:91.1.text.token.1,urn:cts:greekLit:tlg0085.tlg006.fu.sp:105.1.text.token.6,urn:cts:greekLit:tlg0085.tlg006.fu.sp:338.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:472.1.text.token.1,urn:cts:greekLit:tlg0085.tlg006.fu.sp:638.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:847.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:873.1.text.token.3,urn:cts:greekLit:tlg0085.tlg006.fu.sp:980.1.text.token.5
8	σ’	σε	σε	urn:cts:greekLit:tlg0085.tlg006.fu.sp:217.1.text.token.4,urn:cts:greekLit:tlg0085.tlg006.fu.sp:224.1.text.token.5,urn:cts:greekLit:tlg0085.tlg006.fu.sp:318.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:334.1.text.token.3,urn:cts:greekLit:tlg0085.tlg006.fu.sp:551.1.text.token.4,urn:cts:greekLit:tlg0085.tlg006.fu.sp:908.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:914.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:1063.1.text.token.5
8	τάδ’	τάδε	τάδε	urn:cts:greekLit:tlg0085.tlg006.fu.sp:97.1.text.token.3,urn:cts:greekLit:tlg0085.tlg006.fu.sp:192.1.text.token.6,urn:cts:greekLit:tlg0085.tlg006.fu.sp:568.1.text.token.4,urn:cts:greekLit:tlg0085.tlg006.fu.sp:709.1.text.token.6,urn:cts:greekLit:tlg0085.tlg006.fu.sp:823.1.text.token.7,urn:cts:greekLit:tlg0085.tlg006.fu.sp:856.1.text.token.1,urn:cts:greekLit:tlg0085.tlg006.fu.sp:979.1.text.token.5,urn:cts:greekLit:tlg0085.tlg006.fu.sp:1040.1.text.token.1
8	θ’	τε	τε	urn:cts:greekLit:tlg0085.tlg006.fu.sp:209.1.text.token.3,urn:cts:greekLit:tlg0085.tlg006.fu.sp:337.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:502.1.text.token.4,urn:cts:greekLit:tlg0085.tlg006.fu.sp:582.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:833.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:865.1.text.token.3,urn:cts:greekLit:tlg0085.tlg006.fu.sp:1015.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:1036.1.text.token.2
7	μ’	με	με	urn:cts:greekLit:tlg0085.tlg006.fu.sp:45.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:77.1.text.token.4,urn:cts:greekLit:tlg0085.tlg006.fu.sp:277.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:415.1.text.token.8,urn:cts:greekLit:tlg0085.tlg006.fu.sp:463.1.text.token.2,urn:cts:greekLit:tlg0085.tlg006.fu.sp:913.1.text.token.3,urn:cts:greekLit:tlg0085.tlg006.fu.sp:1034.1.text.token.4
