form	token_urn	expanded_form	presentation_form
Μοῖρ’	urn:cts:greekLit:tlg0085.tlg007.fu.sp:335.1.text.token1		Μοῖρ’
Φοῖβ’	urn:cts:greekLit:tlg0085.tlg007.fu.sp:744.1.text.token2		Φοῖβ’
αἵδ’	urn:cts:greekLit:tlg0085.tlg007.fu.sp:360.1.text.token2		αἵδ’
αἷμ’	urn:cts:greekLit:tlg0085.tlg007.fu.sp:647.1.text.token4		αἷμ’
αἷμ’	urn:cts:greekLit:tlg0085.tlg007.fu.sp:653.1.text.token3		αἷμ’
αὐχοῦντ’	urn:cts:greekLit:tlg0085.tlg007.fu.sp:561.1.text.token3		αὐχοῦντ’
βιβῶντ’	urn:cts:greekLit:tlg0085.tlg007.fu.sp:76.1.text.token1		βιβῶντ’
γένοιθ’	urn:cts:greekLit:tlg0085.tlg007.fu.sp:212.1.text.token3		γένοιθ’
γένοιτ’	urn:cts:greekLit:tlg0085.tlg007.fu.sp:284.1.text.token4		γένοιτ’
γένοιτ’	urn:cts:greekLit:tlg0085.tlg007.fu.sp:584.1.text.token1		γένοιτ’
γένοιτ’	urn:cts:greekLit:tlg0085.tlg007.fu.sp:663.1.text.token4		γένοιτ’
γ’	urn:cts:greekLit:tlg0085.tlg007.fu.sp:258.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0085.tlg007.fu.sp:435.1.text.token6	γε	γε
γ’	urn:cts:greekLit:tlg0085.tlg007.fu.sp:596.1.text.token3	γε	γε
δεῖπν’	urn:cts:greekLit:tlg0085.tlg007.fu.sp:108.1.text.token3		δεῖπν’
δεῦρ’	urn:cts:greekLit:tlg0085.tlg007.fu.sp:482.1.text.token4	δεῦρο	δεῦρο
δεῦρ’	urn:cts:greekLit:tlg0085.tlg007.fu.sp:1041.1.text.token1	δεῦρο	δεῦρο
διχοστατοῦντ’	urn:cts:greekLit:tlg0085.tlg007.fu.sp:386.1.text.token3		διχοστατοῦντ’
διώκουσ’	urn:cts:greekLit:tlg0085.tlg007.fu.sp:251.1.text.token2		διώκουσ’
διώκουσ’	urn:cts:greekLit:tlg0085.tlg007.fu.sp:403.1.text.token2		διώκουσ’
δι’	urn:cts:greekLit:tlg0085.tlg007.fu.sp:75.1.text.token5	διά	διά
δι’	urn:cts:greekLit:tlg0085.tlg007.fu.sp:563.1.text.token1	διά	διά
δι’	urn:cts:greekLit:tlg0085.tlg007.fu.sp:981.1.text.token1	διά	διά
δυσπήμαντ’	urn:cts:greekLit:tlg0085.tlg007.fu.sp:481.1.text.token3		δυσπήμαντ’
δέξαιτ’	urn:cts:greekLit:tlg0085.tlg007.fu.sp:429.1.text.token4		δέξαιτ’
δύσοισθ’	urn:cts:greekLit:tlg0085.tlg007.fu.sp:790.1.text.token1		δύσοισθ’
δύσοισθ’	urn:cts:greekLit:tlg0085.tlg007.fu.sp:820.1.text.token1		δύσοισθ’
δώματ’	urn:cts:greekLit:tlg0085.tlg007.fu.sp:654.1.text.token4		δώματ’
δῆτ’	urn:cts:greekLit:tlg0085.tlg007.fu.sp:399.1.text.token2	δῆτα	δῆτα
δ’	urn:cts:greekLit:tlg0085.tlg007.fu.sp:7.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0085.tlg007.fu.sp:8.1.text.token5	δέ	δέ
