’	'	ἒ	e)\	urn:cite2:hmt:lsj.chicago_md:n29854	x--------
’	'	ἒ	e)\	urn:cite2:hmt:lsj.chicago_md:n29856	x--------
Αἰγέως	*ai)ge/ws	Αἰγίς	*ai)gi/s	urn:cite2:hmt:lsj.chicago_md:n2177	n-s---fg-
Αἰγέως	*ai)ge/ws	αἴγεος	ai)/geos	urn:cite2:hmt:lsj.chicago_md:n2131	x--------
Αἰγέως	*ai)ge/ws	αἴγεος	ai)/geos	urn:cite2:hmt:lsj.chicago_md:n2131	a-p---ma-
Βρόμιος	*bro/mios	Βρόμιος	*bro/mios	urn:cite2:hmt:lsj.chicago_md:n21020	a-s---mn-
Βρόμιος	*bro/mios	Βρόμιος	*bro/mios	urn:cite2:hmt:lsj.chicago_md:n21020	n-s---mn-
Βρόμιος	*bro/mios	βρόμιος	bro/mios	urn:cite2:hmt:lsj.chicago_md:n21020	a-s---mn-
Γαῖαν	*gai=an	Γαῖα	*gai=a	urn:cite2:hmt:lsj.chicago_md:n21401	n-s---fa-
Γαῖαν	*gai=an	γαῖα	gai=a	urn:cite2:hmt:lsj.chicago_md:n21401	n-s---fa-
Γοργείοισιν	*gorgei/oisin	Γόργειος	*go/rgeios	urn:cite2:hmt:lsj.chicago_md:n22676	a-p---md-
Γοργείοισιν	*gorgei/oisin	Γόργειος	*go/rgeios	urn:cite2:hmt:lsj.chicago_md:n22676	a-p---nd-
Γοργόνας	*gorgo/nas	Γοργόνη	*gorgo/nh	urn:cite2:hmt:lsj.chicago_md:n22684	n-p---fa-
Γοργόνας	*gorgo/nas	Γοργόνη	*gorgo/nh	urn:cite2:hmt:lsj.chicago_md:n22684	n-s---fg-
Δελφός	*delfo/s	Δελφός	*delfo/s	urn:cite2:hmt:lsj.chicago_md:n24004	n-s---mn-
Δηλίαν	*dhli/an	Δήλιος	*dh/lios	urn:cite2:hmt:lsj.chicago_md:n24334	a-s---fa-
Διός	*dio/s	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mg-
Δία	*di/a	Δίον	*di/on	urn:cite2:hmt:lsj.chicago_md:n27197	n-p---nn-
Δία	*di/a	Δίον	*di/on	urn:cite2:hmt:lsj.chicago_md:n27198	n-p---nn-
Δία	*di/a	Δίον	*di/on	urn:cite2:hmt:lsj.chicago_md:n27197	n-p---nv-
Δία	*di/a	Δίον	*di/on	urn:cite2:hmt:lsj.chicago_md:n27198	n-p---nv-
Δία	*di/a	Δίον	*di/on	urn:cite2:hmt:lsj.chicago_md:n27197	n-p---na-
Δία	*di/a	Δίον	*di/on	urn:cite2:hmt:lsj.chicago_md:n27198	n-p---na-
Δία	*di/a	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---ma-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27293	a-d---fn-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27294	a-d---fn-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27293	a-d---fv-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27294	a-d---fv-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27293	a-d---fa-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27294	a-d---fa-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27293	a-s---fn-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27294	a-s---fn-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27293	a-s---fv-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27294	a-s---fv-
Δίκας	*di/kas	Δίκη	*di/kh	urn:cite2:hmt:lsj.chicago_md:n26943	n-p---fa-
Δίκας	*di/kas	Δίκη	*di/kh	urn:cite2:hmt:lsj.chicago_md:n26943	n-s---fg-
Δίκας	*di/kas	δίκη	di/kh	urn:cite2:hmt:lsj.chicago_md:n26943	n-p---fa-
Δίκας	*di/kas	δίκη	di/kh	urn:cite2:hmt:lsj.chicago_md:n26943	n-s---fg-
Ζεύς	*zeu/s	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mn-
Ζηνί	*zhni/	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---md-
Ζηνός	*zhno/s	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mg-
Θησέως	*qhse/ws	Θησεύς	*qhseu/s	urn:cite2:hmt:lsj.chicago_md:n48835	n-s---mg-
Θησέως	*qhse/ws	Θησεύς	*qhseu/s	urn:cite2:hmt:lsj.chicago_md:n48835	n-s---mg-
Θησέως	*qhse/ws	Θησεύς	*qhseu/s	urn:cite2:hmt:lsj.chicago_md:n48835	n-s---mn-
Θέμιν	*qe/min	Θέμις	*qe/mis	urn:cite2:hmt:lsj.chicago_md:n48121	n-s---fa-
Θέμιν	*qe/min	Θέμις	*qe/mis	urn:cite2:hmt:lsj.chicago_md:n48121	n-s---fa-
Θέμιν	*qe/min	Θέμις	*qe/mis	urn:cite2:hmt:lsj.chicago_md:n48121	n-s---fa-
Θέμιν	*qe/min	θέμις	qe/mis	urn:cite2:hmt:lsj.chicago_md:n48121	n-s---fa-
Θέμιν	*qe/min	θέμις	qe/mis	urn:cite2:hmt:lsj.chicago_md:n48121	n-s---fa-
Θέμιν	*qe/min	θέμις	qe/mis	urn:cite2:hmt:lsj.chicago_md:n48121	n-s---fa-
Κραναοῦ	*kranaou=	Κραναός	*kranao/s	urn:cite2:hmt:lsj.chicago_md:n59625	n-s---mg-
Κραναοῦ	*kranaou=	κραναός	kranao/s	urn:cite2:hmt:lsj.chicago_md:n59625	a-s---mg-
Κραναοῦ	*kranaou=	κραναός	kranao/s	urn:cite2:hmt:lsj.chicago_md:n59625	a-s---ng-
Κρόνον	*kro/non	Κρόνος	*kro/nos	urn:cite2:hmt:lsj.chicago_md:n60131	n-s---ma-
Κρόνον	*kro/non	Κρόνος	*kro/nos	urn:cite2:hmt:lsj.chicago_md:n60132	n-s---ma-
Κρόνον	*kro/non	κρόνος	kro/nos	urn:cite2:hmt:lsj.chicago_md:n60131	n-s---ma-
Κρόνον	*kro/non	κρόνος	kro/nos	urn:cite2:hmt:lsj.chicago_md:n60132	n-s---ma-
Κωρυκίς	*kwruki/s	Κωρύκιος	*kwru/kios	urn:cite2:hmt:lsj.chicago_md:n61392	n-s---fn-
Κωρυκίς	*kwruki/s	Κωρυκίς	*kwruki/s	urn:cite2:hmt:lsj.chicago_md:n61393	n-s---fn-
Κωρυκίς	*kwruki/s	Κωρυκίς	*kwruki/s	urn:cite2:hmt:lsj.chicago_md:n61394	n-s---fn-
Κωρυκίς	*kwruki/s	κωρυκίς	kwruki/s	urn:cite2:hmt:lsj.chicago_md:n61393	n-s---fn-
Κωρυκίς	*kwruki/s	κωρυκίς	kwruki/s	urn:cite2:hmt:lsj.chicago_md:n61394	n-s---fn-
Κύπρις	*ku/pris	Κύπρις	*ku/pris	urn:cite2:hmt:lsj.chicago_md:n61013	n-s---fn-
Λατοῦς	*latou=s	Λητώ	*lhtw/	urn:cite2:hmt:lsj.chicago_md:n63003	n-p---fn-
Λατοῦς	*latou=s	Λητώ	*lhtw/	urn:cite2:hmt:lsj.chicago_md:n63003	n-p---fv-
Λατοῦς	*latou=s	Λητώ	*lhtw/	urn:cite2:hmt:lsj.chicago_md:n63003	n-s---fg-
Λατοῦς	*latou=s	Λητώ	*lhtw/	urn:cite2:hmt:lsj.chicago_md:n63003	n-p---fv-
Λιβυστικοῖς	*libustikoi=s	Λίβυς	*li/bus	urn:cite2:hmt:lsj.chicago_md:n63067	a-p---md-
Λιβυστικοῖς	*libustikoi=s	Λίβυς	*li/bus	urn:cite2:hmt:lsj.chicago_md:n63067	a-p---nd-
Λιβυστικοῖς	*libustikoi=s	Λιβυστικόν	*libustiko/n	urn:cite2:hmt:lsj.chicago_md:n63068	n-p---nd-
Λοξίας	*loci/as	Λοξίας	*loci/as	urn:cite2:hmt:lsj.chicago_md:n63862	n-p---ma-
Λοξίας	*loci/as	Λοξίας	*loci/as	urn:cite2:hmt:lsj.chicago_md:n63862	n-s---mn-
Λοξίου	*loci/ou	Λοξίας	*loci/as	urn:cite2:hmt:lsj.chicago_md:n63862	n-s---mg-
Λοξίᾳ	*loci/a|	Λοξίας	*loci/as	urn:cite2:hmt:lsj.chicago_md:n63862	n-p---mn-
Λοξίᾳ	*loci/a|	Λοξίας	*loci/as	urn:cite2:hmt:lsj.chicago_md:n63862	n-p---mv-
Λοξίᾳ	*loci/a|	Λοξίας	*loci/as	urn:cite2:hmt:lsj.chicago_md:n63862	n-s---md-
Μοίρας	*moi/ras	Μοῖρα	*moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-p---fa-
Μοίρας	*moi/ras	Μοῖρα	*moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-s---fg-
Μοίρας	*moi/ras	μοῖρα	moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-p---fa-
Μοίρας	*moi/ras	μοῖρα	moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-s---fg-
Μοίρας	*moi/ras	μοῖρα	moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-p---fa-
Μοίρας	*moi/ras	μοῖρα	moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-s---fg-
Μοίρας	*moi/ras	μοιράω	moira/w	urn:cite2:hmt:lsj.chicago_md:n68268	v2spia---
Μοίρας	*moi/ras	μοιράω	moira/w	urn:cite2:hmt:lsj.chicago_md:n68268	v2siia---
Μοῖραι	*moi=rai	Μοῖρα	*moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-p---fn-
Μοῖραι	*moi=rai	Μοῖρα	*moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-p---fv-
Μοῖραι	*moi=rai	μοῖρα	moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-p---fn-
Μοῖραι	*moi=rai	μοῖρα	moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-p---fv-
Μοῖραι	*moi=rai	μοῖρα	moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-p---fn-
Μοῖραι	*moi=rai	μοῖρα	moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-p---fv-
Μοῖρά	*moi=ra/	Μοῖρα	*moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-s---fn-
Μοῖρά	*moi=ra/	Μοῖρα	*moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-s---fv-
Μοῖρά	*moi=ra/	μοῖρα	moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-s---fn-
Μοῖρά	*moi=ra/	μοῖρα	moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-s---fv-
Μοῖρ’	*moi=r'	Μοῖρα	*moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-s---fn-
Μοῖρ’	*moi=r'	Μοῖρα	*moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-s---fv-
Μοῖρ’	*moi=r'	Μοῖρα	*moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-p---fn-
Μοῖρ’	*moi=r'	Μοῖρα	*moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-p---fv-
Μοῖρ’	*moi=r'	Μοῖρις	*moi=ris	urn:cite2:hmt:lsj.chicago_md:n68274	n-s---fv-
Μοῖρ’	*moi=r'	μοῖρα	moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-s---fn-
Μοῖρ’	*moi=r'	μοῖρα	moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-s---fv-
Μοῖρ’	*moi=r'	μοῖρα	moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-p---fn-
Μοῖρ’	*moi=r'	μοῖρα	moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-p---fv-
