frequency	elided_form	expanded_form	presentation_form	turns
121	δ’	δέ	δέ	urn:cts:greekLit:tlg0085.tlg002.fu.sp:13.1.text.token.4,urn:cts:greekLit:tlg0085.tlg002.fu.sp:19.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:33.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:41.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:49.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:52.1.text.token.6,urn:cts:greekLit:tlg0085.tlg002.fu.sp:73.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:81.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:87.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:100.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:107.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:125.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:133.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:135.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:152.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:161.1.text.token.7,urn:cts:greekLit:tlg0085.tlg002.fu.sp:168.1.text.token.8,urn:cts:greekLit:tlg0085.tlg002.fu.sp:183.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:186.1.text.token.4,urn:cts:greekLit:tlg0085.tlg002.fu.sp:189.1.text.token.6,urn:cts:greekLit:tlg0085.tlg002.fu.sp:190.1.text.token.5,urn:cts:greekLit:tlg0085.tlg002.fu.sp:194.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:197.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:198.1.text.token.6,urn:cts:greekLit:tlg0085.tlg002.fu.sp:201.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:206.1.text.token.4,urn:cts:greekLit:tlg0085.tlg002.fu.sp:209.1.text.token.4,urn:cts:greekLit:tlg0085.tlg002.fu.sp:211.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:214.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:218.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:220.1.text.token.8,urn:cts:greekLit:tlg0085.tlg002.fu.sp:228.1.text.token.7,urn:cts:greekLit:tlg0085.tlg002.fu.sp:230.1.text.token.8,urn:cts:greekLit:tlg0085.tlg002.fu.sp:252.1.text.token.5,urn:cts:greekLit:tlg0085.tlg002.fu.sp:254.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:261.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:278.1.text.token.7,urn:cts:greekLit:tlg0085.tlg002.fu.sp:293.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:294.1.text.token.5,urn:cts:greekLit:tlg0085.tlg002.fu.sp:330.1.text.token.3,urn:cts:greekLit:tlg0085.tlg002.fu.sp:340.1.text.token.4,urn:cts:greekLit:tlg0085.tlg002.fu.sp:342.1.text.token.6,urn:cts:greekLit:tlg0085.tlg002.fu.sp:361.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:374.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:381.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:389.1.text.token.5,urn:cts:greekLit:tlg0085.tlg002.fu.sp:395.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:400.1.text.token.5,urn:cts:greekLit:tlg0085.tlg002.fu.sp:409.1.text.token.4,urn:cts:greekLit:tlg0085.tlg002.fu.sp:411.1.text.token.5,urn:cts:greekLit:tlg0085.tlg002.fu.sp:414.1.text.token.3,urn:cts:greekLit:tlg0085.tlg002.fu.sp:415.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:419.1.text.token.5,urn:cts:greekLit:tlg0085.tlg002.fu.sp:422.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:424.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:426.1.text.token.6,urn:cts:greekLit:tlg0085.tlg002.fu.sp:453.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:462.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:465.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:478.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:482.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:484.1.text.token.5,urn:cts:greekLit:tlg0085.tlg002.fu.sp:495.1.text.token.5,urn:cts:greekLit:tlg0085.tlg002.fu.sp:506.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:513.1.text.token.6,urn:cts:greekLit:tlg0085.tlg002.fu.sp:521.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:537.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:541.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:551.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:561.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:564.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:568.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:572.1.text.token.4,urn:cts:greekLit:tlg0085.tlg002.fu.sp:579.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:584.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:595.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:601.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:605.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:621.1.text.token.5,urn:cts:greekLit:tlg0085.tlg002.fu.sp:645.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:649.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:654.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:655.1.text.token.5,urn:cts:greekLit:tlg0085.tlg002.fu.sp:684.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:688.1.text.token.6,urn:cts:greekLit:tlg0085.tlg002.fu.sp:691.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:692.1.text.token.4,urn:cts:greekLit:tlg0085.tlg002.fu.sp:695.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:701.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:706.1.text.token.4,urn:cts:greekLit:tlg0085.tlg002.fu.sp:707.1.text.token.8,urn:cts:greekLit:tlg0085.tlg002.fu.sp:717.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:732.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:744.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:754.1.text.token.5,urn:cts:greekLit:tlg0085.tlg002.fu.sp:755.1.text.token.7,urn:cts:greekLit:tlg0085.tlg002.fu.sp:756.1.text.token.5,urn:cts:greekLit:tlg0085.tlg002.fu.sp:766.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:768.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:778.1.text.token.7,urn:cts:greekLit:tlg0085.tlg002.fu.sp:782.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:802.1.text.token.10,urn:cts:greekLit:tlg0085.tlg002.fu.sp:805.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:811.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:832.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:839.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:846.1.text.token.4,urn:cts:greekLit:tlg0085.tlg002.fu.sp:861.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:864.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:904.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:922.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:1001.1.text.token.4,urn:cts:greekLit:tlg0085.tlg002.fu.sp:1014.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:1016.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:1030.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:1034.1.text.token.4,urn:cts:greekLit:tlg0085.tlg002.fu.sp:1038.1.text.token.7,urn:cts:greekLit:tlg0085.tlg002.fu.sp:1052.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:1058.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:1060.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:1064.1.text.token.2
49	τ’	τε	τε	urn:cts:greekLit:tlg0085.tlg002.fu.sp:26.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:32.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:37.1.text.token.5,urn:cts:greekLit:tlg0085.tlg002.fu.sp:40.1.text.token.3,urn:cts:greekLit:tlg0085.tlg002.fu.sp:42.1.text.token.4,urn:cts:greekLit:tlg0085.tlg002.fu.sp:44.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:54.1.text.token.5,urn:cts:greekLit:tlg0085.tlg002.fu.sp:56.1.text.token.3,urn:cts:greekLit:tlg0085.tlg002.fu.sp:63.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:76.1.text.token.4,urn:cts:greekLit:tlg0085.tlg002.fu.sp:99.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:185.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:193.1.text.token.3,urn:cts:greekLit:tlg0085.tlg002.fu.sp:229.1.text.token.5,urn:cts:greekLit:tlg0085.tlg002.fu.sp:306.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:321.1.text.token.4,urn:cts:greekLit:tlg0085.tlg002.fu.sp:375.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:375.1.text.token.6,urn:cts:greekLit:tlg0085.tlg002.fu.sp:421.1.text.token.5,urn:cts:greekLit:tlg0085.tlg002.fu.sp:425.1.text.token.4,urn:cts:greekLit:tlg0085.tlg002.fu.sp:442.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:443.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:460.1.text.token.5,urn:cts:greekLit:tlg0085.tlg002.fu.sp:491.1.text.token.4,urn:cts:greekLit:tlg0085.tlg002.fu.sp:494.1.text.token.7,urn:cts:greekLit:tlg0085.tlg002.fu.sp:563.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:580.1.text.token.3,urn:cts:greekLit:tlg0085.tlg002.fu.sp:607.1.text.token.5,urn:cts:greekLit:tlg0085.tlg002.fu.sp:611.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:612.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:616.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:629.1.text.token.7,urn:cts:greekLit:tlg0085.tlg002.fu.sp:665.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:710.1.text.token.3,urn:cts:greekLit:tlg0085.tlg002.fu.sp:775.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:779.1.text.token.3,urn:cts:greekLit:tlg0085.tlg002.fu.sp:871.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:875.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:903.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:920.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:954.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:960.1.text.token.6,urn:cts:greekLit:tlg0085.tlg002.fu.sp:968.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:972.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:983.1.text.token.4,urn:cts:greekLit:tlg0085.tlg002.fu.sp:994.1.text.token.3,urn:cts:greekLit:tlg0085.tlg002.fu.sp:995.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:998.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:1020.1.text.token.2
18	ἀλλ’	ἀλλά	ἀλλά	urn:cts:greekLit:tlg0085.tlg002.fu.sp:140.1.text.token.1,urn:cts:greekLit:tlg0085.tlg002.fu.sp:150.1.text.token.1,urn:cts:greekLit:tlg0085.tlg002.fu.sp:179.1.text.token.1,urn:cts:greekLit:tlg0085.tlg002.fu.sp:246.1.text.token.1,urn:cts:greekLit:tlg0085.tlg002.fu.sp:345.1.text.token.1,urn:cts:greekLit:tlg0085.tlg002.fu.sp:394.1.text.token.1,urn:cts:greekLit:tlg0085.tlg002.fu.sp:526.1.text.token.1,urn:cts:greekLit:tlg0085.tlg002.fu.sp:619.1.text.token.1,urn:cts:greekLit:tlg0085.tlg002.fu.sp:697.1.text.token.1,urn:cts:greekLit:tlg0085.tlg002.fu.sp:703.1.text.token.1,urn:cts:greekLit:tlg0085.tlg002.fu.sp:716.1.text.token.3,urn:cts:greekLit:tlg0085.tlg002.fu.sp:742.1.text.token.1,urn:cts:greekLit:tlg0085.tlg002.fu.sp:781.1.text.token.1,urn:cts:greekLit:tlg0085.tlg002.fu.sp:795.1.text.token.1,urn:cts:greekLit:tlg0085.tlg002.fu.sp:796.1.text.token.1,urn:cts:greekLit:tlg0085.tlg002.fu.sp:815.1.text.token.3,urn:cts:greekLit:tlg0085.tlg002.fu.sp:837.1.text.token.1,urn:cts:greekLit:tlg0085.tlg002.fu.sp:849.1.text.token.1
13	θ’	τε	τε	urn:cts:greekLit:tlg0085.tlg002.fu.sp:29.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:31.1.text.token.5,urn:cts:greekLit:tlg0085.tlg002.fu.sp:63.1.text.token.4,urn:cts:greekLit:tlg0085.tlg002.fu.sp:84.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:322.1.text.token.5,urn:cts:greekLit:tlg0085.tlg002.fu.sp:343.1.text.token.5,urn:cts:greekLit:tlg0085.tlg002.fu.sp:379.1.text.token.5,urn:cts:greekLit:tlg0085.tlg002.fu.sp:494.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:625.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:681.1.text.token.5,urn:cts:greekLit:tlg0085.tlg002.fu.sp:811.1.text.token.6,urn:cts:greekLit:tlg0085.tlg002.fu.sp:879.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:890.1.text.token.4
12	τόδ’		τόδ’	urn:cts:greekLit:tlg0085.tlg002.fu.sp:110.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:140.1.text.token.6,urn:cts:greekLit:tlg0085.tlg002.fu.sp:173.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:259.1.text.token.1,urn:cts:greekLit:tlg0085.tlg002.fu.sp:431.1.text.token.3,urn:cts:greekLit:tlg0085.tlg002.fu.sp:435.1.text.token.3,urn:cts:greekLit:tlg0085.tlg002.fu.sp:723.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:761.1.text.token.1,urn:cts:greekLit:tlg0085.tlg002.fu.sp:766.1.text.token.5,urn:cts:greekLit:tlg0085.tlg002.fu.sp:777.1.text.token.6,urn:cts:greekLit:tlg0085.tlg002.fu.sp:784.1.text.token.4,urn:cts:greekLit:tlg0085.tlg002.fu.sp:1045.1.text.token.4
11	ἐπ’	ἐπί	ἐπί	urn:cts:greekLit:tlg0085.tlg002.fu.sp:191.1.text.token.5,urn:cts:greekLit:tlg0085.tlg002.fu.sp:411.1.text.token.3,urn:cts:greekLit:tlg0085.tlg002.fu.sp:436.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:493.1.text.token.4,urn:cts:greekLit:tlg0085.tlg002.fu.sp:506.1.text.token.3,urn:cts:greekLit:tlg0085.tlg002.fu.sp:525.1.text.token.4,urn:cts:greekLit:tlg0085.tlg002.fu.sp:659.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:667.1.text.token.4,urn:cts:greekLit:tlg0085.tlg002.fu.sp:943.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:964.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:966.1.text.token.2
10	γ’	γε	γε	urn:cts:greekLit:tlg0085.tlg002.fu.sp:168.1.text.token.4,urn:cts:greekLit:tlg0085.tlg002.fu.sp:209.1.text.token.7,urn:cts:greekLit:tlg0085.tlg002.fu.sp:226.1.text.token.4,urn:cts:greekLit:tlg0085.tlg002.fu.sp:260.1.text.token.3,urn:cts:greekLit:tlg0085.tlg002.fu.sp:286.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:738.1.text.token.7,urn:cts:greekLit:tlg0085.tlg002.fu.sp:739.1.text.token.4,urn:cts:greekLit:tlg0085.tlg002.fu.sp:1023.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:1035.1.text.token.3,urn:cts:greekLit:tlg0085.tlg002.fu.sp:1044.1.text.token.2
9	τάδ’	τάδε	τάδε	urn:cts:greekLit:tlg0085.tlg002.fu.sp:170.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:730.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:741.1.text.token.4,urn:cts:greekLit:tlg0085.tlg002.fu.sp:744.1.text.token.4,urn:cts:greekLit:tlg0085.tlg002.fu.sp:750.1.text.token.6,urn:cts:greekLit:tlg0085.tlg002.fu.sp:785.1.text.token.6,urn:cts:greekLit:tlg0085.tlg002.fu.sp:803.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:905.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:1059.1.text.token.2
9	ἠδ’		ἠδ’	urn:cts:greekLit:tlg0085.tlg002.fu.sp:16.1.text.token.4,urn:cts:greekLit:tlg0085.tlg002.fu.sp:21.1.text.token.3,urn:cts:greekLit:tlg0085.tlg002.fu.sp:22.1.text.token.3,urn:cts:greekLit:tlg0085.tlg002.fu.sp:26.1.text.token.3,urn:cts:greekLit:tlg0085.tlg002.fu.sp:289.1.text.token.3,urn:cts:greekLit:tlg0085.tlg002.fu.sp:535.1.text.token.4,urn:cts:greekLit:tlg0085.tlg002.fu.sp:959.1.text.token.10,urn:cts:greekLit:tlg0085.tlg002.fu.sp:972.1.text.token.3,urn:cts:greekLit:tlg0085.tlg002.fu.sp:995.1.text.token.3
8	οὐδ’	οὐδέ	οὐδέ	urn:cts:greekLit:tlg0085.tlg002.fu.sp:242.1.text.token.5,urn:cts:greekLit:tlg0085.tlg002.fu.sp:429.1.text.token.5,urn:cts:greekLit:tlg0085.tlg002.fu.sp:586.1.text.token.1,urn:cts:greekLit:tlg0085.tlg002.fu.sp:588.1.text.token.1,urn:cts:greekLit:tlg0085.tlg002.fu.sp:591.1.text.token.1,urn:cts:greekLit:tlg0085.tlg002.fu.sp:738.1.text.token.9,urn:cts:greekLit:tlg0085.tlg002.fu.sp:796.1.text.token.2,urn:cts:greekLit:tlg0085.tlg002.fu.sp:866.1.text.token.1
