frequency	elided_form	expanded_form	presentation_form	turns
91	δ’	δέ	δέ	urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:14.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:16.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:22.1.text.token4,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:33.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:67.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:79.1.text.token5,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:125.1.text.token5,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:134.1.text.token1,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:135.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:145.1.text.token1,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:158.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:163.1.text.token8,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:182.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:184.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:193.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:228.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:237.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:240.1.text.token6,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:241.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:262.1.text.token4,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:264.1.text.token4,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:313.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:322.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:323.1.text.token4,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:329.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:336.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:358.1.text.token3,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:368.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:375.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:400.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:407.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:433.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:452.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:454.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:467.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:473.1.text.token4,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:508.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:514.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:522.1.text.token6,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:589.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:628.1.text.token6,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:631.1.text.token5,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:634.1.text.token3,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:651.1.text.token5,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:658.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:661.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:663.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:674.1.text.token4,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:680.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:681.1.text.token6,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:683.1.text.token6,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:709.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:717.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:729.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:733.1.text.token6,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:734.1.text.token4,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:739.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:743.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:755.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:759.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:766.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:782.1.text.token8,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:798.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:802.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:816.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:824.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:828.1.text.token3,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:844.1.text.token3,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:853.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:856.1.text.token4,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:879.1.text.token5,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:882.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:901.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:910.1.text.token7,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:929.1.text.token5,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:932.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:933.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:935.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:938.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:951.1.text.token8,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:973.1.text.token6,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:1014.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:1019.1.text.token5,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:1025.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:1044.1.text.token6,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:1046.1.text.token5,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:1075.1.text.token7,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:1082.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:1083.1.text.token4,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:1085.1.text.token4,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:1088.1.text.token2
28	τ’	τε	τε	urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:67.1.text.token7,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:98.1.text.token7,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:172.1.text.token3,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:174.1.text.token5,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:202.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:247.1.text.token3,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:263.1.text.token4,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:385.1.text.token4,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:411.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:420.1.text.token4,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:465.1.text.token5,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:516.1.text.token4,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:555.1.text.token6,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:662.1.text.token4,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:705.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:779.1.text.token6,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:830.1.text.token3,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:831.1.text.token3,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:832.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:844.1.text.token6,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:876.1.text.token4,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:910.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:917.1.text.token4,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:927.1.text.token3,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:1028.1.text.token4,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:1029.1.text.token3,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:1045.1.text.token4,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:1055.1.text.token3
25	ἀλλ’	ἀλλά	ἀλλά	urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:71.1.text.token1,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:106.1.text.token1,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:190.1.text.token6,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:234.1.text.token5,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:317.1.text.token1,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:346.1.text.token1,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:360.1.text.token1,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:441.1.text.token1,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:446.1.text.token1,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:448.1.text.token5,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:456.1.text.token4,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:571.1.text.token1,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:610.1.text.token5,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:626.1.text.token1,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:652.1.text.token5,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:671.1.text.token4,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:712.1.text.token5,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:747.1.text.token7,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:866.1.text.token4,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:934.1.text.token1,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:941.1.text.token1,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:950.1.text.token1,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:981.1.text.token1,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:1058.1.text.token1,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:1071.1.text.token1
19	μ’	με	με	urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:92.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:115.1.text.token7,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:132.1.text.token3,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:152.1.text.token3,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:173.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:225.1.text.token4,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:389.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:576.1.text.token6,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:578.1.text.token3,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:595.1.text.token3,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:605.1.text.token4,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:684.1.text.token7,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:878.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:880.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:894.1.text.token3,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:976.1.text.token5,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:995.1.text.token5,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:1063.1.text.token6,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:1093.1.text.token2
14	σ’	σε	σε	urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:19.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:27.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:53.1.text.token3,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:328.1.text.token4,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:332.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:342.1.text.token6,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:343.1.text.token3,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:509.1.text.token4,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:618.1.text.token5,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:728.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:773.1.text.token7,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:813.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:947.1.text.token3,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:977.1.text.token2
14	γ’	γε	γε	urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:60.1.text.token3,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:248.1.text.token4,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:250.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:260.1.text.token3,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:270.1.text.token5,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:337.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:481.1.text.token5,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:904.1.text.token3,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:931.1.text.token3,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:982.1.text.token4,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:985.1.text.token4,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:1011.1.text.token3,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:1053.1.text.token3,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:1058.1.text.token4
10	ἐπ’	ἐπί	ἐπί	urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:97.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:197.1.text.token5,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:257.1.text.token5,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:666.1.text.token4,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:710.1.text.token3,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:729.1.text.token3,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:864.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:921.1.text.token1,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:1043.1.text.token3,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:1089.1.text.token2
9	οὐδ’	οὐδέ	οὐδέ	urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:259.1.text.token1,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:322.1.text.token5,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:326.1.text.token3,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:375.1.text.token6,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:547.1.text.token5,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:586.2.text.token3,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:690.1.text.token1,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:769.1.text.token1,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:905.1.text.token1
9	θ’	τε	τε	urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:25.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:39.1.text.token6,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:138.1.text.token4,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:152.1.text.token7,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:282.1.text.token5,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:434.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:463.1.text.token4,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:555.1.text.token3,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:923.1.text.token2
7	τοῦδ’	τοῦδε	τοῦδε	urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:63.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:272.1.text.token3,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:347.1.text.token8,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:934.1.text.token5,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:987.1.text.token7,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:1057.1.text.token2,urn:cts:greekLit:tlg0085.tlg003.fu-sp.tok:1067.1.text.token2
