Αἰσχύνης	*ai)sxu/nhs	αἰσχύνη	ai)sxu/nh	n-s---fg-
Βορραίαις	*borrai/ais	Βορραῖος	*borrai=os	a-p---fd-
Γῆ	*gh=	Γαῖα	*gai=a	n-s---fn-
Γῆ	*gh=	Γαῖα	*gai=a	n-s---fv-
Γῆ	*gh=	Γαῖα	*gai=a	n-s---fn-
Γῆ	*gh=	Γαῖα	*gai=a	n-s---fv-
Γῆ	*gh=	γῆ	gh=	n-s---fn-
Γῆ	*gh=	γῆ	gh=	n-s---fv-
Γῇ	*gh=|	Γαῖα	*gai=a	n-s---fd-
Γῇ	*gh=|	Γαῖα	*gai=a	n-s---fd-
Γῇ	*gh=|	γῆ	gh=	n-s---fd-
Διογενεῖς	*diogenei=s	Διογενής	*diogenh/s	n-p---ma-
Διογενεῖς	*diogenei=s	Διογενής	*diogenh/s	n-p---fa-
Διογενεῖς	*diogenei=s	Διογενής	*diogenh/s	n-p---mn-
Διογενεῖς	*diogenei=s	Διογενής	*diogenh/s	n-p---mv-
Διογενεῖς	*diogenei=s	Διογενής	*diogenh/s	n-p---fn-
Διογενεῖς	*diogenei=s	Διογενής	*diogenh/s	n-p---fv-
Διογενεῖς	*diogenei=s	διογενής	diogenh/s	n-p---ma-
Διογενεῖς	*diogenei=s	διογενής	diogenh/s	n-p---fa-
Διογενεῖς	*diogenei=s	διογενής	diogenh/s	n-p---mn-
Διογενεῖς	*diogenei=s	διογενής	diogenh/s	n-p---mv-
Διογενεῖς	*diogenei=s	διογενής	diogenh/s	n-p---fn-
Διογενεῖς	*diogenei=s	διογενής	diogenh/s	n-p---fv-
Διογενεῖς	*diogenei=s	διογενής	diogenh/s	n-p---ma-
Διογενεῖς	*diogenei=s	διογενής	diogenh/s	n-p---fa-
Διογενεῖς	*diogenei=s	διογενής	diogenh/s	n-p---mn-
Διογενεῖς	*diogenei=s	διογενής	diogenh/s	n-p---mv-
Διογενεῖς	*diogenei=s	διογενής	diogenh/s	n-p---fn-
Διογενεῖς	*diogenei=s	διογενής	diogenh/s	n-p---fv-
Διογενοῦς	*diogenou=s	Διογενής	*diogenh/s	n-s---mg-
Διογενοῦς	*diogenou=s	Διογενής	*diogenh/s	n-s---fg-
Διογενοῦς	*diogenou=s	Διογενής	*diogenh/s	n-s---ng-
Διογενοῦς	*diogenou=s	διογενής	diogenh/s	n-s---mg-
Διογενοῦς	*diogenou=s	διογενής	diogenh/s	n-s---fg-
Διογενοῦς	*diogenou=s	διογενής	diogenh/s	n-s---ng-
Διογενοῦς	*diogenou=s	διογενής	diogenh/s	n-s---mg-
Διογενοῦς	*diogenou=s	διογενής	diogenh/s	n-s---fg-
Διογενοῦς	*diogenou=s	διογενής	diogenh/s	n-s---ng-
Διογενές	*diogene/s	Διογενής	*diogenh/s	n-s---mv-
Διογενές	*diogene/s	Διογενής	*diogenh/s	n-s---fv-
Διογενές	*diogene/s	Διογενής	*diogenh/s	n-s---nn-
Διογενές	*diogene/s	Διογενής	*diogenh/s	n-s---nv-
Διογενές	*diogene/s	Διογενής	*diogenh/s	n-s---na-
Διογενές	*diogene/s	διογενής	diogenh/s	n-s---mv-
Διογενές	*diogene/s	διογενής	diogenh/s	n-s---fv-
Διογενές	*diogene/s	διογενής	diogenh/s	n-s---nn-
Διογενές	*diogene/s	διογενής	diogenh/s	n-s---nv-
Διογενές	*diogene/s	διογενής	diogenh/s	n-s---na-
Διογενές	*diogene/s	διογενής	diogenh/s	n-s---mv-
Διογενές	*diogene/s	διογενής	diogenh/s	n-s---fv-
Διογενές	*diogene/s	διογενής	diogenh/s	n-s---nn-
Διογενές	*diogene/s	διογενής	diogenh/s	n-s---nv-
Διογενές	*diogene/s	διογενής	diogenh/s	n-s---na-
Διρκαῖον	*dirkai=on	Διρκαῖος	*dirkai=os	a-s---ma-
Διρκαῖον	*dirkai=on	Διρκαῖος	*dirkai=os	a-s---nn-
Διρκαῖον	*dirkai=on	Διρκαῖος	*dirkai=os	a-s---nv-
Διρκαῖον	*dirkai=on	Διρκαῖος	*dirkai=os	a-s---na-
Διός	*dio/s	Ζεύς	*zeu/s	n-s---mg-
Δίκη	*di/kh	Δίκη	*di/kh	n-s---fn-
Δίκη	*di/kh	Δίκη	*di/kh	n-s---fv-
Δίκη	*di/kh	δίκη	di/kh	n-s---fn-
Δίκη	*di/kh	δίκη	di/kh	n-s---fv-
Δίρκης	*di/rkhs	Δίρκη	*di/rkh	n-s---fg-
Ζεύς	*zeu/s	Ζεύς	*zeu/s	n-s---mn-
Ζεῦ	*zeu=	Ζεύς	*zeu/s	n-s---mv-
Ζεῦ	*zeu=	ζέω	ze/w	v2spme---
Ζεῦ	*zeu=	ζέω	ze/w	v2siie---
Ζηνί	*zhni/	Ζεύς	*zeu/s	n-s---md-
Ζῆνά	*zh=na/	Ζεύς	*zeu/s	n-s---ma-
Ζῆνά	*zh=na/	ζῆνος	zh=nos	a-p---nn-
Ζῆνά	*zh=na/	ζῆνος	zh=nos	a-p---nv-
Ζῆνά	*zh=na/	ζῆνος	zh=nos	a-p---na-
Θυιάς	*quia/s	Θυιάς	*quia/s	n-s---fn-
Θυιάς	*quia/s	θυιάς	quia/s	n-s---fn-
Καδμείας	*kadmei/as	Καδμεῖος	*kadmei=os	a-p---fa-
Καδμείας	*kadmei/as	Καδμεῖος	*kadmei=os	a-s---fg-
Καδμείας	*kadmei/as	Καδμεῖος	*kadmei=os	a-p---fa-
Καδμείας	*kadmei/as	Καδμεῖος	*kadmei=os	a-s---fg-
Καδμείους	*kadmei/ous	Καδμεῖος	*kadmei=os	a-p---ma-
Καδμείους	*kadmei/ous	Καδμεῖος	*kadmei=os	a-p---ma-
Καδμείων	*kadmei/wn	Καδμεῖος	*kadmei=os	a-p---fg-
Καδμείων	*kadmei/wn	Καδμεῖος	*kadmei=os	a-p---mg-
