frequency	elided_form	expanded_form	presentation_form	turns
134	δ’	δέ	δέ	urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:15.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:29.1.text.token5,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:31.1.text.token5,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:40.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:45.1.text.token5,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:55.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:73.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:81.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:86.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:91.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:96.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:98.1.text.token4,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:104.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:110.1.text.token6,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:118.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:120.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:123.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:129.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:131.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:138.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:144.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:164.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:175.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:164.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:176.1.text.token8,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:182.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:197.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:198.1.text.token4,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:202.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:209.1.text.token6,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:222.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:223.1.text.token5,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:227.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:252.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:258.1.text.token6,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:271.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:289.1.text.token4,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:292.1.text.token4,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:321.1.text.token4,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:323.1.text.token4,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:329.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:337.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:356.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:366.1.text.token5,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:368.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:374.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:377.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:395.1.text.token4,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:404.1.text.token6,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:426.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:438.1.text.token6,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:449.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:453.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:454.1.text.token4,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:470.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:474.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:478.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:488.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:495.1.text.token4,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:496.1.text.token4,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:523.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:529.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:531.1.text.token4,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:538.1.text.token3,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:544.1.text.token4,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:547.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:565.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:570.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:570.1.text.token7,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:576.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:578.1.text.token4,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:580.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:595.1.text.token3,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:598.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:603.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:623.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:624.1.text.token5,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:627.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:640.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:641.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:651.1.text.token4,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:663.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:672.1.text.token3,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:674.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:676.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:684.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:686.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:694.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:704.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:719.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:722.1.text.token4,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:726.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:730.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:735.1.text.token4,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:743.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:757.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:774.2.text.token5,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:775.1.text.token5,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:781.1.text.token3,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:784.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:787.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:791.1.text.token3,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:800.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:808.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:815.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:822.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:823.1.text.token4,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:861.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:896.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:914.1.text.token3,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:916.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:918.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:923.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:926.1.text.token3,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:935.1.text.token5,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:940.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:948.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:949.1.text.token4,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:958.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:963.1.text.token6,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:985.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:988.1.text.token4,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:994.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:996.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:998.1.text.token3,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:1008.1.text.token6,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:1015.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:1022.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:1026.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:1030.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:1034.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:1036.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:1041.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:1043.1.text.token2
33	τ’	τε	τε	urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:34.1.text.token5,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:35.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:42.1.text.token5,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:48.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:62.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:183.1.text.token6,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:214.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:219.1.text.token3,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:272.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:282.1.text.token3,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:284.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:287.1.text.token5,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:290.1.text.token4,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:432.1.text.token3,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:492.1.text.token4,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:610.1.text.token3,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:683.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:693.1.text.token3,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:696.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:698.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:701.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:732.1.text.token6,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:742.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:811.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:811.1.text.token4,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:850.1.text.token4,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:932.1.text.token9,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:939.1.text.token3,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:975.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:995.1.text.token4,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:1039.1.text.token3,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:1042.1.text.token3,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:1043.1.text.token5
16	ἀλλ’	ἀλλά	ἀλλά	urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:8.1.text.token1,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:186.1.text.token1,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:191.1.text.token1,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:219.1.text.token1,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:343.1.text.token1,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:464.1.text.token4,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:511.1.text.token1,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:516.1.text.token1,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:606.1.text.token1,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:724.1.text.token1,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:729.1.text.token1,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:760.1.text.token1,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:913.1.text.token1,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:930.1.text.token1,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:952.1.text.token1,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:966.1.text.token1
10	οὐδ’	οὐδέ	οὐδέ	urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:91.1.text.token4,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:237.1.text.token3,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:378.1.text.token1,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:416.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:765.1.text.token1,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:766.1.text.token5,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:771.1.text.token4,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:894.1.text.token6,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:947.1.text.token1,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:958.1.text.token3
10	μηδ’	μηδέ	μηδέ	urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:200.1.text.token4,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:357.1.text.token1,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:409.1.text.token4,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:423.1.text.token1,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:484.1.text.token4,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:661.1.text.token1,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:664.1.text.token3,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:1008.1.text.token1,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:1024.1.text.token3,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:1031.1.text.token4
10	τόδ’		τόδ’	urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:243.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:278.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:289.1.text.token6,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:378.1.text.token3,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:471.1.text.token1,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:472.1.text.token6,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:588.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:588.1.text.token5,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:708.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:1033.1.text.token3
9	μ’	με	με	urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:136.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:144.1.text.token6,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:379.1.text.token5,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:397.1.text.token7,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:423.1.text.token3,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:736.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:786.1.text.token4,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:886.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:894.1.text.token3
8	γ’	γε	γε	urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:296.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:312.1.text.token3,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:339.1.text.token3,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:342.1.text.token3,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:344.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:514.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:746.1.text.token3,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:1056.1.text.token3
8	δι’	διά	διά	urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:106.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:254.1.text.token6,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:495.1.text.token6,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:547.1.text.token4,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:551.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:574.1.text.token1,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:582.1.text.token1,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:868.1.text.token1
7	θ’	τε	τε	urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:274.1.text.token3,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:411.1.text.token2,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:618.1.text.token6,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:721.1.text.token5,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:726.1.text.token5,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:981.1.text.token4,urn:cts:greekLit:tlg0085.tlg001.fu-sp.tok:1044.1.text.token2
