frequency	elided_form	expanded_form	presentation_form	turns
148	δ’	δέ	δέ	urn:cts:greekLit:tlg0085.tlg004.fu.sp:5.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:24.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:41.1.text.token.3,urn:cts:greekLit:tlg0085.tlg004.fu.sp:51.1.text.token.4,urn:cts:greekLit:tlg0085.tlg004.fu.sp:55.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:60.1.text.token.6,urn:cts:greekLit:tlg0085.tlg004.fu.sp:62.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:76.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:76.1.text.token.6,urn:cts:greekLit:tlg0085.tlg004.fu.sp:84.1.text.token.8,urn:cts:greekLit:tlg0085.tlg004.fu.sp:121.1.text.token.4,urn:cts:greekLit:tlg0085.tlg004.fu.sp:124.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:155.1.text.token.3,urn:cts:greekLit:tlg0085.tlg004.fu.sp:157.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:158.2.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:178.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:190.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:193.1.text.token.4,urn:cts:greekLit:tlg0085.tlg004.fu.sp:194.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:199.1.text.token.3,urn:cts:greekLit:tlg0085.tlg004.fu.sp:201.1.text.token.4,urn:cts:greekLit:tlg0085.tlg004.fu.sp:226.1.text.token.4,urn:cts:greekLit:tlg0085.tlg004.fu.sp:227.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:232.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:234.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:249.1.text.token.4,urn:cts:greekLit:tlg0085.tlg004.fu.sp:277.1.text.token.5,urn:cts:greekLit:tlg0085.tlg004.fu.sp:279.1.text.token.7,urn:cts:greekLit:tlg0085.tlg004.fu.sp:288.1.text.token.4,urn:cts:greekLit:tlg0085.tlg004.fu.sp:298.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:304.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:330.1.text.token.1,urn:cts:greekLit:tlg0085.tlg004.fu.sp:333.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:340.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:343.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:345.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:345.2.text.token.1,urn:cts:greekLit:tlg0085.tlg004.fu.sp:346.1.text.token.5,urn:cts:greekLit:tlg0085.tlg004.fu.sp:348.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:358.1.text.token.5,urn:cts:greekLit:tlg0085.tlg004.fu.sp:360.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:378.1.text.token.4,urn:cts:greekLit:tlg0085.tlg004.fu.sp:382.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:385.1.text.token.8,urn:cts:greekLit:tlg0085.tlg004.fu.sp:387.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:411.1.text.token.7,urn:cts:greekLit:tlg0085.tlg004.fu.sp:412.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:413.1.text.token.5,urn:cts:greekLit:tlg0085.tlg004.fu.sp:414.1.text.token.4,urn:cts:greekLit:tlg0085.tlg004.fu.sp:415.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:419.1.text.token.5,urn:cts:greekLit:tlg0085.tlg004.fu.sp:423.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:425.1.text.token.5,urn:cts:greekLit:tlg0085.tlg004.fu.sp:426.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:430.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:440.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:444.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:447.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:461.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:465.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:466.1.text.token.3,urn:cts:greekLit:tlg0085.tlg004.fu.sp:483.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:491.1.text.token.3,urn:cts:greekLit:tlg0085.tlg004.fu.sp:497.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:497.1.text.token.6,urn:cts:greekLit:tlg0085.tlg004.fu.sp:508.1.text.token.4,urn:cts:greekLit:tlg0085.tlg004.fu.sp:516.1.text.token.4,urn:cts:greekLit:tlg0085.tlg004.fu.sp:516.1.text.token.8,urn:cts:greekLit:tlg0085.tlg004.fu.sp:529.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:534.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:536.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:537.1.text.token.4,urn:cts:greekLit:tlg0085.tlg004.fu.sp:543.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:545.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:546.1.text.token.3,urn:cts:greekLit:tlg0085.tlg004.fu.sp:548.1.text.token.4,urn:cts:greekLit:tlg0085.tlg004.fu.sp:554.1.text.token.5,urn:cts:greekLit:tlg0085.tlg004.fu.sp:564.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:591.1.text.token.5,urn:cts:greekLit:tlg0085.tlg004.fu.sp:599.1.text.token.4,urn:cts:greekLit:tlg0085.tlg004.fu.sp:609.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:620.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:622.1.text.token.6,urn:cts:greekLit:tlg0085.tlg004.fu.sp:623.1.text.token.5,urn:cts:greekLit:tlg0085.tlg004.fu.sp:629.1.text.token.4,urn:cts:greekLit:tlg0085.tlg004.fu.sp:646.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:647.1.text.token.4,urn:cts:greekLit:tlg0085.tlg004.fu.sp:650.1.text.token.3,urn:cts:greekLit:tlg0085.tlg004.fu.sp:652.1.text.token.4,urn:cts:greekLit:tlg0085.tlg004.fu.sp:662.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:681.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:687.1.text.token.7,urn:cts:greekLit:tlg0085.tlg004.fu.sp:699.1.text.token.8,urn:cts:greekLit:tlg0085.tlg004.fu.sp:703.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:708.1.text.token.4,urn:cts:greekLit:tlg0085.tlg004.fu.sp:710.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:726.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:734.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:744.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:750.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:758.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:759.1.text.token.6,urn:cts:greekLit:tlg0085.tlg004.fu.sp:762.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:767.1.text.token.5,urn:cts:greekLit:tlg0085.tlg004.fu.sp:769.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:778.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:785.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:795.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:800.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:803.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:804.1.text.token.5,urn:cts:greekLit:tlg0085.tlg004.fu.sp:805.1.text.token.4,urn:cts:greekLit:tlg0085.tlg004.fu.sp:809.1.text.token.5,urn:cts:greekLit:tlg0085.tlg004.fu.sp:813.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:815.1.text.token.7,urn:cts:greekLit:tlg0085.tlg004.fu.sp:818.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:820.1.text.token.6,urn:cts:greekLit:tlg0085.tlg004.fu.sp:842.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:843.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:846.1.text.token.5,urn:cts:greekLit:tlg0085.tlg004.fu.sp:852.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:886.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:893.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:903.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:907.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:909.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:918.1.text.token.3,urn:cts:greekLit:tlg0085.tlg004.fu.sp:922.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:930.1.text.token.5,urn:cts:greekLit:tlg0085.tlg004.fu.sp:937.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:939.1.text.token.4,urn:cts:greekLit:tlg0085.tlg004.fu.sp:951.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:954.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:957.2.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:958.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:959.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:970.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:974.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:995.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:999.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:1003.1.text.token.3,urn:cts:greekLit:tlg0085.tlg004.fu.sp:1016.1.text.token.3,urn:cts:greekLit:tlg0085.tlg004.fu.sp:1019.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:1030.1.text.token.3,urn:cts:greekLit:tlg0085.tlg004.fu.sp:1051.1.text.token.4,urn:cts:greekLit:tlg0085.tlg004.fu.sp:1059.1.text.token.6,urn:cts:greekLit:tlg0085.tlg004.fu.sp:1069.1.text.token.4,urn:cts:greekLit:tlg0085.tlg004.fu.sp:1078.1.text.token.2
31	τ’	τε	τε	urn:cts:greekLit:tlg0085.tlg004.fu.sp:13.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:14.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:30.1.text.token.3,urn:cts:greekLit:tlg0085.tlg004.fu.sp:45.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:70.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:87.1.text.token.4,urn:cts:greekLit:tlg0085.tlg004.fu.sp:128.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:135.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:136.1.text.token.4,urn:cts:greekLit:tlg0085.tlg004.fu.sp:147.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:175.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:206.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:273.1.text.token.6,urn:cts:greekLit:tlg0085.tlg004.fu.sp:376.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:399.1.text.token.4,urn:cts:greekLit:tlg0085.tlg004.fu.sp:405.1.text.token.5,urn:cts:greekLit:tlg0085.tlg004.fu.sp:450.1.text.token.4,urn:cts:greekLit:tlg0085.tlg004.fu.sp:552.1.text.token.5,urn:cts:greekLit:tlg0085.tlg004.fu.sp:569.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:575.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:578.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:581.1.text.token.3,urn:cts:greekLit:tlg0085.tlg004.fu.sp:648.1.text.token.5,urn:cts:greekLit:tlg0085.tlg004.fu.sp:674.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:774.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:833.2.text.token.3,urn:cts:greekLit:tlg0085.tlg004.fu.sp:862.1.text.token.3,urn:cts:greekLit:tlg0085.tlg004.fu.sp:868.1.text.token.3,urn:cts:greekLit:tlg0085.tlg004.fu.sp:898.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:978.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:992.1.text.token.2
20	ἐπ’	ἐπί	ἐπί	urn:cts:greekLit:tlg0085.tlg004.fu.sp:33.1.text.token.6,urn:cts:greekLit:tlg0085.tlg004.fu.sp:58.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:298.1.text.token.3,urn:cts:greekLit:tlg0085.tlg004.fu.sp:387.1.text.token.5,urn:cts:greekLit:tlg0085.tlg004.fu.sp:400.1.text.token.6,urn:cts:greekLit:tlg0085.tlg004.fu.sp:403.1.text.token.5,urn:cts:greekLit:tlg0085.tlg004.fu.sp:423.1.text.token.3,urn:cts:greekLit:tlg0085.tlg004.fu.sp:447.1.text.token.3,urn:cts:greekLit:tlg0085.tlg004.fu.sp:478.1.text.token.7,urn:cts:greekLit:tlg0085.tlg004.fu.sp:480.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:510.1.text.token.4,urn:cts:greekLit:tlg0085.tlg004.fu.sp:512.1.text.token.5,urn:cts:greekLit:tlg0085.tlg004.fu.sp:520.1.text.token.5,urn:cts:greekLit:tlg0085.tlg004.fu.sp:544.1.text.token.3,urn:cts:greekLit:tlg0085.tlg004.fu.sp:559.1.text.token.4,urn:cts:greekLit:tlg0085.tlg004.fu.sp:620.1.text.token.3,urn:cts:greekLit:tlg0085.tlg004.fu.sp:661.1.text.token.1,urn:cts:greekLit:tlg0085.tlg004.fu.sp:780.1.text.token.3,urn:cts:greekLit:tlg0085.tlg004.fu.sp:922.1.text.token.4,urn:cts:greekLit:tlg0085.tlg004.fu.sp:1013.1.text.token.4
15	ἀλλ’	ἀλλά	ἀλλά	urn:cts:greekLit:tlg0085.tlg004.fu.sp:30.1.text.token.1,urn:cts:greekLit:tlg0085.tlg004.fu.sp:116.1.text.token.1,urn:cts:greekLit:tlg0085.tlg004.fu.sp:211.1.text.token.1,urn:cts:greekLit:tlg0085.tlg004.fu.sp:217.1.text.token.7,urn:cts:greekLit:tlg0085.tlg004.fu.sp:237.1.text.token.1,urn:cts:greekLit:tlg0085.tlg004.fu.sp:477.1.text.token.1,urn:cts:greekLit:tlg0085.tlg004.fu.sp:592.1.text.token.6,urn:cts:greekLit:tlg0085.tlg004.fu.sp:617.1.text.token.1,urn:cts:greekLit:tlg0085.tlg004.fu.sp:656.1.text.token.1,urn:cts:greekLit:tlg0085.tlg004.fu.sp:664.1.text.token.1,urn:cts:greekLit:tlg0085.tlg004.fu.sp:679.1.text.token.1,urn:cts:greekLit:tlg0085.tlg004.fu.sp:718.1.text.token.1,urn:cts:greekLit:tlg0085.tlg004.fu.sp:1052.1.text.token.1,urn:cts:greekLit:tlg0085.tlg004.fu.sp:1056.1.text.token.1,urn:cts:greekLit:tlg0085.tlg004.fu.sp:1059.1.text.token.1
10	οὐδ’	οὐδέ	οὐδέ	urn:cts:greekLit:tlg0085.tlg004.fu.sp:398.1.text.token.1,urn:cts:greekLit:tlg0085.tlg004.fu.sp:469.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:507.1.text.token.5,urn:cts:greekLit:tlg0085.tlg004.fu.sp:558.1.text.token.1,urn:cts:greekLit:tlg0085.tlg004.fu.sp:668.1.text.token.1,urn:cts:greekLit:tlg0085.tlg004.fu.sp:808.1.text.token.1,urn:cts:greekLit:tlg0085.tlg004.fu.sp:840.1.text.token.3,urn:cts:greekLit:tlg0085.tlg004.fu.sp:910.1.text.token.1,urn:cts:greekLit:tlg0085.tlg004.fu.sp:983.1.text.token.1,urn:cts:greekLit:tlg0085.tlg004.fu.sp:1035.1.text.token.6
9	κατ’	κατά	κατά	urn:cts:greekLit:tlg0085.tlg004.fu.sp:198.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:219.1.text.token.3,urn:cts:greekLit:tlg0085.tlg004.fu.sp:425.1.text.token.7,urn:cts:greekLit:tlg0085.tlg004.fu.sp:505.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:528.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:690.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:819.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:831.1.text.token.4,urn:cts:greekLit:tlg0085.tlg004.fu.sp:854.1.text.token.7
8	ὑπ’	ὑπό	ὑπό	urn:cts:greekLit:tlg0085.tlg004.fu.sp:7.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:194.1.text.token.3,urn:cts:greekLit:tlg0085.tlg004.fu.sp:324.1.text.token.1,urn:cts:greekLit:tlg0085.tlg004.fu.sp:385.1.text.token.6,urn:cts:greekLit:tlg0085.tlg004.fu.sp:388.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:821.1.text.token.5,urn:cts:greekLit:tlg0085.tlg004.fu.sp:931.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:1026.1.text.token.4
7	ὧδ’		ὧδ’	urn:cts:greekLit:tlg0085.tlg004.fu.sp:225.1.text.token.6,urn:cts:greekLit:tlg0085.tlg004.fu.sp:276.1.text.token.5,urn:cts:greekLit:tlg0085.tlg004.fu.sp:321.1.text.token.4,urn:cts:greekLit:tlg0085.tlg004.fu.sp:519.1.text.token.5,urn:cts:greekLit:tlg0085.tlg004.fu.sp:681.1.text.token.5,urn:cts:greekLit:tlg0085.tlg004.fu.sp:911.1.text.token.3,urn:cts:greekLit:tlg0085.tlg004.fu.sp:930.1.text.token.6
7	τόδ’		τόδ’	urn:cts:greekLit:tlg0085.tlg004.fu.sp:21.1.text.token.5,urn:cts:greekLit:tlg0085.tlg004.fu.sp:492.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:532.1.text.token.3,urn:cts:greekLit:tlg0085.tlg004.fu.sp:663.1.text.token.8,urn:cts:greekLit:tlg0085.tlg004.fu.sp:845.1.text.token.4,urn:cts:greekLit:tlg0085.tlg004.fu.sp:1056.1.text.token.6,urn:cts:greekLit:tlg0085.tlg004.fu.sp:1076.1.text.token.2
7	θ’	τε	τε	urn:cts:greekLit:tlg0085.tlg004.fu.sp:8.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:49.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:130.1.text.token.4,urn:cts:greekLit:tlg0085.tlg004.fu.sp:177.1.text.token.2,urn:cts:greekLit:tlg0085.tlg004.fu.sp:455.1.text.token.1,urn:cts:greekLit:tlg0085.tlg004.fu.sp:530.1.text.token.4,urn:cts:greekLit:tlg0085.tlg004.fu.sp:867.1.text.token.3
