form	token_urn	expanded_form	presentation_form
Γοργόν’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:574.1.text.token2		Γοργόν’
Γοργόν’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1181.1.text.token2		Γοργόν’
Δήμητρ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:708.1.text.token4		Δήμητρ’
Δί’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:88.1.text.token4	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:137.1.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:368.1.text.token4	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:461.1.text.token3	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:752.1.text.token6	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:811.1.text.token3	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:966.1.text.token4	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1025.1.text.token5	Δία	Δία
Κωπᾷδ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:962.1.text.token5		Κωπᾷδ’
Λάμαχ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:566.1.text.token2		Λάμαχ’
Λάμαχ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:568.1.text.token2		Λάμαχ’
Λάμαχ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:575.1.text.token2		Λάμαχ’
Λάμαχ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:575a.text.token2		Λάμαχ’
Λάμαχ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:578.1.text.token2		Λάμαχ’
Μεγαρίκ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:830.1.text.token2		Μεγαρίκ’
Μοῦσ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:665.1.text.token2	Μοῦσα	Μοῦσα
αἰτήσαιμ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:476.1.text.token7		αἰτήσαιμ’
αὐτίκ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:757.1.text.token1		αὐτίκ’
αὔτ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:562.1.text.token7	αὔτε	αὔτε
βαδιστέ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:394.1.text.token3		βαδιστέ’
βασίλει’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:80.1.text.token6		βασίλει’
βαῖν’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:198.1.text.token6		βαῖν’
βούλεσθ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:331.1.text.token3		βούλεσθ’
βάδιζ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1140.1.text.token5		βάδιζ’
βάλλετ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:331.1.text.token1		βάλλετ’
γηροβοσκούμεσθ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:678.1.text.token1		γηροβοσκούμεσθ’
γλυκύτατ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:462.1.text.token3		γλυκύτατ’
γλυκύτατ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:467.1.text.token5		γλυκύτατ’
γλάχων’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:861.1.text.token4		γλάχων’
γέροντ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:692.1.text.token5		γέροντ’
γ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:115.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:120.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:127.1.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:154.2.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:176.2.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:247.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:295.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:296.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:307.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:307.1.text.token11	γε	γε
γ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:327.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:386.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:447.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:560.1.text.token6	γε	γε
γ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:611.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:836.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:867.1.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:900.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:916.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:952.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:958.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:994.1.text.token6	γε	γε
γ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1155.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1228.1.text.token6	γε	γε
γ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1229.1.text.token3	γε	γε
δεῦρ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:155.1.text.token4	δεῦρο	δεῦρο
δεῦρ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1118.1.text.token7	δεῦρο	δεῦρο
δι’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:922.1.text.token1	διά	διά
δι’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1226.1.text.token5	διά	διά
δοξεῖτ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:741.1.text.token3		δοξεῖτ’
δήξομἄρ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:325.2.text.token1		δήξομἄρ’
δῆτ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:68.1.text.token2	δῆτα	δῆτα
δῆτ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:125.2.text.token2	δῆτα	δῆτα
δῆτ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:126.1.text.token3	δῆτα	δῆτα
δῆτ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:618.1.text.token4	δῆτα	δῆτα
δῆτ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:619.1.text.token2	δῆτα	δῆτα
δῆτ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1011.1.text.token2	δῆτα	δῆτα
δῆτ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1127.1.text.token4	δῆτα	δῆτα
δῆτ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1228.1.text.token2	δῆτα	δῆτα
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:3.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:4.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:11.1.text.token2	δέ	δέ
