frequency	elided_form	expanded_form	presentation_form	turns
95	δ’	δέ	δέ	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:3.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:4.1.text.token5,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:11.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:15.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:21.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:24.1.text.token4,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:26.1.text.token5,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:28.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:33.1.text.token5,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:50.1.text.token8,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:51.1.text.token5,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:80.1.text.token3,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:85.1.text.token5,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:89.1.text.token5,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:105.2.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:145.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:148.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:170.1.text.token7,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:172.1.text.token6,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:178.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:179.1.text.token4,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:185.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:185.1.text.token6,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:186.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:191.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:219.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:259.1.text.token5,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:261.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:262.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:279.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:293.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:302.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:306.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:332.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:367.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:369.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:386.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:399.1.text.token5,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:409.1.text.token5,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:433.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:443.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:446.1.text.token4,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:454.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:455.1.text.token6,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:483.1.text.token7,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:545.1.text.token5,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:552.1.text.token3,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:580.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:591.1.text.token8,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:597.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:601.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:604.1.text.token6,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:606.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:630.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:633.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:636.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:646.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:656.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:689.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:700.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:711.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:712.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:716.1.text.token3,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:736.1.text.token6,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:753.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:758.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:785.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:791.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:797.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:799.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:800.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:814.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:845.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:862.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:891.1.text.token7,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:903.1.text.token10,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:940.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:962.1.text.token3,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:968.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:969.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:975.1.text.token9,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:986.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:987.1.text.token3,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1001.1.text.token7,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1022.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1033.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1051.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1084.1.text.token3,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1089.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1102.1.text.token7,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1119.1.text.token4,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1138.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1157.1.text.token4,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1171.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1195.1.text.token2
79	ἀλλ’	ἀλλά	ἀλλά	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:9.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:13.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:17.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:23.1.text.token6,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:36.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:40.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:47.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:53.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:81.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:108.1.text.token3,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:110.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:128.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:129.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:169.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:175.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:194.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:296.1.text.token7,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:313.1.text.token7,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:343.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:364.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:391.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:402.2.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:402.3.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:407.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:408.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:408.2.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:408.3.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:409.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:414.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:420.1.text.token5,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:422.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:424.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:426.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:462.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:471.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:471.1.text.token4,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:507.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:517.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:563.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:582.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:596.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:614.1.text.token4,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:620.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:627.1.text.token5,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:654.1.text.token4,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:655.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:713.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:731.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:738.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:744.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:752.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:774.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:784.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:788.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:793.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:809.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:830.1.text.token4,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:832.2.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:870.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:893.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:897.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:902.2.text.token5,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:903.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:909.2.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:948.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:956.1.text.token7,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:967.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1028.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1030.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1035.1.text.token5,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1056.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1088.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1094.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1111.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1112.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1114.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1189.1.text.token5,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1213.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1232.1.text.token1
25	γ’	γε	γε	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:115.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:120.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:127.1.text.token5,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:154.2.text.token3,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:176.2.text.token4,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:247.1.text.token4,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:295.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:296.1.text.token4,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:307.1.text.token3,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:307.1.text.token11,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:327.1.text.token3,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:386.1.text.token4,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:447.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:560.1.text.token6,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:611.1.text.token4,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:836.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:867.1.text.token5,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:900.1.text.token3,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:916.1.text.token4,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:952.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:958.1.text.token3,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:994.1.text.token6,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1155.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1228.1.text.token6,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1229.1.text.token3
14	σ’	σε	σε	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:98.1.text.token6,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:242.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:255.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:266.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:414.1.text.token6,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:476.1.text.token6,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:582.1.text.token3,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:824.1.text.token7,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:846.1.text.token3,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:999.1.text.token3,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1031.1.text.token3,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1073.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1087.1.text.token5,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1184.1.text.token7
14	τ’	τε	τε	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:63.1.text.token5,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:143.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:348.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:354.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:375.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:377.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:452.1.text.token4,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:491.1.text.token4,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:504.1.text.token6,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:817.1.text.token5,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:817.1.text.token7,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:855.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:986.1.text.token4,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1062.1.text.token6
13	οὐδ’	οὐδέ	οὐδέ	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:23.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:35.1.text.token6,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:217.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:337.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:657.1.text.token3,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:657.1.text.token6,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:709.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:842.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:843.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:844.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:848.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:854.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1035.1.text.token1
13	μ’	με	με	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:189.3.text.token3,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:262.1.text.token6,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:379.1.text.token3,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:384.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:436.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:442.1.text.token5,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:470.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:592.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:691.1.text.token3,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:817.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1025.1.text.token7,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1196.1.text.token3,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1222.1.text.token2
10	τοῦτ’	τοῦτο	τοῦτο	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:12.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:41.1.text.token4,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:288.1.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:328.1.text.token5,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:360.1.text.token8,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:691.1.text.token7,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:755.1.text.token3,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:820.2.text.token1,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:829.1.text.token7,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1012.1.text.token4
8	δῆτ’	δῆτα	δῆτα	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:68.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:125.2.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:126.1.text.token3,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:618.1.text.token4,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:619.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1011.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1127.1.text.token4,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1228.1.text.token2
8	Δί’	Δία	Δία	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:88.1.text.token4,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:137.1.text.token2,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:368.1.text.token4,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:461.1.text.token3,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:752.1.text.token6,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:811.1.text.token3,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:966.1.text.token4,urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1025.1.text.token5
