form	token_urn	expanded_form	presentation_form
Δήμητρ’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:662.1.text.token3		Δήμητρ’
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:86.1.text.token3	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:88.1.text.token6	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:145.1.text.token3	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:158.1.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:213.1.text.token6	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:328.1.text.token3	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:336.1.text.token3	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:373.1.text.token7	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:377.2.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:382.1.text.token3	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:463.1.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:550.2.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:551.2.text.token3	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:556.2.text.token3	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:596.2.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:686.2.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:758.1.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:935.2.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:1035.1.text.token3	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:1088.2.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:1130.2.text.token4	Δία	Δία
Θεσμοφόρι’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:223.1.text.token2		Θεσμοφόρι’
Θάσι’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:1119.1.text.token4		Θάσι’
αἱρούμεθ’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:247.1.text.token1		αἱρούμεθ’
αἴρεσθ’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:1180.1.text.token1		αἴρεσθ’
αἴρωσ’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:261.1.text.token6		αἴρωσ’
αὔτ’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:334.1.text.token3	αὔτε	αὔτε
αὔτ’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:755.1.text.token1	αὔτε	αὔτε
αὔτ’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:807.1.text.token1	αὔτε	αὔτε
βαδίζετ’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:277.1.text.token2		βαδίζετ’
βλεφαρίδ’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:402.1.text.token5		βλεφαρίδ’
βράδυν’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:500.1.text.token3		βράδυν’
βάδιζ’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:1062.2.text.token3		βάδιζ’
βέλτισθ’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:152.1.text.token3		βέλτισθ’
βῆτ’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:684a.1.text.token6		βῆτ’
γυναῖκ’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:335.1.text.token4		γυναῖκ’
γυναῖκ’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:564.1.text.token5		γυναῖκ’
γυναῖχ’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:324.1.text.token1		γυναῖχ’
γένοιτ’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:194.1.text.token3		γένοιτ’
γένοιτ’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:1131.1.text.token3		γένοιτ’
γ’	urn:cts:greekLit:tlg0019.tlg010.fu-sp.tok:20.1.text.token4	γε	γε
