form	token_urn	expanded_form	presentation_form
Δήμητρ’	urn:cts:greekLit:tlg0019.tlg007.fu-sp.tok:273.1.text.token5		Δήμητρ’
Δήμητρ’	urn:cts:greekLit:tlg0019.tlg007.fu-sp.tok:500.2.text.token3		Δήμητρ’
Δί’	urn:cts:greekLit:tlg0019.tlg007.fu-sp.tok:55.1.text.token4	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg007.fu-sp.tok:74.1.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg007.fu-sp.tok:95.2.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg007.fu-sp.tok:130.1.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg007.fu-sp.tok:194.2.text.token4	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg007.fu-sp.tok:360.1.text.token3	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg007.fu-sp.tok:521.1.text.token5	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg007.fu-sp.tok:524.1.text.token12	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg007.fu-sp.tok:561.1.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg007.fu-sp.tok:594.2.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg007.fu-sp.tok:609.1.text.token3	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg007.fu-sp.tok:777.1.text.token6	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg007.fu-sp.tok:836.1.text.token3	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg007.fu-sp.tok:862.1.text.token5	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg007.fu-sp.tok:873.2.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg007.fu-sp.tok:900.1.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg007.fu-sp.tok:908.1.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg007.fu-sp.tok:927.2.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg007.fu-sp.tok:933.1.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg007.fu-sp.tok:934.1.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg007.fu-sp.tok:970.1.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg007.fu-sp.tok:986.1.text.token3	Δία	Δία
