Αἰσχύλῳ	*ai)sxu/lw|	Αἰσχύλος	*ai)sxu/los	n-s---md-
Βακχεῖον	*bakxei=on	Βάκχειος	*ba/kxeios	a-s---ma-
Βακχεῖον	*bakxei=on	Βάκχειος	*ba/kxeios	a-s---nn-
Βακχεῖον	*bakxei=on	Βάκχειος	*ba/kxeios	a-s---nv-
Βακχεῖον	*bakxei=on	Βάκχειος	*ba/kxeios	a-s---na-
Βακχεῖον	*bakxei=on	Βακχεῖον	*bakxei=on	n-s---nn-
Βακχεῖον	*bakxei=on	Βακχεῖον	*bakxei=on	n-s---nv-
Βακχεῖον	*bakxei=on	Βακχεῖον	*bakxei=on	n-s---na-
Βακχεῖον	*bakxei=on	Βακχεῖον	*bakxei=on	n-s---nn-
Βακχεῖον	*bakxei=on	Βακχεῖον	*bakxei=on	n-s---nv-
Βακχεῖον	*bakxei=on	Βακχεῖον	*bakxei=on	n-s---na-
Βακχᾶν	*bakxa=n	Βακχάω	*bakxa/w	v-sppamv-
Βακχᾶν	*bakxa=n	Βακχάω	*bakxa/w	v-sppann-
Βακχᾶν	*bakxa=n	Βακχάω	*bakxa/w	v-sppanv-
Βακχᾶν	*bakxa=n	Βακχάω	*bakxa/w	v-sppana-
Βακχᾶν	*bakxa=n	Βακχάω	*bakxa/w	v-sppamn-
Βακχᾶν	*bakxa=n	Βακχάω	*bakxa/w	v--pna---
Βακχᾶν	*bakxa=n	Βακχάω	*bakxa/w	v--pna---
Βοιωτία	*boiwti/a	Βοιώτιος	*boiw/tios	a-d---fn-
Βοιωτία	*boiwti/a	Βοιώτιος	*boiw/tios	a-d---fv-
Βοιωτία	*boiwti/a	Βοιώτιος	*boiw/tios	a-d---fa-
Βοιωτία	*boiwti/a	Βοιώτιος	*boiw/tios	a-s---fn-
Βοιωτία	*boiwti/a	Βοιώτιος	*boiw/tios	a-s---fv-
Βοιωτία	*boiwti/a	Βοιωτία	*boiwti/a	n-d---fn-
Βοιωτία	*boiwti/a	Βοιωτία	*boiwti/a	n-d---fv-
Βοιωτία	*boiwti/a	Βοιωτία	*boiwti/a	n-d---fa-
Βοιωτία	*boiwti/a	Βοιωτία	*boiwti/a	n-s---fn-
Βοιωτία	*boiwti/a	Βοιωτία	*boiwti/a	n-s---fv-
Βοιωτίους	*boiwti/ous	Βοιώτιος	*boiw/tios	a-p---ma-
Βοιωτῶν	*boiwtw=n	Βοιωτός	*boiwto/s	n-p---mg-
Βουπάλου	*boupa/lou	Βούπαλος	*bou/palos	n-s---mg-
