urn:cts:greekLit:tlg0019.tlg007.fu.sp:1.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T03125126950
urn:cts:greekLit:tlg0019.tlg007.fu.sp:1.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312401579
urn:cts:greekLit:tlg0019.tlg007.fu.sp:1.1.text.token3	urn:cite2:fufolio:greekmorph.2026a:20260607T0312405974
urn:cts:greekLit:tlg0019.tlg007.fu.sp:1.1.text.token3	urn:cite2:fufolio:greekmorph.2026a:20260607T0312405975
urn:cts:greekLit:tlg0019.tlg007.fu.sp:1.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260607T0312408789
urn:cts:greekLit:tlg0019.tlg007.fu.sp:1.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260607T0312400014
urn:cts:greekLit:tlg0019.tlg007.fu.sp:1.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260607T0312400015
urn:cts:greekLit:tlg0019.tlg007.fu.sp:1.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260607T0312400016
urn:cts:greekLit:tlg0019.tlg007.fu.sp:1.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260607T0312400017
urn:cts:greekLit:tlg0019.tlg007.fu.sp:1.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260607T0312400018
urn:cts:greekLit:tlg0019.tlg007.fu.sp:1.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260607T0312400019
urn:cts:greekLit:tlg0019.tlg007.fu.sp:1.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260607T0312400020
urn:cts:greekLit:tlg0019.tlg007.fu.sp:1.1.text.token6	urn:cite2:fufolio:greekmorph.2026a:20260607T0312446292
urn:cts:greekLit:tlg0019.tlg007.fu.sp:1.1.text.token7	urn:cite2:fufolio:greekmorph.2026a:20260610T1703047975
urn:cts:greekLit:tlg0019.tlg007.fu.sp:10.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312402224
urn:cts:greekLit:tlg0019.tlg007.fu.sp:10.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430031
urn:cts:greekLit:tlg0019.tlg007.fu.sp:10.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430227
urn:cts:greekLit:tlg0019.tlg007.fu.sp:10.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430340
urn:cts:greekLit:tlg0019.tlg007.fu.sp:10.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03125120159
urn:cts:greekLit:tlg0019.tlg007.fu.sp:10.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03125120160
urn:cts:greekLit:tlg0019.tlg007.fu.sp:10.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03125120161
urn:cts:greekLit:tlg0019.tlg007.fu.sp:10.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03125120162
urn:cts:greekLit:tlg0019.tlg007.fu.sp:10.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03125120163
urn:cts:greekLit:tlg0019.tlg007.fu.sp:10.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03125120164
urn:cts:greekLit:tlg0019.tlg007.fu.sp:10.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03125120165
urn:cts:greekLit:tlg0019.tlg007.fu.sp:10.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03125120166
urn:cts:greekLit:tlg0019.tlg007.fu.sp:10.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03125120167
urn:cts:greekLit:tlg0019.tlg007.fu.sp:10.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03125120168
urn:cts:greekLit:tlg0019.tlg007.fu.sp:10.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03125120169
urn:cts:greekLit:tlg0019.tlg007.fu.sp:10.1.text.token3	urn:cite2:fufolio:greekmorph.2026a:20260607T03124010171
urn:cts:greekLit:tlg0019.tlg007.fu.sp:10.1.text.token3	urn:cite2:fufolio:greekmorph.2026a:20260608T1833432599
urn:cts:greekLit:tlg0019.tlg007.fu.sp:10.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260607T0312409400
urn:cts:greekLit:tlg0019.tlg007.fu.sp:10.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260607T0312409401
urn:cts:greekLit:tlg0019.tlg007.fu.sp:10.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260607T10290110108
urn:cts:greekLit:tlg0019.tlg007.fu.sp:10.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260607T10290110109
urn:cts:greekLit:tlg0019.tlg007.fu.sp:10.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260607T10290110110
urn:cts:greekLit:tlg0019.tlg007.fu.sp:10.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260607T0312406488
urn:cts:greekLit:tlg0019.tlg007.fu.sp:10.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260607T0312406489
urn:cts:greekLit:tlg0019.tlg007.fu.sp:10.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260607T0312406490
urn:cts:greekLit:tlg0019.tlg007.fu.sp:10.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430597
urn:cts:greekLit:tlg0019.tlg007.fu.sp:10.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430738
urn:cts:greekLit:tlg0019.tlg007.fu.sp:10.1.text.token6	urn:cite2:fufolio:greekmorph.2026a:20260607T0312400801
urn:cts:greekLit:tlg0019.tlg007.fu.sp:10.1.text.token6	urn:cite2:fufolio:greekmorph.2026a:20260607T0312400802
urn:cts:greekLit:tlg0019.tlg007.fu.sp:10.1.text.token6	urn:cite2:fufolio:greekmorph.2026a:20260607T0312400803
urn:cts:greekLit:tlg0019.tlg007.fu.sp:10.1.text.token6	urn:cite2:fufolio:greekmorph.2026a:20260607T0312400804
