frequency	elided_form	expanded_form	presentation_form	turns
79	δ’	δέ	δέ	urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:25.1.text.token5,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:66.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:103.2.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:119.1.text.token6,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:121.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:122.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:127.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:138.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:140.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:163.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:186.1.text.token4,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:203.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:207.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:210.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:215.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:250.1.text.token5,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:327.2.text.token5,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:428.1.text.token5,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:430.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:453.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:481.1.text.token8,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:492.1.text.token5,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:523.1.text.token7,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:524.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:530.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:612.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:614.1.text.token8,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:623.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:632.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:646.1.text.token8,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:647.1.text.token7,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:660.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:692.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:695.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:732.1.text.token7,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:736.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:757.1.text.token6,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:758.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:821.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:825.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:830.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:836.1.text.token7,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:846.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:847.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:891.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:902.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:923.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:940.1.text.token6,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:993.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:996.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1011.1.text.token6,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1015.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1027.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1028.1.text.token7,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1040.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1093.1.text.token6,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1094.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1107.1.text.token9,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1118.1.text.token7,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1141.1.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1149.1.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1159.1.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1178.1.text.token6,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1179.1.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1180.1.text.token6,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1181.1.text.token7,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1185.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1185.1.text.token9,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1190.1.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1211.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1216.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1231.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1240.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1273.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1276.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1287.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1287.1.text.token6,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1301.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1350.1.text.token2
76	ἀλλ’	ἀλλά	ἀλλά	urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:6.2.text.token5,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:8.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:29.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:49.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:55.1.text.token5,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:78.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:97.1.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:113.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:137.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:154.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:232.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:259.2.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:267.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:277.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:296.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:311.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:324.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:324.1.text.token7,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:331.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:338.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:351.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:357.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:363.1.text.token4,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:367.2.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:380.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:439.1.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:454.1.text.token4,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:464.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:469.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:476.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:478.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:480.1.text.token4,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:499.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:506.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:514.1.text.token4,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:571.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:634.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:649.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:657.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:658.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:685.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:713.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:718.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:729.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:752.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:759.1.text.token7,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:763.1.text.token4,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:842.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:884.2.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:906.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:908.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:909.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:927.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:966.2.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:967.2.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:973.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:987.1.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1018.2.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1020.1.text.token5,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1041.1.text.token6,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1046.2.text.token4,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1061.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1096.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1103.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1106.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1118.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1144.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1203.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1227.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1238.2.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1245.2.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1268.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1302.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1307.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1312.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1340.1.text.token1
40	γ’	γε	γε	urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:20.1.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:45.1.text.token11,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:103.2.text.token4,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:109.1.text.token6,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:149.1.text.token4,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:150.1.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:271.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:285.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:326.1.text.token5,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:333.1.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:452.1.text.token4,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:475.1.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:479.1.text.token4,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:618.1.text.token6,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:675.2.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:675.2.text.token5,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:856.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:857.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:894.1.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:898.1.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:904.1.text.token4,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:911a.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:923.1.text.token4,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:930.3.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:931.2.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:934.2.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:942.1.text.token4,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:966.1.text.token4,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:979.1.text.token7,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1041.1.text.token4,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1048.2.text.token4,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1109.2.text.token5,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1127.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1234.1.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1251.1.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1260.2.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1261.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1272.1.text.token5,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1311.1.text.token4,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1351.1.text.token2
21	ποτ’	ποτε	ποτε	urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:39.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:68.1.text.token4,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:185.1.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:189.1.text.token8,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:221.1.text.token6,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:290.1.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:438.1.text.token6,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:591.1.text.token5,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:601.1.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:677.1.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:714.1.text.token7,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:893.1.text.token8,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:968.1.text.token5,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1037.1.text.token5,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1045.1.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1048.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1077.1.text.token6,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1087.1.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1231.1.text.token4,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1289.1.text.token9,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1304.1.text.token4
18	ταῦτ’	ταῦτα	ταῦτα	urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:70.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:72.1.text.token4,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:110.1.text.token4,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:210.1.text.token5,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:275.2.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:414.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:416.1.text.token6,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:617.1.text.token7,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:643.1.text.token6,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:663.1.text.token5,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:668.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:688.1.text.token4,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:732.1.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1016.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1095.1.text.token7,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1207.1.text.token6,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1261.1.text.token6,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1285.1.text.token1
17	Δί’	Δία	Δία	urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:6.2.text.token4,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:19.1.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:104.1.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:195.1.text.token6,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:218.1.text.token7,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:262.1.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:439.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:483.1.text.token6,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:566.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:630.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:930.2.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:987.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1046.2.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1096.1.text.token6,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1236.1.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1265.1.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1290.2.text.token4
17	μ’	με	με	urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:30.1.text.token8,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:74.1.text.token4,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:77.1.text.token4,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:166.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:318.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:328.1.text.token5,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:334.1.text.token5,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:349.1.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:351.1.text.token4,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:670.1.text.token6,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:679.1.text.token6,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:693.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:859.1.text.token5,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1188.1.text.token4,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1210.1.text.token4,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1229.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1250.1.text.token5
12	τοῦτ’	τοῦτο	τοῦτο	urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:42.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:47.1.text.token7,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:64.1.text.token1,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:245.1.text.token4,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:254.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:289.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:411.1.text.token6,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:516.1.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:681.1.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:953.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1075.1.text.token4,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1106.1.text.token3
11	δῆτ’	δῆτα	δῆτα	urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:92.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:200.1.text.token4,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:274.1.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:630.1.text.token7,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:725.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:859.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:978.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1055.2.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1233.2.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1262.1.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:1279.1.text.token3
10	σ’	σε	σε	urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:87.1.text.token8,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:382.1.text.token6,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:388.1.text.token5,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:400.1.text.token4,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:520.1.text.token6,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:522.1.text.token3,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:557.1.text.token2,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:908.1.text.token8,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:909.1.text.token4,urn:cts:greekLit:tlg0019.tlg005.fu-sp.tok:917.1.text.token7
