Αἰσχινάδου	*ai)sxina/dhs	none-found	n-s---mg-
Αἰσώπου	*ai)/swpos	none-found	n-s---mg-
Βρασίδου	*brasi/das	none-found	n-s---mg-
Γανυμήδους	*ganumh/dhs	none-found	n-s---mg-
Γλαυκέτῃ	*glauke/ths	none-found	n-s---md-
Γοργόνας	*gorgo/nes	none-found	n-p---fa-
Γοργόνας	*gorgw/n	none-found	n-p---fa-
Γοργόνες	*gorgo/nes	none-found	n-p---fn-
Γοργόνες	*gorgo/nes	none-found	n-p---fv-
Γοργόνες	*gorgw/n	none-found	n-p---fn-
Γοργόνες	*gorgw/n	none-found	n-p---fv-
Διοσκόρω	*diosko/ros	none-found	n-s---mg-
Δάτιδος	*da/tis	none-found	n-s---mg-
Δάτιδος	*da/tis	none-found	n-s---fg-
Δία	*di/h	none-found	n-s---fn-
Δία	*di/h	none-found	n-s---fv-
Θεωρία	*qewri/h	none-found	n-d---fn-
Θεωρία	*qewri/h	none-found	n-d---fv-
Θεωρία	*qewri/h	none-found	n-d---fa-
Θεωρία	*qewri/h	none-found	n-s---fn-
Θεωρία	*qewri/h	none-found	n-s---fv-
Θεωρίαν	*qewri/h	none-found	n-s---fa-
Θεωρίας	*qewri/h	none-found	n-p---fa-
Θεωρίας	*qewri/h	none-found	n-s---fg-
Θρᾴκης	*qra|ki/a	none-found	n-s---fg-
Θρᾷτταν	*qra=|ssa-pl	none-found	n-s---fa-
Κλεωνύμου	*klew/numos	none-found	n-s---mg-
Κλεωνύμου	*klewnu/mhs	none-found	n-s---mg-
Κλεώνυμος	*klew/numos	none-found	n-s---mn-
Κλέωνα	*kle/wn	none-found	n-s---ma-
Κλέωνα	*klew/nhs	none-found	n-s---mv-
Κλέωνα	*klew/nhs	none-found	n-s---mn-
Κρατῖνος	*krati=nos	none-found	n-s---mn-
Κυζικηνικόν	*kuzikhniko/s	none-found	a-s---ma-
Κυζικηνικόν	*kuzikhniko/s	none-found	a-s---nn-
Κυζικηνικόν	*kuzikhniko/s	none-found	a-s---nv-
Κυζικηνικόν	*kuzikhniko/s	none-found	a-s---na-
Κύννης	*ku/nna	none-found	n-s---fg-
Λακεδαιμονίοισιν	*lakedaimo/nios	none-found	a-p---md-
Λακεδαιμονίοισιν	*lakedaimo/nios	none-found	a-p---nd-
Λαμίας	*lami/as	none-found	n-p---ma-
Λαμίας	*lami/as	none-found	n-s---mn-
Λυσιμάχην	*lusima/xh	none-found	n-s---fa-
Μελάνθιον	*mela/nqios	none-found	n-s---ma-
Μελάνθιος	*mela/nqios	none-found	n-s---mn-
Μηδείας	*mh/deios	none-found	a-p---fa-
Μηδείας	*mh/deios	none-found	a-s---fg-
Μοῦσα	*mou=sai	none-found	n-s---fn-
Μοῦσα	*mou=sai	none-found	n-s---fv-
Μοῦσα	*mou=sai	none-found	n-s---fn-
Μοῦσα	*mou=sai	none-found	n-s---fv-
Μέγαρ’	*me/garos	none-found	n-s---mv-
Πανδίονος	*pandi/wn	none-found	n-s---mg-
Πεισάνδρου	*pei/sandros	none-found	n-s---mg-
Περικλέης	*periklh=s	none-found	n-s---mn-
Πηγάσειον	*phga/seios	none-found	a-s---ma-
Πηγάσειον	*phga/seios	none-found	a-s---nn-
Πηγάσειον	*phga/seios	none-found	a-s---nv-
Πηγάσειον	*phga/seios	none-found	a-s---na-
Πρασιαί	*prasiai/	none-found	n-p---fn-
Πρασιαί	*prasiai/	none-found	n-p---fv-
Πόλεμον	*pole/mwn	none-found	n-s---mv-
Σαρδιανικόν	*sardianiko/s	none-found	a-s---ma-
Σαρδιανικόν	*sardianiko/s	none-found	a-s---nn-
Σαρδιανικόν	*sardianiko/s	none-found	a-s---nv-
Σαρδιανικόν	*sardianiko/s	none-found	a-s---na-
Σαΐων	*sai/+wn	none-found	n-s---mn-
Σαΐων	*sai/+wn	none-found	n-s---mv-
Σοφοκλέης	*sofoklh=s	none-found	n-s---mn-
Σοφοκλέους	*sofoklh=s	none-found	n-s---mg-
Στιλβίδην	*stilbi/dhs	none-found	n-s---ma-
Τελέᾳ	*tele/as	none-found	n-s---md-
Τρυγαῖε	*trugai=os	none-found	n-s---mv-
Τρυγαῖος	*trugai=os	none-found	n-s---mn-
Τρυγαῖός	*trugai=os	none-found	n-s---mn-
Φειδίας	*feidi/as	none-found	n-p---ma-
Φειδίας	*feidi/as	none-found	n-s---mn-
Φορμίων	*formi/wn	none-found	n-s---mn-
Φορμίων	*formi/wn	none-found	n-s---mv-
Χαρινάδην	*xarina/dhs	none-found	n-s---ma-
Χαῖρις	*xai/ris	none-found	n-s---mn-
αἰνίσσεται	ai)ni/zw	none-found	v3sasm---
αἰνίσσεται	ai)ni/zw	none-found	v3sfim---
βοῆς	boei/h	none-found	n-s---fg-
