frequency	elided_form	expanded_form	presentation_form	turns
75	δ’	δέ	δέ	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:95.2.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:98.1.text.token7,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:141.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:147.1.text.token4,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:154.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:155.1.text.token6,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:160.1.text.token7,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:169.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:170.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:191.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:194.1.text.token7,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:202.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:212.1.text.token5,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:216.1.text.token3,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:267.1.text.token7,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:276.1.text.token3,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:279.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:290.1.text.token4,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:293.1.text.token5,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:305.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:329.1.text.token4,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:350.1.text.token4,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:355.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:356.1.text.token5,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:390.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:398.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:418.1.text.token7,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:426.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:432.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:438.1.text.token3,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:439.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:445.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:450.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:471.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:477.1.text.token7,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:479.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:483.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:502.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:504.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:505.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:510.1.text.token7,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:511.1.text.token8,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:529.1.text.token3,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:550.1.text.token7,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:582.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:592.1.text.token6,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:612.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:627.1.text.token8,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:628.1.text.token8,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:672.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:692.1.text.token4,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:717.1.text.token5,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:731.1.text.token6,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:737.1.text.token6,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:740.1.text.token5,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:750.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:773.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:802.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:824.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:827.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:831.1.text.token6,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:846.1.text.token6,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:862.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:866.1.text.token7,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:885.1.text.token5,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:899.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:906.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:925.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1058.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1063.2.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1121.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1175.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1182.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1204.1.text.token7,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1229.1.text.token6
48	ἀλλ’	ἀλλά	ἀλλά	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:5.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:32.1.text.token3,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:35.1.text.token7,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:36.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:97.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:143.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:176.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:197.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:244.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:250.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:260.2.text.token3,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:264.1.text.token5,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:282.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:368.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:424.1.text.token6,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:449.1.text.token4,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:457.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:528.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:531.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:534.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:554.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:567.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:598.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:686.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:693.1.text.token6,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:710.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:719.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:748.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:751.1.text.token7,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:753.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:762.1.text.token5,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:771.1.text.token4,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:791.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:808.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:812.1.text.token7,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:814.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:844.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:869.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:922.1.text.token3,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:924.1.text.token4,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:985.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1032.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1062.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1064.1.text.token6,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1111.1.text.token5,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1129.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1131.1.text.token5,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1197.1.text.token1
36	γ’	γε	γε	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:7.2.text.token3,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:8.2.text.token3,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:34.1.text.token5,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:34.1.text.token9,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:35.1.text.token5,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:63.1.text.token4,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:78.1.text.token6,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:86.1.text.token6,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:132.1.text.token6,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:145.1.text.token5,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:200.1.text.token4,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:225.1.text.token6,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:240.1.text.token7,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:251.1.text.token7,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:254.1.text.token5,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:267.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:567.2.text.token6,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:613.1.text.token5,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:640.1.text.token5,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:706.1.text.token5,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:710.1.text.token4,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:710.1.text.token8,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:749.2.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:755.1.text.token4,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:804.1.text.token3,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:860.2.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:883.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:898.1.text.token4,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:910.1.text.token6,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:934.2.text.token6,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:986a.1.text.token3,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1064.1.text.token4,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1075.1.text.token4,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1187.1.text.token7,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1207.1.text.token4,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1218.2.text.token2
28	μ’	με	με	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:2.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:3.1.text.token8,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:4.1.text.token5,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:7.1.text.token3,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:8.1.text.token5,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:10.1.text.token5,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:176.1.text.token7,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:181.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:215.1.text.token5,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:265.1.text.token5,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:406.1.text.token5,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:484.1.text.token3,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:611.1.text.token3,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:618.1.text.token3,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:693.1.text.token3,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:743.2.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:904.1.text.token8,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:915.1.text.token6,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:935.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:964.1.text.token4,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1002.2.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1021.1.text.token3,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1022.1.text.token3,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1036.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1073.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1121.1.text.token6,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1134.1.text.token3,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1214.1.text.token2
21	τ’	τε	τε	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:47.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:114.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:120.1.text.token4,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:123.1.text.token3,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:159.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:306.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:326.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:334.1.text.token5,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:337.1.text.token3,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:396.1.text.token4,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:515.1.text.token3,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:558.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:670.1.text.token4,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:673.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:675.1.text.token3,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:683.1.text.token6,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:720.1.text.token4,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:834.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:887.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:997.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1219.1.text.token2
16	σ’	σε	σε	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:134.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:145.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:582.1.text.token9,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:722.1.text.token4,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:726.1.text.token6,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:729.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:751.1.text.token5,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:909.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:910.1.text.token4,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:917.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:926.1.text.token4,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1057.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1120.1.text.token3,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1125.2.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1126.2.text.token3,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1224.1.text.token4
16	οὐδ’	οὐδέ	οὐδέ	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:8.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:276.1.text.token7,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:452.1.text.token4,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:463.1.text.token5,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:468.1.text.token5,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:491.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:493.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:498.1.text.token6,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:560.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:561.1.text.token4,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:562.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:564.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:807.1.text.token5,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:809.1.text.token6,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:811.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1030.1.text.token2
15	Δί’	Δία	Δία	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:20.1.text.token3,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:34.1.text.token3,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:175.1.text.token3,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:207.1.text.token6,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:235.2.text.token3,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:259.1.text.token3,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:260.2.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:552.2.text.token3,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:555.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:609.2.text.token3,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:615.2.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:934.2.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1075.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1090.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1125.1.text.token2
10	ταῦτ’	ταῦτα	ταῦτα	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:168.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:310.1.text.token3,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:420.1.text.token6,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:431.1.text.token4,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:473.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:490.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:517.1.text.token1,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:649.1.text.token5,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:943.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1163.1.text.token5
8	δῆτ’	δῆτα	δῆτα	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:143.1.text.token4,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:144.1.text.token8,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:226.2.text.token3,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:563.2.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:607.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:705.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:847.1.text.token2,urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:849.1.text.token2
