Αἴγιναν	*ai)/ginan	Αἴγινα	*ai)/gina	urn:cite2:hmt:lsj.chicago_md:n2161	n-s---fa-
Βακχίου	*bakxi/ou	Βάκχειος	*ba/kxeios	urn:cite2:hmt:lsj.chicago_md:n19172	a-s---mg-
Βακχίου	*bakxi/ou	Βάκχειος	*ba/kxeios	urn:cite2:hmt:lsj.chicago_md:n19172	a-s---ng-
Βακχίου	*bakxi/ou	Βάκχειος	*ba/kxeios	urn:cite2:hmt:lsj.chicago_md:n19172	a-s---mg-
Βακχίου	*bakxi/ou	Βάκχειος	*ba/kxeios	urn:cite2:hmt:lsj.chicago_md:n19172	a-s---ng-
Βακχίου	*bakxi/ou	Βακχιόω	*bakxio/w	urn:cite2:hmt:lsj.chicago_md:n19190	v3siia---
Βακχίου	*bakxi/ou	Βακχιόω	*bakxio/w	urn:cite2:hmt:lsj.chicago_md:n19190	v2spma---
Βοιωτοῖς	*boiwtoi=s	Βοιωτός	*boiwto/s	urn:cite2:hmt:lsj.chicago_md:n20256	n-p---md-
Βοιωτοῖσιν	*boiwtoi=sin	Βοιωτός	*boiwto/s	urn:cite2:hmt:lsj.chicago_md:n20256	n-p---md-
Βοιωτίδιον	*boiwti/dion	Βοιωτίδιον	*boiwti/dion	urn:cite2:hmt:lsj.chicago_md:n20254a	n-s---nn-
Βοιωτίδιον	*boiwti/dion	Βοιωτίδιον	*boiwti/dion	urn:cite2:hmt:lsj.chicago_md:n20254a	n-s---nv-
Βοιωτίδιον	*boiwti/dion	Βοιωτίδιον	*boiwti/dion	urn:cite2:hmt:lsj.chicago_md:n20254a	n-s---na-
Βοιωτίδιον	*boiwti/dion	βοιωτίδιον	boiwti/dion	urn:cite2:hmt:lsj.chicago_md:n20254a	n-s---nn-
Βοιωτίδιον	*boiwti/dion	βοιωτίδιον	boiwti/dion	urn:cite2:hmt:lsj.chicago_md:n20254a	n-s---nv-
Βοιωτίδιον	*boiwti/dion	βοιωτίδιον	boiwti/dion	urn:cite2:hmt:lsj.chicago_md:n20254a	n-s---na-
Γηρυόνῃ	*ghruo/nh|	Γηρυόνης	*ghruo/nhs	urn:cite2:hmt:lsj.chicago_md:n22162	n-s---md-
Γοργόνα	*gorgo/na	Γοργόνη	*gorgo/nh	urn:cite2:hmt:lsj.chicago_md:n22684	n-d---fn-
Γοργόνα	*gorgo/na	Γοργόνη	*gorgo/nh	urn:cite2:hmt:lsj.chicago_md:n22684	n-d---fv-
Γοργόνα	*gorgo/na	Γοργόνη	*gorgo/nh	urn:cite2:hmt:lsj.chicago_md:n22684	n-d---fa-
Γοργόνα	*gorgo/na	Γοργόνη	*gorgo/nh	urn:cite2:hmt:lsj.chicago_md:n22684	n-s---fn-
Γοργόνα	*gorgo/na	Γοργόνη	*gorgo/nh	urn:cite2:hmt:lsj.chicago_md:n22684	n-s---fv-
Γοργόν’	*gorgo/n'	Γοργόνη	*gorgo/nh	urn:cite2:hmt:lsj.chicago_md:n22684	n-s---fd-
Γέλα	*ge/la	γελάω	gela/w	urn:cite2:hmt:lsj.chicago_md:n21783	v2spma---
Γέλα	*ge/la	γελάω	gela/w	urn:cite2:hmt:lsj.chicago_md:n21783	v3siia---
Δεύς	*deu/s	Δεύς	*deu/s	urn:cite2:hmt:lsj.chicago_md:n24228	n-s---mn-
Διαλλαγή	*diallagh/	διαλλαγή	diallagh/	urn:cite2:hmt:lsj.chicago_md:n25153	n-s---fn-
Διαλλαγή	*diallagh/	διαλλαγή	diallagh/	urn:cite2:hmt:lsj.chicago_md:n25153	n-s---fv-
Δικαιόπολι	*dikaio/poli	Δικαιόπολις	*dikaio/polis	urn:cite2:hmt:lsj.chicago_md:n26879	n-s---mv-
Δικαιόπολι	*dikaio/poli	δικαιόπολις	dikaio/polis	urn:cite2:hmt:lsj.chicago_md:n26879	n-s---fv-
Δικαιόπολιν	*dikaio/polin	Δικαιόπολις	*dikaio/polis	urn:cite2:hmt:lsj.chicago_md:n26879	n-s---ma-
Δικαιόπολιν	*dikaio/polin	δικαιόπολις	dikaio/polis	urn:cite2:hmt:lsj.chicago_md:n26879	n-s---fa-
Δικαιόπολις	*dikaio/polis	Δικαιόπολις	*dikaio/polis	urn:cite2:hmt:lsj.chicago_md:n26879	n-s---mn-
Δικαιόπολις	*dikaio/polis	δικαιόπολις	dikaio/polis	urn:cite2:hmt:lsj.chicago_md:n26879	n-s---fn-
Διομειαλαζόνας	*diomeialazo/nas	Διομειαλαζών	*diomeialazw/n	urn:cite2:hmt:lsj.chicago_md:n27187	n-p---ma-
Διομειαλαζόνας	*diomeialazo/nas	Διομειαλαζών	*diomeialazw/n	urn:cite2:hmt:lsj.chicago_md:n27187	n-p---fa-
Διονύσια	*dionu/sia	Διονύσια	*dionu/sia	urn:cite2:hmt:lsj.chicago_md:n27204	n-p---nn-
Διονύσια	*dionu/sia	Διονύσια	*dionu/sia	urn:cite2:hmt:lsj.chicago_md:n27204	n-p---nv-
Διονύσια	*dionu/sia	Διονύσια	*dionu/sia	urn:cite2:hmt:lsj.chicago_md:n27204	n-p---na-
Διονύσια	*dionu/sia	Διονύσιον	*dionu/sion	urn:cite2:hmt:lsj.chicago_md:n27209	n-p---nn-
Διονύσια	*dionu/sia	Διονύσιον	*dionu/sion	urn:cite2:hmt:lsj.chicago_md:n27209	n-p---nv-
Διονύσια	*dionu/sia	Διονύσιον	*dionu/sion	urn:cite2:hmt:lsj.chicago_md:n27209	n-p---na-
Διονύσια	*dionu/sia	Διονύσιος	*dionu/sios	urn:cite2:hmt:lsj.chicago_md:n27210	a-p---nn-
