Αἰγύπτιος	*ai)gu/ptios	Αἰγύπτιος	*ai)gu/ptios	a-s---mn-
Αἰγύπτου	*ai)gu/ptou	Αἴγυπτος	*ai)/guptos	n-s---fg-
Αἰγύπτου	*ai)gu/ptou	Αἴγυπτος	*ai)/guptos	n-s---mg-
Αἰσχίνου	*ai)sxi/nou	Αἰσχίνης	*ai)sxi/nhs	n-s---mg-
Αἰσχύλον	*ai)sxu/lon	Αἰσχύλος	*ai)sxu/los	n-s---ma-
Αἰσώπου	*ai)sw/pou	Αἴσωπος	*ai)/swpos	n-s---mg-
Αἴσωπον	*ai)/swpon	Αἴσωπος	*ai)/swpos	n-s---ma-
Αἴτνας	*ai)/tnas	Αἰ̈τνη	*ai)+tnh	n-p---fa-
Αἴτνας	*ai)/tnas	Αἰ̈τνη	*ai)+tnh	n-s---fg-
Αἴτνας	*ai)/tnas	Αἴτνη	*ai)/tnh	n-p---fa-
Αἴτνας	*ai)/tnas	Αἴτνη	*ai)/tnh	n-s---fg-
Βαβυλῶνα	*babulw=na	Βαβυλών	*babulw/n	n-s---fa-
Βαβυλῶνα	*babulw=na	Βαβυλών	*babulw/n	n-s---ma-
Βασίλεια	*basi/leia	βασίλεια	basi/leia	n-s---fn-
Βασίλεια	*basi/leia	βασίλεια	basi/leia	n-s---fv-
Βασίλεια	*basi/leia	βασίλειον	basi/leion	n-p---nn-
Βασίλεια	*basi/leia	βασίλειον	basi/leion	n-p---nv-
Βασίλεια	*basi/leia	βασίλειον	basi/leion	n-p---na-
Βασίλεια	*basi/leia	βασίλειος	basi/leios	a-p---nn-
Βασίλεια	*basi/leia	βασίλειος	basi/leios	a-p---nv-
Βασίλεια	*basi/leia	βασίλειος	basi/leios	a-p---na-
Βασίλεια	*basi/leia	βασίλειος	basi/leios	n-p---nn-
Βασίλεια	*basi/leia	βασίλειος	basi/leios	n-p---nv-
Βασίλεια	*basi/leia	βασίλειος	basi/leios	n-p---na-
Βασίλειαν	*basi/leian	βασίλεια	basi/leia	n-s---fa-
Βασίλειάν	*basi/leia/n	βασίλεια	basi/leia	n-s---fa-
Βοιωτούς	*boiwtou/s	Βοιωτός	*boiwto/s	n-p---ma-
Βάκιδος	*ba/kidos	Βάκις	*ba/kis	n-s---fg-
Βάκις	*ba/kis	Βάκις	*ba/kis	n-s---fn-
Γοργίαι	*gorgi/ai	Γοργίας	*gorgi/as	n-s---md-
Δαρείου	*darei/ou	Δαρεῖος	*darei=os	n-s---mg-
Δελφοί	*delfoi/	Δελφοί	*delfoi/	n-p---mn-
Δελφοί	*delfoi/	Δελφοί	*delfoi/	n-p---mv-
Δελφούς	*delfou/s	Δελφοί	*delfoi/	n-p---ma-
Δηλίῳ	*dhli/w|	Δήλιος	*dh/lios	a-s---md-
Δηλίῳ	*dhli/w|	Δήλιος	*dh/lios	a-s---nd-
Δηλίῳ	*dhli/w|	Δήλιος	*dh/lios	n-s---md-
Δηλίῳ	*dhli/w|	Δήλιος	*dh/lios	n-s---fd-
