form	token_urn	expanded_form	presentation_form
ʼβουλόμην	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1147.1.text.token.6	ἐβουλόμην	ἐβουλόμην
ʼγʼὼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1480.1.text.token.3		ʼγʼώ
ʼγωγε	urn:cts:greekLit:tlg0019.tlg009.fu.sp:276.1.text.token.4	ἐγωγε	ἐγωγε
ʼγὼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:28.1.text.token.6	ἐγώ	ἐγώ
ʼγὼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:495.1.text.token.4	ἐγώ	ἐγώ
ʼγὼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1147.1.text.token.5	ἐγώ	ἐγώ
ʼγώ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:25.1.text.token.4	ἐγώ	ἐγώ
ʼδραττόμην	urn:cts:greekLit:tlg0019.tlg009.fu.sp:545.1.text.token.2	ἐδραττόμην	ἐδραττόμην
ʼζων	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1072.1.text.token.10	ἐζων	ἐζων
ʼκλεψα	urn:cts:greekLit:tlg0019.tlg009.fu.sp:614.1.text.token.2	ἐκλεψα	ἐκλεψα
ʼκτραφεὶς	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1191.1.text.token.3	ἐκτραφείς	ἐκτραφείς
ʼμʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:601b.1.text.token.1	ἐμε	ἐμε
ʼνεσκεύασα	urn:cts:greekLit:tlg0019.tlg009.fu.sp:523.1.text.token.5	ἐνεσκεύασα	ἐνεσκεύασα
ʼνθάδʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:436.1.text.token.3	ἐνθάδʼ	ἐνθάδʼ
ʼνιαυτῷ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:18.1.text.token.3	ἐνιαυτῷ	ἐνιαυτῷ
ʼξεκένωσεν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1070.1.text.token.2	ἐξεκένωσεν	ἐξεκένωσεν
ʼξεμεῖν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:11.1.text.token.10	ἐξεμεῖν	ἐξεμεῖν
ʼπʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:928.1.text.token.7	ἐπί	ἐπί
ʼπικαθῆτο	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1046.1.text.token.10	ἐπικαθῆτο	ἐπικαθῆτο
ʼπάταξα	urn:cts:greekLit:tlg0019.tlg009.fu.sp:647.1.text.token.3	ἐπάταξα	ἐπάταξα
ʼπάταξά	urn:cts:greekLit:tlg0019.tlg009.fu.sp:645.1.text.token.2	ἐπάταξά	ἐπάταξά
ʼπὶ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:187.1.text.token.10	ἐπί	ἐπί
ʼπὶ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:199.1.text.token.2	ἐπί	ἐπί
ʼπίορκον	urn:cts:greekLit:tlg0019.tlg009.fu.sp:150.1.text.token.4	ἐπίορκον	ἐπίορκον
ʼρεῖς	urn:cts:greekLit:tlg0019.tlg009.fu.sp:7.1.text.token.8	ἐρεῖς	ἐρεῖς
ʼσται	urn:cts:greekLit:tlg0019.tlg009.fu.sp:596.1.text.token.1	ἐσται	ἐσται
ʼστι	urn:cts:greekLit:tlg0019.tlg009.fu.sp:291.2.text.token.2	ἐστί	ἐστί
ʼστιν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:83.1.text.token.4	ἐστίν	ἐστίν
ʼστιν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:286.1.text.token.3	ἐστίν	ἐστίν
ʼστιν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:292.1.text.token.5	ἐστίν	ἐστίν
ʼστιν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:483.2.text.token.2	ἐστίν	ἐστίν
ʼστιν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:983.1.text.token.6	ἐστίν	ἐστίν
ʼστιν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1305.1.text.token.6	ἐστίν	ἐστίν
ʼστὶ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1401.1.text.token.6	ἐστί	ἐστί
ʼστὶν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:182.1.text.token.2	ἐστίν	ἐστίν
ʼτέρᾳ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:64.1.text.token.6	ἐτέρᾳ	ἐτέρᾳ
ʼφύλαττον	urn:cts:greekLit:tlg0019.tlg009.fu.sp:469.1.text.token.3	ἐφύλαττον	ἐφύλαττον
Αἰσχύλʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:856.1.text.token.6	Αἰσχύλε	Αἰσχύλε
Αἰσχύλʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1171.1.text.token.1	Αἰσχύλε	Αἰσχύλε
Βακχεῖʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:357.1.text.token.6		Βακχεῖʼ
Διόνυσʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1479.1.text.token.4	Διόνυσε	Διόνυσε
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:3.1.text.token.3	Δία	Δία
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:28.1.text.token.11	Δία	Δία
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:70.1.text.token.3	Δία	Δία
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:128.1.text.token.3	Δία	Δία
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:159.1.text.token.3	Δία	Δία
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:174.1.text.token.2	Δία	Δία
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:192.1.text.token.3	Δία	Δία
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:306.2.text.token.2	Δία	Δία
