’	e)\	- no urn found -	ἒ
Αἰσχύλε	*ai)sxu/los	- no urn found -	Αἰσχύλος
Αἰσχύλον	*ai)sxu/los	- no urn found -	Αἰσχύλος
Αἰσχύλος	*ai)sxu/los	- no urn found -	Αἰσχύλος
Αἰσχύλου	*ai)sxu/los	- no urn found -	Αἰσχύλος
Αἴολον	*ai)/olos	- no urn found -	Αἴολος
Βακχεῖ’	*bakxei=a	- no urn found -	Βακχεῖα
Βακχεῖ’	*bakxei=a	- no urn found -	Βακχεῖα
Βακχεῖ’	*bakxei=a	- no urn found -	Βακχεῖα
Βελλεροφόντας	*bellerofo/nths	- no urn found -	Βελλεροφόντης
Γλύκη	*glu/kh	- no urn found -	Γλύκη
Γλύκη	*glu/kh	- no urn found -	Γλύκη
Γλύκης	*glu/kh	- no urn found -	Γλύκη
Γοργόνες	*gorgo/nes	- no urn found -	Γοργόνες
Γοργόνες	*gorgo/nes	- no urn found -	Γοργόνες
Γοργόνες	*gorgw/n	- no urn found -	Γοργών
Γοργόνες	*gorgw/n	- no urn found -	Γοργών
Διαγόρας	*diago/ras	- no urn found -	Διαγόρας
Διαγόρας	*diago/ras	- no urn found -	Διαγόρας
Διονύσου	*dionu/sos	- no urn found -	Διονύσος
Διτύλας	*ditu/lhs	- no urn found -	Διτύλης
Διτύλας	*ditu/lhs	- no urn found -	Διτύλης
Δία	*di/h	- no urn found -	Δίη
Δία	*di/h	- no urn found -	Δίη
Δία	*di/on	- no urn found -	Δίον
Δία	*di/on	- no urn found -	Δίον
Δία	*di/on	- no urn found -	Δίον
Εὐριπίδη	*eu)ripi/dhs	- no urn found -	Εὐριπίδης
Εὐριπίδην	*eu)ripi/dhs	- no urn found -	Εὐριπίδης
Εὐριπίδης	*eu)ripi/dhs	- no urn found -	Εὐριπίδης
Εὐριπίδου	*eu)ripi/dhs	- no urn found -	Εὐριπίδης
Θηβαίους	*qhbai=os	- no urn found -	Θηβαῖος
Θηραμένης	*qhrame/nhs	- no urn found -	Θηραμένης
Θηραμένης	*qhrame/nhs	- no urn found -	Θηραμένης
Θηραμένης	*qhrame/nhs	- no urn found -	Θηραμένης
Θηραμένης	*qhrame/nhs	- no urn found -	Θηραμένης
Θηραμένους	*qhrame/nhs	- no urn found -	Θηραμένης
Θρῃκία	*qra|ki/a	- no urn found -	Θρᾳκία
Θρῃκία	*qra|ki/a	- no urn found -	Θρᾳκία
Θρῃκία	*qra|ki/a	- no urn found -	Θρᾳκία
Θρῃκία	*qra|ki/a	- no urn found -	Θρᾳκία
Θρῃκία	*qra|ki/a	- no urn found -	Θρᾳκία
Θρῃκία	*qra|ki/a	- no urn found -	Θρᾳκία
Θρῃκία	*qra|ki/a	- no urn found -	Θρᾳκία
Θρῃκία	*qra|ki/a	- no urn found -	Θρᾳκία
Θρῃκία	*qra|ki/a	- no urn found -	Θρᾳκία
Θρῃκία	*qra|ki/a	- no urn found -	Θρᾳκία
Θρῃκία	*qrh/|kios	- no urn found -	Θρῄκιος
Θρῃκία	*qrh/|kios	- no urn found -	Θρῄκιος
Θρῃκία	*qrh/|kios	- no urn found -	Θρῄκιος
Θρῃκία	*qrh/|kios	- no urn found -	Θρῄκιος
Θρῃκία	*qrh/|kios	- no urn found -	Θρῄκιος
Θωρυκίων	*qwruki/wn	- no urn found -	Θωρυκίων
Θωρυκίων	*qwruki/wn	- no urn found -	Θωρυκίων
Θάνατος	*qa/natos	- no urn found -	Θάνατος
Θήβας	*qh/bh	- no urn found -	Θήβη
Καλλίαν	*kalli/as	- no urn found -	Καλλίας
Καλλίαν	kalli/a	- no urn found -	καλλία
Κεραμεικόν	*kerameiko/s	- no urn found -	Κεραμεικός
Κεραμῆς	*keramei=s	- no urn found -	Κεραμεῖς
Κεραμῆς	*keramei=s	- no urn found -	Κεραμεῖς
Κεραμῆς	*keramei=s	- no urn found -	Κεραμεῖς
Κεῖος	*kei=os	- no urn found -	Κεῖος
