frequency	elided_form	expanded_form	presentation_form	turns
99	δ’	δέ	δέ	urn:cts:greekLit:tlg0019.tlg007.fu.sp:4.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:13.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:18.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:19.1.text.token.4,urn:cts:greekLit:tlg0019.tlg007.fu.sp:19.1.text.token.8,urn:cts:greekLit:tlg0019.tlg007.fu.sp:21.2.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:37.1.text.token.4,urn:cts:greekLit:tlg0019.tlg007.fu.sp:42.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:80.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:90.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:91.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:93.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:97.1.text.token.7,urn:cts:greekLit:tlg0019.tlg007.fu.sp:104.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:105.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:146.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:152.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:157.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:160.1.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:210.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:211.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:217.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:218.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:244.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:263.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:308.1.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:315.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:366.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:371.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:391.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:392.1.text.token.7,urn:cts:greekLit:tlg0019.tlg007.fu.sp:395.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:396.1.text.token.8,urn:cts:greekLit:tlg0019.tlg007.fu.sp:412.1.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:426.1.text.token.7,urn:cts:greekLit:tlg0019.tlg007.fu.sp:429.1.text.token.5,urn:cts:greekLit:tlg0019.tlg007.fu.sp:491.1.text.token.7,urn:cts:greekLit:tlg0019.tlg007.fu.sp:514.1.text.token.15,urn:cts:greekLit:tlg0019.tlg007.fu.sp:520.1.text.token.8,urn:cts:greekLit:tlg0019.tlg007.fu.sp:523.1.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:543.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:563.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:568.1.text.token.8,urn:cts:greekLit:tlg0019.tlg007.fu.sp:570.1.text.token.8,urn:cts:greekLit:tlg0019.tlg007.fu.sp:649.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:676.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:678.1.text.token.7,urn:cts:greekLit:tlg0019.tlg007.fu.sp:712.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:717.1.text.token.6,urn:cts:greekLit:tlg0019.tlg007.fu.sp:722.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:723.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:723.1.text.token.6,urn:cts:greekLit:tlg0019.tlg007.fu.sp:750.1.text.token.7,urn:cts:greekLit:tlg0019.tlg007.fu.sp:760.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:763.1.text.token.7,urn:cts:greekLit:tlg0019.tlg007.fu.sp:768.1.text.token.5,urn:cts:greekLit:tlg0019.tlg007.fu.sp:772.1.text.token.6,urn:cts:greekLit:tlg0019.tlg007.fu.sp:830.2.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:835.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:849.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:871.1.text.token.6,urn:cts:greekLit:tlg0019.tlg007.fu.sp:894.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:903.1.text.token.6,urn:cts:greekLit:tlg0019.tlg007.fu.sp:904.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:910.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:963.1.text.token.5,urn:cts:greekLit:tlg0019.tlg007.fu.sp:964.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:964.1.text.token.6,urn:cts:greekLit:tlg0019.tlg007.fu.sp:982.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:991.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1011.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1019.1.text.token.7,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1114.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1121.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1123.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1124.1.text.token.7,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1125.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1126.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1128.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1136.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1149.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1153.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1161.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1185.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1200.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1204.1.text.token.4,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1207.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1211.1.text.token.5,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1227.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1234.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1235.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1236.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1254.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1257.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1258.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1266.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1314.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1319.1.text.token.6,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1320.1.text.token.4
87	ἀλλ’	ἀλλά	ἀλλά	urn:cts:greekLit:tlg0019.tlg007.fu.sp:1.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:9.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:15.2.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:20.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:26.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:36.1.text.token.6,urn:cts:greekLit:tlg0019.tlg007.fu.sp:38.1.text.token.4,urn:cts:greekLit:tlg0019.tlg007.fu.sp:56.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:58.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:59.2.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:73.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:74.1.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:107.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:129.1.text.token.5,urn:cts:greekLit:tlg0019.tlg007.fu.sp:130.1.text.token.7,urn:cts:greekLit:tlg0019.tlg007.fu.sp:140.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:153.1.text.token.5,urn:cts:greekLit:tlg0019.tlg007.fu.sp:175.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:242.1.text.token.4,urn:cts:greekLit:tlg0019.tlg007.fu.sp:266.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:275.1.text.token.4,urn:cts:greekLit:tlg0019.tlg007.fu.sp:286.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:292.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:380.2.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:385.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:424.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:427.1.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:471.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:484.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:496.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:497.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:504.2.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:510.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:515.2.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:531.2.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:549.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:551.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:594.2.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:598.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:612.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:615.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:631.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:655.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:661.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:663.1.text.token.5,urn:cts:greekLit:tlg0019.tlg007.fu.sp:665.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:713.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:731.2.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:734.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:745.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:746.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:749.1.text.token.8,urn:cts:greekLit:tlg0019.tlg007.fu.sp:758.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:765.1.text.token.4,urn:cts:greekLit:tlg0019.tlg007.fu.sp:770.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:779.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:825.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:827.1.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:844.1.text.token.5,urn:cts:greekLit:tlg0019.tlg007.fu.sp:867.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:870.1.text.token.6,urn:cts:greekLit:tlg0019.tlg007.fu.sp:882.1.text.token.5,urn:cts:greekLit:tlg0019.tlg007.fu.sp:927.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:927.2.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:928.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:937.2.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:947.2.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:948.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:950.1.text.token.4,urn:cts:greekLit:tlg0019.tlg007.fu.sp:989.2.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:993.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:998.2.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1009.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1019.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1023.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1035.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1048.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1080.1.text.token.8,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1106.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1112.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1118.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1148.1.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1176.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1187.2.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1215.1.text.token.4,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1239.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1316.1.text.token.1
51	γ’	γε	γε	urn:cts:greekLit:tlg0019.tlg007.fu.sp:5.1.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:6.2.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:31.1.text.token.7,urn:cts:greekLit:tlg0019.tlg007.fu.sp:36.1.text.token.4,urn:cts:greekLit:tlg0019.tlg007.fu.sp:59.2.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:74.1.text.token.6,urn:cts:greekLit:tlg0019.tlg007.fu.sp:81.2.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:88.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:115.1.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:117.1.text.token.7,urn:cts:greekLit:tlg0019.tlg007.fu.sp:118.1.text.token.4,urn:cts:greekLit:tlg0019.tlg007.fu.sp:189.2.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:206.1.text.token.4,urn:cts:greekLit:tlg0019.tlg007.fu.sp:238.2.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:252.1.text.token.5,urn:cts:greekLit:tlg0019.tlg007.fu.sp:351.1.text.token.6,urn:cts:greekLit:tlg0019.tlg007.fu.sp:355.1.text.token.4,urn:cts:greekLit:tlg0019.tlg007.fu.sp:374.1.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:377.1.text.token.7,urn:cts:greekLit:tlg0019.tlg007.fu.sp:421.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:466.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:477.1.text.token.6,urn:cts:greekLit:tlg0019.tlg007.fu.sp:509.1.text.token.9,urn:cts:greekLit:tlg0019.tlg007.fu.sp:516.1.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:530.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:572.2.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:626.1.text.token.5,urn:cts:greekLit:tlg0019.tlg007.fu.sp:650.1.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:657.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:661.1.text.token.6,urn:cts:greekLit:tlg0019.tlg007.fu.sp:745.1.text.token.5,urn:cts:greekLit:tlg0019.tlg007.fu.sp:749.1.text.token.6,urn:cts:greekLit:tlg0019.tlg007.fu.sp:764.1.text.token.5,urn:cts:greekLit:tlg0019.tlg007.fu.sp:777.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:858.1.text.token.8,urn:cts:greekLit:tlg0019.tlg007.fu.sp:905.1.text.token.8,urn:cts:greekLit:tlg0019.tlg007.fu.sp:908.1.text.token.5,urn:cts:greekLit:tlg0019.tlg007.fu.sp:934.1.text.token.5,urn:cts:greekLit:tlg0019.tlg007.fu.sp:939.1.text.token.7,urn:cts:greekLit:tlg0019.tlg007.fu.sp:959.1.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1005.1.text.token.4,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1024.1.text.token.4,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1036.3.text.token.4,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1097.1.text.token.7,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1136.1.text.token.4,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1158.1.text.token.4,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1165.1.text.token.6,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1167.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1171.1.text.token.6,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1228.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1246.1.text.token.3
30	Δί’	Δία	Δία	urn:cts:greekLit:tlg0019.tlg007.fu.sp:55.1.text.token.4,urn:cts:greekLit:tlg0019.tlg007.fu.sp:74.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:95.2.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:130.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:194.2.text.token.4,urn:cts:greekLit:tlg0019.tlg007.fu.sp:360.1.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:521.1.text.token.5,urn:cts:greekLit:tlg0019.tlg007.fu.sp:524.1.text.token.12,urn:cts:greekLit:tlg0019.tlg007.fu.sp:561.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:594.2.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:609.1.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:777.1.text.token.6,urn:cts:greekLit:tlg0019.tlg007.fu.sp:836.1.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:862.1.text.token.5,urn:cts:greekLit:tlg0019.tlg007.fu.sp:873.2.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:900.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:908.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:927.2.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:933.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:934.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:970.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:986.1.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:990.1.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1022.1.text.token.5,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1033.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1090.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1095.1.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1147.1.text.token.4,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1188.2.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1241.1.text.token.3
19	μ’	με	με	urn:cts:greekLit:tlg0019.tlg007.fu.sp:84.1.text.token.4,urn:cts:greekLit:tlg0019.tlg007.fu.sp:207.1.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:225.1.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:226.1.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:294.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:297.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:359.1.text.token.8,urn:cts:greekLit:tlg0019.tlg007.fu.sp:366.1.text.token.9,urn:cts:greekLit:tlg0019.tlg007.fu.sp:493.2.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:519.1.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:709.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:746.1.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:753.2.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:845.1.text.token.7,urn:cts:greekLit:tlg0019.tlg007.fu.sp:849.1.text.token.6,urn:cts:greekLit:tlg0019.tlg007.fu.sp:932.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1033.1.text.token.5,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1033.1.text.token.10,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1149.1.text.token.6
17	τ’	τε	τε	urn:cts:greekLit:tlg0019.tlg007.fu.sp:27.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:40.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:75.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:317.1.text.token.5,urn:cts:greekLit:tlg0019.tlg007.fu.sp:389.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:502.1.text.token.8,urn:cts:greekLit:tlg0019.tlg007.fu.sp:633.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:709.1.text.token.5,urn:cts:greekLit:tlg0019.tlg007.fu.sp:719.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:795.1.text.token.4,urn:cts:greekLit:tlg0019.tlg007.fu.sp:892.1.text.token.5,urn:cts:greekLit:tlg0019.tlg007.fu.sp:953.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1249.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1250.1.text.token.4,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1253.1.text.token.5,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1266.1.text.token.5,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1301.1.text.token.2
13	τοῦτ’	τοῦτο	τοῦτο	urn:cts:greekLit:tlg0019.tlg007.fu.sp:96.1.text.token.7,urn:cts:greekLit:tlg0019.tlg007.fu.sp:175.1.text.token.4,urn:cts:greekLit:tlg0019.tlg007.fu.sp:240.2.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:268.1.text.token.4,urn:cts:greekLit:tlg0019.tlg007.fu.sp:290.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:418.1.text.token.6,urn:cts:greekLit:tlg0019.tlg007.fu.sp:486.1.text.token.4,urn:cts:greekLit:tlg0019.tlg007.fu.sp:492.1.text.token.8,urn:cts:greekLit:tlg0019.tlg007.fu.sp:531.2.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:748.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1027.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1117.1.text.token.6,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1163.1.text.token.2
12	παρ’	παρά	παρά	urn:cts:greekLit:tlg0019.tlg007.fu.sp:172.1.text.token.6,urn:cts:greekLit:tlg0019.tlg007.fu.sp:243.1.text.token.6,urn:cts:greekLit:tlg0019.tlg007.fu.sp:453.1.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:532.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:603.1.text.token.4,urn:cts:greekLit:tlg0019.tlg007.fu.sp:613.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:634.1.text.token.4,urn:cts:greekLit:tlg0019.tlg007.fu.sp:854.1.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1056.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1122.1.text.token.4,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1206.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1276.1.text.token.2
12	σ’	σε	σε	urn:cts:greekLit:tlg0019.tlg007.fu.sp:70.2.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:376.1.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:380.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:384.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:636.1.text.token.4,urn:cts:greekLit:tlg0019.tlg007.fu.sp:685.1.text.token.5,urn:cts:greekLit:tlg0019.tlg007.fu.sp:855.1.text.token.5,urn:cts:greekLit:tlg0019.tlg007.fu.sp:905.1.text.token.5,urn:cts:greekLit:tlg0019.tlg007.fu.sp:917.2.text.token.5,urn:cts:greekLit:tlg0019.tlg007.fu.sp:961.1.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:968.1.text.token.4,urn:cts:greekLit:tlg0019.tlg007.fu.sp:1035.1.text.token.3
12	ταῦτ’	ταῦτα	ταῦτα	urn:cts:greekLit:tlg0019.tlg007.fu.sp:46.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:159.1.text.token.2,urn:cts:greekLit:tlg0019.tlg007.fu.sp:181.1.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:233.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:234.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:470.1.text.token.6,urn:cts:greekLit:tlg0019.tlg007.fu.sp:500.1.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:514.1.text.token.11,urn:cts:greekLit:tlg0019.tlg007.fu.sp:518.1.text.token.7,urn:cts:greekLit:tlg0019.tlg007.fu.sp:658.1.text.token.1,urn:cts:greekLit:tlg0019.tlg007.fu.sp:842.1.text.token.3,urn:cts:greekLit:tlg0019.tlg007.fu.sp:888.1.text.token.1
