form	token_urn	expanded_form	presentation_form
Αἰγαίων’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:595.1.text.token3		Αἰγαίων’
Γοργόν’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:1118.1.text.token5		Γοργόν’
Δέσποιν’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:163.1.text.token1		Δέσποιν’
Φοῖβ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:30.1.text.token1		Φοῖβ’
αὐτίκ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:322.1.text.token2		αὐτίκ’
αὔτ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:421.1.text.token5	αὔτε	αὔτε
βαίνουσ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:586.1.text.token1		βαίνουσ’
βουλοίμεθ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:140.1.text.token5		βουλοίμεθ’
γείνατ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:839.1.text.token2		γείνατ’
γηράσκετ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:736.1.text.token1		γηράσκετ’
γυναῖκ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:324.1.text.token1		γυναῖκ’
γυναῖκ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:373.1.text.token1		γυναῖκ’
γυναῖκ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:442.1.text.token5		γυναῖκ’
γυναῖκ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:646.1.text.token1		γυναῖκ’
γυναῖκ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:849.1.text.token5		γυναῖκ’
γυναῖχ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:701.1.text.token1		γυναῖχ’
γυναῖχ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:1066.1.text.token5		γυναῖχ’
γ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:41.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:49.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:54.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:93.1.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:94a.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:149.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:201.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:218.1.text.token8	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:308.1.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:378.1.text.token6	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:389.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:518.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:647.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:648.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:718.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:719.1.text.token7	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:801.1.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:810.1.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:890.1.text.token4	γε	γε
δαίμον’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:935.1.text.token4		δαίμον’
δείν’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:816.1.text.token4		δείν’
δεῦρ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:779.1.text.token1	δεῦρο	δεῦρο
δεῦρ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:1019.1.text.token5	δεῦρο	δεῦρο
δι’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:475.1.text.token1	διά	διά
δι’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:874.1.text.token2	διά	διά
δοκηθέντ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:1161.1.text.token3		δοκηθέντ’
δοκοῦνθ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:936.1.text.token6		δοκοῦνθ’
δράμοιμ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:489.1.text.token6		δράμοιμ’
δάμαρτ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:46.1.text.token1		δάμαρτ’
δάμαρτ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:1129.1.text.token5		δάμαρτ’
δάμαρτ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:1131.1.text.token6		δάμαρτ’
δέχοιτ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:744.1.text.token3		δέχοιτ’
δώδεκ’	urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:431.1.text.token3	δώδεκα	δώδεκα
