token_urn	surface_form	normalized_form	reason
// The pound sign "	" is used as a column divider.	" is used as a column divider.	no_match_in_morph_dict
	!cexversion	!cexversion	no_match_in_morph_dict
	!citelibrary	!citelibrary	no_match_in_morph_dict
name	Euripides, Iphigenia at Aulis	Euripides, Iphigenia at Aulis	no_match_in_morph_dict
urn	urn:cite2:furman:cex.2026:aristophanes_project	urn:cite2:furman:cex.2026:aristophanes_project	no_match_in_morph_dict
license	Creative Commons Attribution Share Alike	Creative Commons Attribution Share Alike	no_match_in_morph_dict
	!ctscatalog	!ctscatalog	no_match_in_morph_dict
urn	citationScheme	citationScheme	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg018.fu.sp.token:	line/speech/speaker/token,line/speech/text/token	line/speech/speaker/token,line/speech/text/token	no_match_in_morph_dict
urn	citationScheme	citationScheme	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg0018.fu-sp.tok:	line/speech/speaker,line/speech/text	line/speech/speaker,line/speech/text	no_match_in_morph_dict
	!ctsdata	!ctsdata	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg018.fu-sp.tok:49.1.text.token2	Λήδᾳ	Λήδᾳ	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg018.fu-sp.tok:49.1.text.token3	Θεστιάδι	Θεστιάδι	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg018.fu-sp.tok:50.1.text.token2	Κλυταιμήστρα	Κλυταιμήστρα	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg018.fu-sp.tok:52.1.text.token4	νεανίαι	νεανίαι	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg018.fu-sp.tok:55.1.text.token6	Τυνδάρεῳ	Τυνδάρεῳ	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg018.fu-sp.tok:61.1.text.token4	Τυνδαρὶς	Τυνδαρίς	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg018.fu-sp.tok:65.1.text.token6	μέτα	μέτα	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg018.fu-sp.tok:67.1.text.token3	Τυνδάρεως	Τυνδάρεως	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg018.fu-sp.tok:78.1.text.token3	Τυνδάρεω	Τυνδάρεω	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg018.fu-sp.tok:95.1.text.token1	Ταλθύβιον	Ταλθύβιον	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg018.fu-sp.tok:2.1.speaker.token1	Πρεσβύτης	Πρεσβύτης	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg018.fu-sp.tok:3.1.speaker.token1	Πρεσβύτης	Πρεσβύτης	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg018.fu-sp.tok:3.3.speaker.token1	Πρεσβύτης	Πρεσβύτης	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg018.fu-sp.tok:4.1.speaker.token1	Πρεσβύτης	Πρεσβύτης	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg018.fu-sp.tok:5.1.speaker.token1	Πρεσβύτης	Πρεσβύτης	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg018.fu-sp.tok:7.1.speaker.token1	Πρεσβύτης	Πρεσβύτης	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg018.fu-sp.tok:8.1.speaker.token1	Πρεσβύτης	Πρεσβύτης	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg018.fu-sp.tok:8.1.text.token1	Πλειάδος	Πλειάδος	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg018.fu-sp.tok:12.1.speaker.token1	Πρεσβύτης	Πρεσβύτης	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg018.fu-sp.tok:13.1.speaker.token1	Πρεσβύτης	Πρεσβύτης	no_match_in_morph_dict
