form	token_urn	expanded_form	presentation_form
Βάκχι’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:998.1.text.token5		Βάκχι’
Διθύραμβ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:526.1.text.token3		Διθύραμβ’
Διόνυσ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:558.1.text.token4	Διόνυσε	Διόνυσε
Ζῆν’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:29.1.text.token2		Ζῆν’
Ζῆν’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:31.1.text.token1		Ζῆν’
Κιθαιρῶν’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:661.1.text.token2		Κιθαιρῶν’
Κιθαιρῶν’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:1292.1.text.token4		Κιθαιρῶν’
Κιθαιρῶν’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:1385.1.text.token2		Κιθαιρῶν’
Λύδι’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:140.1.text.token5		Λύδι’
αἰθέρ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:631.1.text.token5		αἰθέρ’
αἰθέρ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:1073.1.text.token5		αἰθέρ’
αἰθέρ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:1264.1.text.token5		αἰθέρ’
αὐτίχ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:639.1.text.token3		αὐτίχ’
βακχεύητ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:807.1.text.token6		βακχεύητ’
βακχεύοντ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:251.1.text.token2		βακχεύοντ’
βλάστημ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:1071.1.text.token5		βλάστημ’
βοσκήματ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:677.1.text.token3		βοσκήματ’
γένοιτ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:826.1.text.token3		γένοιτ’
γίγαντ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:544.1.text.token1		γίγαντ’
γ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:445.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:488.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:501.1.text.token9	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:808.1.text.token6	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:816.1.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:824.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:844.1.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:926.1.text.token7	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:1183.1.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:1188.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:1209.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:1272.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:1278.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:1297.1.text.token3	γε	γε
δαίμον’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:42.1.text.token3		δαίμον’
δαίμον’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:256.1.text.token2		δαίμον’
δαίμον’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:769.1.text.token2		δαίμον’
δείν’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:971.1.text.token5		δείν’
δεῦρ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:356.1.text.token1	δεῦρο	δεῦρο
δεῦρ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:481.1.text.token4	δεῦρο	δεῦρο
δεῦρ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:804.1.text.token3	δεῦρο	δεῦρο
δεῦρ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:809.1.text.token3	δεῦρο	δεῦρο
δεῦρ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:1257.1.text.token5	δεῦρο	δεῦρο
διῄρηχ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:206.1.text.token3		διῄρηχ’
δι’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:203.1.text.token3	διά	διά
δι’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:441.1.text.token2	διά	διά
δι’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:840.1.text.token3	διά	διά
δι’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:855.1.text.token3	διά	διά
δι’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:1099.1.text.token5	διά	διά
δοκηθέντ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:1390.1.text.token3		δοκηθέντ’
δορκάδ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:699.1.text.token4		δορκάδ’
δάμαρτ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:1357.1.text.token7		δάμαρτ’
δέδοικ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:670.1.text.token7		δέδοικ’
δόξετ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:1262.1.text.token3		δόξετ’
δύναι’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:947.1.text.token1		δύναι’
δύστην’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:1287.1.text.token1		δύστην’
δώματ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:60.1.text.token4		δώματ’
δώματ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:217.1.text.token3		δώματ’
δώματ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:624.1.text.token9		δώματ’
δώματ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:633.1.text.token1		δώματ’
δῆτ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:925.1.text.token3	δῆτα	δῆτα
δῆτ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:1277.1.text.token3	δῆτα	δῆτα
δῶκ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:422.1.text.token4		δῶκ’
δῶμ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:1024.1.text.token2		δῶμ’
δῶμ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:1308.1.text.token2		δῶμ’
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:4.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:33.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:48.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:94.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:99.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:126.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:140.1.text.token8	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:142.1.text.token7	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:144.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:151.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:166.1.text.token1	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:174.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:180.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:196.1.text.token7	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:209.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:222.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:225.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:228.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:233.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:239.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:265.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:268.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:269.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:272.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:276.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:276.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:278.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:289.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:291.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:298.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:312.1.text.token7	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:320.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:343.1.text.token7	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:345.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:352.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:364.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:365.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:365.1.text.token8	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg017.fu.sp:367.1.text.token2	δέ	δέ
