Αἰτναίαν	*ai)tnai/an	Αἰτναῖος	*ai)tnai=os	urn:cite2:hmt:lsj.chicago_md:n2782	a-s---fa-
Αἰτναίων	*ai)tnai/wn	Αἰτναῖος	*ai)tnai=os	urn:cite2:hmt:lsj.chicago_md:n2782	a-p---fg-
Αἰτναίων	*ai)tnai/wn	Αἰτναῖος	*ai)tnai=os	urn:cite2:hmt:lsj.chicago_md:n2782	a-p---mg-
Αἰτναίων	*ai)tnai/wn	Αἰτναῖος	*ai)tnai=os	urn:cite2:hmt:lsj.chicago_md:n2782	a-p---ng-
Αἰτναῖε	*ai)tnai=e	Αἰτναῖος	*ai)tnai=os	urn:cite2:hmt:lsj.chicago_md:n2782	a-s---mv-
Αἰτναῖον	*ai)tnai=on	Αἰτναῖος	*ai)tnai=os	urn:cite2:hmt:lsj.chicago_md:n2782	a-s---ma-
Αἰτναῖον	*ai)tnai=on	Αἰτναῖος	*ai)tnai=os	urn:cite2:hmt:lsj.chicago_md:n2782	a-s---nn-
Αἰτναῖον	*ai)tnai=on	Αἰτναῖος	*ai)tnai=os	urn:cite2:hmt:lsj.chicago_md:n2782	a-s---nv-
Αἰτναῖον	*ai)tnai=on	Αἰτναῖος	*ai)tnai=os	urn:cite2:hmt:lsj.chicago_md:n2782	a-s---na-
Αἰτναῖος	*ai)tnai=os	Αἰτναῖος	*ai)tnai=os	urn:cite2:hmt:lsj.chicago_md:n2782	a-s---mn-
Αἰτναῖά	*ai)tnai=a/	Αἰτναῖος	*ai)tnai=os	urn:cite2:hmt:lsj.chicago_md:n2782	a-p---nn-
Αἰτναῖά	*ai)tnai=a/	Αἰτναῖος	*ai)tnai=os	urn:cite2:hmt:lsj.chicago_md:n2782	a-p---nv-
Αἰτναῖά	*ai)tnai=a/	Αἰτναῖος	*ai)tnai=os	urn:cite2:hmt:lsj.chicago_md:n2782	a-p---na-
Βακχεῖε	*bakxei=e	Βάκχειος	*ba/kxeios	urn:cite2:hmt:lsj.chicago_md:n19172	a-s---mv-
Βακχίου	*bakxi/ou	Βάκχειος	*ba/kxeios	urn:cite2:hmt:lsj.chicago_md:n19172	a-s---mg-
Βακχίου	*bakxi/ou	Βάκχειος	*ba/kxeios	urn:cite2:hmt:lsj.chicago_md:n19172	a-s---ng-
Βακχίου	*bakxi/ou	Βάκχειος	*ba/kxeios	urn:cite2:hmt:lsj.chicago_md:n19172	a-s---mg-
Βακχίου	*bakxi/ou	Βάκχειος	*ba/kxeios	urn:cite2:hmt:lsj.chicago_md:n19172	a-s---ng-
Βακχίου	*bakxi/ou	Βακχιόω	*bakxio/w	urn:cite2:hmt:lsj.chicago_md:n19190	v3siia---
Βακχίου	*bakxi/ou	Βακχιόω	*bakxio/w	urn:cite2:hmt:lsj.chicago_md:n19190	v2spma---
Βακχίῳ	*bakxi/w|	Βάκχειος	*ba/kxeios	urn:cite2:hmt:lsj.chicago_md:n19172	a-s---md-
Βακχίῳ	*bakxi/w|	Βάκχειος	*ba/kxeios	urn:cite2:hmt:lsj.chicago_md:n19172	a-s---nd-
Βακχίῳ	*bakxi/w|	Βάκχειος	*ba/kxeios	urn:cite2:hmt:lsj.chicago_md:n19172	a-s---md-
Βακχίῳ	*bakxi/w|	Βάκχειος	*ba/kxeios	urn:cite2:hmt:lsj.chicago_md:n19172	a-s---nd-
Βρομίου	*bromi/ou	Βρόμιος	*bro/mios	urn:cite2:hmt:lsj.chicago_md:n21020	a-s---mg-
Βρομίου	*bromi/ou	Βρόμιος	*bro/mios	urn:cite2:hmt:lsj.chicago_md:n21020	a-s---ng-
Βρομίου	*bromi/ou	Βρόμιος	*bro/mios	urn:cite2:hmt:lsj.chicago_md:n21020	n-s---mg-
Βρομίου	*bromi/ou	Βρομίος	*bromi/os	urn:cite2:hmt:lsj.chicago_md:n21020	n-s---mg-
