form	token_urn	expanded_form	presentation_form
Δί’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:9.1.text.token3	Δία	Δία
Δί’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:154.2.text.token3	Δία	Δία
Δί’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:212.1.text.token6	Δία	Δία
Δί’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:555.1.text.token3	Δία	Δία
Δί’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:558.2.text.token3	Δία	Δία
Δί’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:560.2.text.token5	Δία	Δία
Δί’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:586.1.text.token3	Δία	Δία
Κύκλωπ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:34.1.text.token6		Κύκλωπ’
Κύκλωπ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:444.1.text.token4		Κύκλωπ’
αἰθέρ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:410.1.text.token4		αἰθέρ’
βακχιάζετ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:204.1.text.token2		βακχιάζετ’
βλέπετ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:211.1.text.token4		βλέπετ’
γαστέρ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:326.1.text.token6		γαστέρ’
γαῖ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:304.1.text.token4		γαῖ’
γενναιότατ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:656.1.text.token4		γενναιότατ’
γείτον’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:281.1.text.token3		γείτον’
γέγηθ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:525.1.text.token6		γέγηθ’
γίγνεσθ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:94.1.text.token3		γίγνεσθ’
γ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:5.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:164.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:178.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:198.1.text.token7	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:250.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:283.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:343.1.text.token6	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:379.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:528.1.text.token7	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:538.1.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:586.1.text.token7	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:637.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:640.2.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:652.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:664.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:670.2.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:692.1.text.token2	γε	γε
δαίμον’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:110.1.text.token5		δαίμον’
δαίμον’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:606.1.text.token5		δαίμον’
δαῖτ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:308.1.text.token3		δαῖτ’
δείν’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:375.1.text.token7		δείν’
δεῦρ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:128.1.text.token3	δεῦρο	δεῦρο
διεκροτήσατ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:180.1.text.token3		διεκροτήσατ’
δι’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:707.1.text.token1	διά	διά
δάκρυ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:405.1.text.token5		δάκρυ’
δέδραχ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:701.1.text.token6		δέδραχ’
δύσφρον’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:296.1.text.token2		δύσφρον’
δῆτ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:198.1.text.token2	δῆτα	δῆτα
δῆτ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:704.1.text.token2	δῆτα	δῆτα
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:14.1.text.token7	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:16.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:24.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:25.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:76.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:82.1.text.token7	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:87.1.text.token7	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:102.1.text.token7	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:113.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:117.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:120.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:121.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:138.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:199.1.text.token7	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:232.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:246.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:249.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:256.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:271.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:275.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:277.1.text.token7	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:310.1.text.token8	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:317.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:318.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:320.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:322.1.text.token8	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:332.1.text.token3	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:334.1.text.token8	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:340.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:348.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:377.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:388.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:396.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:400.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:404.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:405.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:407.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg001.fu-sp.tok:408.1.text.token5	δέ	δέ
