form	token_urn	expanded_form	presentation_form
Αἴγισθ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:796.1.text.token1		Αἴγισθ’
Γαῖ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:678.1.text.token2		Γαῖ’
Δωρίδ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:819.1.text.token4		Δωρίδ’
Κάστορ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:312.1.text.token3		Κάστορ’
Τροπαῖ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:671.1.text.token6		Τροπαῖ’
Τρῳάδ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:3.1.text.token4		Τρῳάδ’
Φθιάδ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:836.1.text.token3		Φθιάδ’
Φοῖβ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:221.1.text.token2		Φοῖβ’
Φοῖβ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:1190.1.text.token2		Φοῖβ’
Χαίρετ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:779.1.text.token5		Χαίρετ’
αἰθέρ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:59.1.text.token4		αἰθέρ’
αἰθέρ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:991.1.text.token5		αἰθέρ’
αἴρεσθ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:360.1.text.token1		αἴρεσθ’
αἴσθοιτ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:419.1.text.token6		αἴσθοιτ’
αἵδ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:272.1.text.token1		αἵδ’
αἷμ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:281.1.text.token3		αἷμ’
αὐχέν’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:1288.1.text.token5		αὐχέν’
αὔτ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:979.1.text.token2	αὔτε	αὔτε
βαστάζουσ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:696.1.text.token4		βαστάζουσ’
βάλλουσ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:1344.1.text.token4		βάλλουσ’
βέβριθ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:305.1.text.token4		βέβριθ’
