form	token_urn	expanded_form	presentation_form
Εὐβοῖδ’	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:83.1.text.token3		Εὐβοῖδ’
αἰχμάλωθ’	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:695.1.text.token5		αἰχμάλωθ’
αἷμ’	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:1041.1.text.token2		αἷμ’
αὐτίκ’	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:269.1.text.token5		αὐτίκ’
βλάπτεσθ’	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:264.1.text.token1		βλάπτεσθ’
βούλοιτ’	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:456.1.text.token5		βούλοιτ’
γαῖ’	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:62.1.text.token3		γαῖ’
γένοιθ’	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:582.1.text.token4		γένοιθ’
γένοιτ’	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:463.1.text.token1		γένοιτ’
γένοιτ’	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:543.1.text.token3		γένοιτ’
γέροντ’	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:75.1.text.token4		γέροντ’
γ’	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:109.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:130.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:150.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:191.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:256.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:263.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:269.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:272.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:282.1.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:370.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:371.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:438.1.text.token6	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:499.1.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:556.1.text.token4	γε	γε
