frequency	elided_form	expanded_form	presentation_form	turns
121	δ’	δέ	δέ	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:3.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:5.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:5.1.text.token6,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:9.1.text.token7,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:15.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:15.1.text.token6,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:23.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:41.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:45.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:65.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:70.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:80.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:114.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:117.1.text.token6,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:131.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:135.1.text.token3,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:137.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:142.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:158.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:164.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:164.1.text.token7,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:195.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:205.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:208.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:214.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:233.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:245.1.text.token6,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:250.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:252.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:257.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:266.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:278.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:280.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:285.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:290.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:310.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:315.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:324.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:336.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:340.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:340.1.text.token7,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:346.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:347.1.text.token6,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:350.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:350.1.text.token6,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:356.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:360.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:372.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:394.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:401.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:403.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:410.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:411.1.text.token6,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:436.1.text.token6,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:439.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:456.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:458.1.text.token7,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:478.1.text.token3,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:509.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:530.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:542.1.text.token7,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:546.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:551.1.text.token6,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:557.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:565.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:611.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:614.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:615.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:625.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:626.1.text.token6,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:638.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:649.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:666.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:669.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:674.1.text.token3,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:685.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:692.1.text.token10,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:696.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:697.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:705.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:707.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:712.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:714.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:719.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:721.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:725.1.text.token6,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:727.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:737.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:745.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:752.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:763.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:781.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:790.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:794.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:795.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:811.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:813.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:819.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:823.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:823.1.text.token7,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:824.1.text.token6,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:828.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:830.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:837.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:838.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:848.1.text.token6,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:857.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:859.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:870.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:876.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:894.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:924.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:951.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:968.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:976.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:980.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:991.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:1000.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:1017.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:1020.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:1034.1.text.token3
47	ἀλλ’	ἀλλά	ἀλλά	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:14.1.text.token1,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:85.1.text.token1,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:99.1.text.token1,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:147.1.text.token1,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:174.1.text.token6,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:199.1.text.token1,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:226.1.text.token1,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:247.1.text.token1,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:255.1.text.token7,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:287.1.text.token3,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:318.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:343.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:377.1.text.token1,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:380.1.text.token3,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:424.1.text.token1,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:425.1.text.token1,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:451.1.text.token1,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:462.1.text.token6,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:464.1.text.token6,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:471.1.text.token1,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:480.1.text.token1,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:515.1.text.token1,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:520.1.text.token1,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:540.1.text.token1,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:543.1.text.token1,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:549.1.text.token1,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:554.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:559.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:566.1.text.token1,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:572.1.text.token1,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:597.1.text.token1,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:678.1.text.token1,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:689.1.text.token1,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:698.1.text.token1,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:703.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:726.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:770.1.text.token1,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:807.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:816.1.text.token1,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:821.1.text.token6,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:888.1.text.token1,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:928.1.text.token6,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:954.1.text.token1,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:957.1.text.token1,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:989.1.text.token1,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:997.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:1038.1.text.token4
37	τ’	τε	τε	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:4.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:56.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:72.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:119.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:132.1.text.token9,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:153.1.text.token6,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:154.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:156.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:182.1.text.token3,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:218.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:242.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:250.1.text.token6,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:251.1.text.token3,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:277.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:299.1.text.token3,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:323.1.text.token3,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:333.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:360.1.text.token8,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:389.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:399.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:402.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:581.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:584.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:622.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:728.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:780.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:811.1.text.token6,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:812.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:828.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:915.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:927.1.text.token1,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:930.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:936.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:950.1.text.token3,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:1012.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:1044.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:1046.1.text.token3
27	γ’	γε	γε	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:109.1.text.token3,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:130.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:150.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:191.1.text.token3,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:256.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:263.1.text.token3,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:269.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:272.1.text.token3,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:282.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:370.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:371.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:438.1.text.token6,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:499.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:556.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:632.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:641.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:648.1.text.token8,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:683.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:689.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:692.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:769.1.text.token6,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:775.1.text.token7,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:792.1.text.token3,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:856.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:885.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:999.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:1005.1.text.token3
15	μ’	με	με	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:64.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:129.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:136.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:183.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:236.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:565.1.text.token8,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:603.1.text.token6,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:691.1.text.token3,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:710.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:736.1.text.token8,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:890.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:1000.1.text.token6,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:1009.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:1027.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:1040.1.text.token4
14	σ’	σε	σε	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:52.1.text.token9,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:103.1.text.token3,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:150.1.text.token6,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:220.1.text.token3,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:321.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:484.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:557.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:647.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:649.1.text.token6,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:788.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:797.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:941.1.text.token7,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:958.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:981.1.text.token9
12	τόδ’		τόδ’	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:17.1.text.token6,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:181.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:197.1.text.token3,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:223.1.text.token3,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:255.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:395.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:475.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:568.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:646.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:745.1.text.token6,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:965.1.text.token3,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:986.1.text.token6
12	τάδ’	τάδε	τάδε	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:11.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:99.1.text.token6,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:104.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:246.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:322.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:393.1.text.token6,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:464.1.text.token3,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:510.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:527.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:567.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:591.1.text.token1,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:1021.1.text.token7
11	τῶνδ’		τῶνδ’	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:119.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:152.1.text.token2,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:158.1.text.token8,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:168.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:209.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:216.1.text.token3,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:333.1.text.token8,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:453.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:906.1.text.token1,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:920.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:1042.1.text.token6
11	τόνδ’	τόνδε	τόνδε	urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:38.1.text.token3,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:49.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:122.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:161.1.text.token3,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:332.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:929.1.text.token3,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:938.1.text.token5,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:992.1.text.token3,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:1019.1.text.token4,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:1023.1.text.token1,urn:cts:greekLit:tlg0006.tlg004.fu-sp.tok:1047.1.text.token4
