form	token_urn	expanded_form	presentation_form
Κρέοντ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:35.1.text.token5		Κρέοντ’
Πηλιάδ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:389.1.text.token4		Πηλιάδ’
αἰθέρ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:510.1.text.token4		αἰθέρ’
αἰθέρ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:653.1.text.token5		αἰθέρ’
αἰάξετ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:1053.1.text.token4		αἰάξετ’
αἴρεσθ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:147.1.text.token3		αἴρεσθ’
αἵματ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:894.1.text.token2		αἵματ’
αἷμ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:831.1.text.token4		αἷμ’
βλέμμ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:306.1.text.token4		βλέμμ’
βοτῆρ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:424.1.text.token1		βοτῆρ’
βάκχευσ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:1142.1.text.token7		βάκχευσ’
βέβακ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:768.1.text.token1		βέβακ’
βέβηκ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:24.1.text.token1		βέβηκ’
βέβηκ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:621.1.text.token1		βέβηκ’
γαῖ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:754.1.text.token4		γαῖ’
γένοιτ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:95.1.text.token3		γένοιτ’
γέροντ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:42.1.text.token1		γέροντ’
γέροντ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:544.1.text.token6		γέροντ’
γέροντ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:556.1.text.token5		γέροντ’
γ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:331.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:517.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:551.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:557.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:611.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:716.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:717.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:857.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:861.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:1061.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:1116.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:1202.1.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:1228.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:1239.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:1251.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:1302.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:1414.1.text.token2	γε	γε
δεδόρκατ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:229.1.text.token1		δεδόρκατ’
δεῦρ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:520.1.text.token1	δεῦρο	δεῦρο
δεῦρ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:724.1.text.token5	δεῦρο	δεῦρο
διαντλοῦσ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:1373.1.text.token2		διαντλοῦσ’
διαφυγόνθ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:592.1.text.token3		διαφυγόνθ’
διεπέρασ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:830.1.text.token4		διεπέρασ’
διώλεσ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:1364.1.text.token1		διώλεσ’
δι’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:356.1.text.token1	διά	διά
δι’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:410.1.text.token3	διά	διά
δι’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:838.1.text.token4	διά	διά
δρῶσ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:858.1.text.token3		δρῶσ’
δυσγένει’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:810.1.text.token2		δυσγένει’
δυστάλαιν’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:456.1.text.token3		δυστάλαιν’
δυσόμεσθ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:873.1.text.token6		δυσόμεσθ’
δάκρυ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:1356.1.text.token5		δάκρυ’
δάμαρθ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:704.1.text.token6		δάμαρθ’
δάμαρθ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:1380.1.text.token5		δάμαρθ’
δάμαρτ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:1014.1.text.token4		δάμαρτ’
δέδορχ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:1089.1.text.token5		δέδορχ’
δέμνι’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:108.1.text.token2		δέμνι’
δέσμ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:1055.1.text.token2		δέσμ’
δήσαντ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:1124.1.text.token4		δήσαντ’
δόξ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:511.1.text.token8		δόξ’
δύναιθ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:1350.1.text.token4		δύναιθ’
δώματ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:435.1.text.token1		δώματ’
δώματ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:610.1.text.token4		δώματ’
δώματ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:791.2.text.token1		δώματ’
δῶρ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:1326.1.text.token5		δῶρ’
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:56.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:73.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:75.1.text.token9	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:77.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:94.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:105.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:106.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:141.1.text.token8	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:150.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:158.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:162.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:171.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:188.1.text.token3	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:198.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:201.1.text.token3	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:201.1.text.token7	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:213.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:227.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:228.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:232.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:242.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:260.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:265.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:269.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:277.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:278.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:282.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:284.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:290.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:300.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:302.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:310.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:314.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:318.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:325.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:338.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:341.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:344.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:357.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:361.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:385.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:416.1.text.token3	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:430.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:431.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:436.1.text.token3	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:440.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:458.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:463.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:467.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:472.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:474.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:480.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:489.1.text.token3	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:492.1.text.token8	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:504.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:507.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:511.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:537.1.text.token7	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:543.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:552.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:554.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:558.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:567.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:568.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:580.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:587.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:591.1.text.token7	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:593.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:596.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:603.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:607.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:613.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:632.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:636.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:648.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:650.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:663.1.text.token3	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:669.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:677.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:691.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:696.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:710.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:711.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:714.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:718.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:726.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:726.1.text.token7	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:726.1.text.token12	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:729.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:731.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:755.1.text.token7	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:805.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:825.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:832.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:842.1.text.token3	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:869.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:873.1.text.token3	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:881.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:926.1.text.token8	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:927.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:931.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:935.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:939.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:942.1.text.token8	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:948.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:950.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:953.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:954.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:957.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:962.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:969.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg009.fu-sp.tok:973.1.text.token5	δέ	δέ
