Βρόμιον	*bro/mion	Βρόμιος	*bro/mios	urn:cite2:hmt:lsj.chicago_md:n21020	a-s---ma-
Βρόμιον	*bro/mion	Βρόμιος	*bro/mios	urn:cite2:hmt:lsj.chicago_md:n21020	a-s---nn-
Βρόμιον	*bro/mion	Βρόμιος	*bro/mios	urn:cite2:hmt:lsj.chicago_md:n21020	a-s---nv-
Βρόμιον	*bro/mion	Βρόμιος	*bro/mios	urn:cite2:hmt:lsj.chicago_md:n21020	a-s---na-
Βρόμιον	*bro/mion	Βρόμιος	*bro/mios	urn:cite2:hmt:lsj.chicago_md:n21020	n-s---ma-
Βρόμιον	*bro/mion	βρόμιος	bro/mios	urn:cite2:hmt:lsj.chicago_md:n21020	a-s---ma-
Βρόμιον	*bro/mion	βρόμιος	bro/mios	urn:cite2:hmt:lsj.chicago_md:n21020	a-s---nn-
Βρόμιον	*bro/mion	βρόμιος	bro/mios	urn:cite2:hmt:lsj.chicago_md:n21020	a-s---nv-
Βρόμιον	*bro/mion	βρόμιος	bro/mios	urn:cite2:hmt:lsj.chicago_md:n21020	a-s---na-
Βρόμιον	*bro/mion	βρομέω	brome/w	urn:cite2:hmt:lsj.chicago_md:n21017	v3piia---
Βρόμιον	*bro/mion	βρομέω	brome/w	urn:cite2:hmt:lsj.chicago_md:n21017	v1siia---
Γίγαντας	*gi/gantas	γίγας	gi/gas	urn:cite2:hmt:lsj.chicago_md:n22190	n-p---ma-
Γίγασι	*gi/gasi	γίγας	gi/gas	urn:cite2:hmt:lsj.chicago_md:n22190	n-p---md-
Διομήδεος	*diomh/deos	Διομήδης	*diomh/dhs	urn:cite2:hmt:lsj.chicago_md:n27189	n-s---mg-
Διονυσιάδος	*dionusia/dos	Διονυσιάς	*dionusia/s	urn:cite2:hmt:lsj.chicago_md:n27207	n-s---fg-
Διός	*dio/s	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mg-
Δήμητρος	*dh/mhtros	Δημήτηρ	*dhmh/thr	urn:cite2:hmt:lsj.chicago_md:n24373	n-s---fg-
Δήμητρος	*dh/mhtros	Δημήτηρ	*dhmh/thr	urn:cite2:hmt:lsj.chicago_md:n24373	n-s---fg-
Εἷς	*ei(=s	εἷς	ei(=s	urn:cite2:hmt:lsj.chicago_md:n31236	n-s---mn-
Εὐβοίας	*eu)boi/as	Εὔβοια	*eu)/boia	urn:cite2:hmt:lsj.chicago_md:n43509	n-p---fa-
Εὐβοίας	*eu)boi/as	Εὔβοια	*eu)/boia	urn:cite2:hmt:lsj.chicago_md:n43509	n-s---fg-
Εὐβοίας	*eu)boi/as	Εὔβοια	*eu)/boia	urn:cite2:hmt:lsj.chicago_md:n43509	n-p---fa-
Εὐβοίας	*eu)boi/as	Εὔβοια	*eu)/boia	urn:cite2:hmt:lsj.chicago_md:n43509	n-s---fg-
Ζεύς	*zeu/s	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mn-
Ζεῦ	*zeu=	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mv-
Ζεῦ	*zeu=	ζέω	ze/w	urn:cite2:hmt:lsj.chicago_md:n46204	v2spme---
Ζεῦ	*zeu=	ζέω	ze/w	urn:cite2:hmt:lsj.chicago_md:n46204	v2siie---
Ζηνί	*zhni/	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---md-
Ζηνός	*zhno/s	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mg-
Θεσσαλῶν	*qessalw=n	Θεσσαλός	*qessalo/s	urn:cite2:hmt:lsj.chicago_md:n48551	a-p---fg-
Θεσσαλῶν	*qessalw=n	Θεσσαλός	*qessalo/s	urn:cite2:hmt:lsj.chicago_md:n48551	a-p---mg-
Θεσσαλῶν	*qessalw=n	Θεσσαλός	*qessalo/s	urn:cite2:hmt:lsj.chicago_md:n48551	a-p---ng-
Θεσσαλῶν	*qessalw=n	Θεσσαλός	*qessalo/s	urn:cite2:hmt:lsj.chicago_md:n48551	n-p---mg-
Θηβῶν	*qhbw=n	Θῆβαι	*qh=bai	urn:cite2:hmt:lsj.chicago_md:n48603	n-p---fg-
Θησεύς	*qhseu/s	Θησεύς	*qhseu/s	urn:cite2:hmt:lsj.chicago_md:n48835	n-s---mn-
