form	token_urn	expanded_form	presentation_form
Ναΐδ’	urn:cts:greekLit:tlg0006.tlg005.fu-sp.tok:549.1.text.token2		Ναΐδ’
Στῆτ’	urn:cts:greekLit:tlg0006.tlg005.fu-sp.tok:1240.1.text.token1		Στῆτ’
αἰθέρ’	urn:cts:greekLit:tlg0006.tlg005.fu-sp.tok:447.1.text.token4		αἰθέρ’
αἰσχύναντ’	urn:cts:greekLit:tlg0006.tlg005.fu-sp.tok:1172.1.text.token4		αἰσχύναντ’
αἰσχύνασ’	urn:cts:greekLit:tlg0006.tlg005.fu-sp.tok:420.1.text.token6		αἰσχύνασ’
αἴσχρ’	urn:cts:greekLit:tlg0006.tlg005.fu-sp.tok:500.1.text.token1		αἴσχρ’
αἶ’	urn:cts:greekLit:tlg0006.tlg005.fu-sp.tok:537.1.text.token5		αἶ’
βουλεύματ’	urn:cts:greekLit:tlg0006.tlg005.fu-sp.tok:650.1.text.token1		βουλεύματ’
βουλοίμεθ’	urn:cts:greekLit:tlg0006.tlg005.fu-sp.tok:270.1.text.token7		βουλοίμεθ’
βᾶσ’	urn:cts:greekLit:tlg0006.tlg005.fu-sp.tok:233.1.text.token5		βᾶσ’
γαῖ’	urn:cts:greekLit:tlg0006.tlg005.fu-sp.tok:1095.1.text.token2		γαῖ’
γιγνώσκοντ’	urn:cts:greekLit:tlg0006.tlg005.fu-sp.tok:249.1.text.token2		γιγνώσκοντ’
γλῶσσ’	urn:cts:greekLit:tlg0006.tlg005.fu-sp.tok:612.1.text.token2		γλῶσσ’
γλῶσσ’	urn:cts:greekLit:tlg0006.tlg005.fu-sp.tok:924.1.text.token4		γλῶσσ’
γνήσι’	urn:cts:greekLit:tlg0006.tlg005.fu-sp.tok:309.1.text.token3		γνήσι’
γένοιντ’	urn:cts:greekLit:tlg0006.tlg005.fu-sp.tok:961.1.text.token3		γένοιντ’
γένοιτ’	urn:cts:greekLit:tlg0006.tlg005.fu-sp.tok:227.1.text.token6		γένοιτ’
γ’	urn:cts:greekLit:tlg0006.tlg005.fu-sp.tok:90.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg005.fu-sp.tok:141.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg005.fu-sp.tok:275.1.text.token6	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg005.fu-sp.tok:277.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg005.fu-sp.tok:285.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg005.fu-sp.tok:324.1.text.token4	γε	γε
