form	token_urn	expanded_form	presentation_form
Γοργόν’	urn:cts:greekLit:tlg0006.tlg010.fu-sp.tok:989.1.text.token2		Γοργόν’
Δελφίδ’	urn:cts:greekLit:tlg0006.tlg010.fu-sp.tok:665.1.text.token4		Δελφίδ’
Εὔβοι’	urn:cts:greekLit:tlg0006.tlg010.fu-sp.tok:294.1.text.token1		Εὔβοι’
Κρέουσ’	urn:cts:greekLit:tlg0006.tlg010.fu-sp.tok:65.1.text.token5		Κρέουσ’
Παλλάδ’	urn:cts:greekLit:tlg0006.tlg010.fu-sp.tok:211.1.text.token3		Παλλάδ’
αἰγίδ’	urn:cts:greekLit:tlg0006.tlg010.fu-sp.tok:996.1.text.token2		αἰγίδ’
αἰδούμεθ’	urn:cts:greekLit:tlg0006.tlg010.fu-sp.tok:977.1.text.token1		αἰδούμεθ’
αἰάζουσ’	urn:cts:greekLit:tlg0006.tlg010.fu-sp.tok:1205.1.text.token2		αἰάζουσ’
αἴνιγμ’	urn:cts:greekLit:tlg0006.tlg010.fu-sp.tok:533.1.text.token2		αἴνιγμ’
αὔτ’	urn:cts:greekLit:tlg0006.tlg010.fu-sp.tok:1009.1.text.token6	αὔτε	αὔτε
αὔτ’	urn:cts:greekLit:tlg0006.tlg010.fu-sp.tok:1546.1.text.token4	αὔτε	αὔτε
γεγήρακ’	urn:cts:greekLit:tlg0006.tlg010.fu-sp.tok:1392.1.text.token3		γεγήρακ’
γεγῶσ’	urn:cts:greekLit:tlg0006.tlg010.fu-sp.tok:1073.1.text.token4		γεγῶσ’
γεγῶτ’	urn:cts:greekLit:tlg0006.tlg010.fu-sp.tok:537.1.text.token2		γεγῶτ’
γεγῶτ’	urn:cts:greekLit:tlg0006.tlg010.fu-sp.tok:779.1.text.token7		γεγῶτ’
γενέθλι’	urn:cts:greekLit:tlg0006.tlg010.fu-sp.tok:653.1.text.token6		γενέθλι’
γέλωτ’	urn:cts:greekLit:tlg0006.tlg010.fu-sp.tok:600.1.text.token1		γέλωτ’
γένοιτ’	urn:cts:greekLit:tlg0006.tlg010.fu-sp.tok:427.1.text.token4		γένοιτ’
γ’	urn:cts:greekLit:tlg0006.tlg010.fu-sp.tok:221.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg010.fu-sp.tok:224.2.text.token2	γε	γε
