form	token_urn	expanded_form	presentation_form
Εἴθ’	urn:cts:greekLit:tlg0006.tlg003.fu-sp.tok:1.1.text.token1		Εἴθ’
αἰῶν’	urn:cts:greekLit:tlg0006.tlg003.fu-sp.tok:646.1.text.token2		αἰῶν’
βλάστημ’	urn:cts:greekLit:tlg0006.tlg003.fu-sp.tok:1099.1.text.token3		βλάστημ’
γυναῖκ’	urn:cts:greekLit:tlg0006.tlg003.fu-sp.tok:694.1.text.token1		γυναῖκ’
γυναῖκ’	urn:cts:greekLit:tlg0006.tlg003.fu-sp.tok:1283.1.text.token1		γυναῖκ’
γέλωτ’	urn:cts:greekLit:tlg0006.tlg003.fu-sp.tok:1049.1.text.token6		γέλωτ’
γένοιτ’	urn:cts:greekLit:tlg0006.tlg003.fu-sp.tok:1230.1.text.token2		γένοιτ’
γένοιτ’	urn:cts:greekLit:tlg0006.tlg003.fu-sp.tok:1290.1.text.token4		γένοιτ’
γένοι’	urn:cts:greekLit:tlg0006.tlg003.fu-sp.tok:738.1.text.token3		γένοι’
γ’	urn:cts:greekLit:tlg0006.tlg003.fu-sp.tok:80.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg003.fu-sp.tok:84.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg003.fu-sp.tok:88.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg003.fu-sp.tok:124.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg003.fu-sp.tok:178.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg003.fu-sp.tok:318.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg003.fu-sp.tok:336.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg003.fu-sp.tok:495.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg003.fu-sp.tok:504.1.text.token7	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg003.fu-sp.tok:514.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg003.fu-sp.tok:588.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg003.fu-sp.tok:608.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg003.fu-sp.tok:698.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg003.fu-sp.tok:704.1.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg003.fu-sp.tok:818.1.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg003.fu-sp.tok:867.1.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg003.fu-sp.tok:1056.2.text.token8	γε	γε
