form	token_urn	expanded_form	presentation_form
Γοργόν’	urn:cts:greekLit:tlg0006.tlg016.fu-sp.tok:1520.1.text.token6		Γοργόν’
Δελφίδ’	urn:cts:greekLit:tlg0006.tlg016.fu-sp.tok:1094.1.text.token2		Δελφίδ’
Μυκηνίδ’	urn:cts:greekLit:tlg0006.tlg016.fu-sp.tok:1470.1.text.token1		Μυκηνίδ’
Τυνδαρίδ’	urn:cts:greekLit:tlg0006.tlg016.fu-sp.tok:1423.1.text.token3		Τυνδαρίδ’
Φοῖβ’	urn:cts:greekLit:tlg0006.tlg016.fu-sp.tok:260.1.text.token2		Φοῖβ’
αἰθέρ’	urn:cts:greekLit:tlg0006.tlg016.fu-sp.tok:322.1.text.token2		αἰθέρ’
αἰθέρ’	urn:cts:greekLit:tlg0006.tlg016.fu-sp.tok:1376.1.text.token7		αἰθέρ’
αἵδ’	urn:cts:greekLit:tlg0006.tlg016.fu-sp.tok:132.1.text.token1		αἵδ’
αἷμ’	urn:cts:greekLit:tlg0006.tlg016.fu-sp.tok:514.1.text.token6		αἷμ’
αἷμ’	urn:cts:greekLit:tlg0006.tlg016.fu-sp.tok:1039.1.text.token4		αἷμ’
αἷμ’	urn:cts:greekLit:tlg0006.tlg016.fu-sp.tok:1139.1.text.token4		αἷμ’
αὐτίκ’	urn:cts:greekLit:tlg0006.tlg016.fu-sp.tok:1272.1.text.token3		αὐτίκ’
αὔθ’	urn:cts:greekLit:tlg0006.tlg016.fu-sp.tok:1393.1.text.token4	αὔτε	αὔτε
αὔθ’	urn:cts:greekLit:tlg0006.tlg016.fu-sp.tok:1400.1.text.token6	αὔτε	αὔτε
βαλοῦσ’	urn:cts:greekLit:tlg0006.tlg016.fu-sp.tok:958.1.text.token5		βαλοῦσ’
βαίνοντ’	urn:cts:greekLit:tlg0006.tlg016.fu-sp.tok:1505.1.text.token1		βαίνοντ’
βαῖν’	urn:cts:greekLit:tlg0006.tlg016.fu-sp.tok:1524.1.text.token9		βαῖν’
