form	token_urn	expanded_form	presentation_form
Αἰτωλίδ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:981.1.text.token1		Αἰτωλίδ’
Γαῖ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:818.1.text.token4		Γαῖ’
Ζῆν’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:1006.1.text.token5		Ζῆν’
Κρέοντ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:691.1.text.token1		Κρέοντ’
Φοῖβ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:631.1.text.token4		Φοῖβ’
αἰδούμεθ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:1276.1.text.token1		αἰδούμεθ’
αἰνίγματ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:1759.1.text.token4		αἰνίγματ’
αἴνιγμ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:1731.1.text.token1		αἴνιγμ’
αἷμ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:938.1.text.token1		αἷμ’
αὐτίκ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:711.1.text.token5		αὐτίκ’
αὐτίχ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:1298.1.text.token4		αὐτίχ’
αὔθ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:494.1.text.token2	αὔτε	αὔτε
αὔτ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:557.1.text.token5	αὔτε	αὔτε
αὔχημ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:1137.1.text.token2		αὔχημ’
βουλεύματ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:1646.1.text.token2		βουλεύματ’
βάλοιμ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:166.1.text.token3		βάλοιμ’
βέβηκ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:1322.1.text.token1		βέβηκ’
γενοίμεθ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:1060.1.text.token1		γενοίμεθ’
γενοίμεθ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:1061.1.text.token1		γενοίμεθ’
γενόμεθ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:1716.1.text.token2		γενόμεθ’
γεῖσ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:1158.1.text.token3		γεῖσ’
γένοιθ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:577.1.text.token3		γένοιθ’
γένοιτ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:513.1.text.token1		γένοιτ’
γένοιτ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:754.1.text.token3		γένοιτ’
γένοιτ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:1348.1.text.token3		γένοιτ’
γ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:117.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:397.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:417.1.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:423.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:532.1.text.token7	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:554.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:608.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:745.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:918.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:962.1.text.token9	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:1081.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:1212.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:1344.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:1347.1.text.token6	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:1562.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:1617.1.text.token6	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:1622.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:1649.1.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:1681.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:1692.1.text.token4	γε	γε
δακρυόεσσ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:323.1.text.token1		δακρυόεσσ’
δαμάσασ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:152.1.text.token4		δαμάσασ’
δεξίμηλ’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:632.1.text.token7		δεξίμηλ’
δείν’	urn:cts:greekLit:tlg0006.tlg015.fu.sp:1725.1.text.token5		δείν’
