form	token_urn	expanded_form	presentation_form
Θεῖν’	urn:cts:greekLit:tlg0006.tlg008.fu-sp.tok:702.text.token1		Θεῖν’
αὐξάνουσ’	urn:cts:greekLit:tlg0006.tlg008.fu-sp.tok:233.text.token4		αὐξάνουσ’
αὐτίχ’	urn:cts:greekLit:tlg0006.tlg008.fu-sp.tok:414.text.token3		αὐτίχ’
βλέψασ’	urn:cts:greekLit:tlg0006.tlg008.fu-sp.tok:8.text.token4		βλέψασ’
βλήματ’	urn:cts:greekLit:tlg0006.tlg008.fu-sp.tok:330.text.token4		βλήματ’
βούλευμ’	urn:cts:greekLit:tlg0006.tlg008.fu-sp.tok:439.text.token3		βούλευμ’
γέλωτ’	urn:cts:greekLit:tlg0006.tlg008.fu-sp.tok:846.text.token8		γέλωτ’
γένοιτ’	urn:cts:greekLit:tlg0006.tlg008.fu-sp.tok:447.text.token5		γένοιτ’
γένοιτ’	urn:cts:greekLit:tlg0006.tlg008.fu-sp.tok:579.text.token7		γένοιτ’
γένοιτ’	urn:cts:greekLit:tlg0006.tlg008.fu-sp.tok:603.text.token2		γένοιτ’
γ’	urn:cts:greekLit:tlg0006.tlg008.fu-sp.tok:122.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg008.fu-sp.tok:151.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg008.fu-sp.tok:182.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg008.fu-sp.tok:206.text.token6	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg008.fu-sp.tok:294.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg008.fu-sp.tok:296.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg008.fu-sp.tok:320.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg008.fu-sp.tok:393.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg008.fu-sp.tok:426.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg008.fu-sp.tok:458.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg008.fu-sp.tok:575.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg008.fu-sp.tok:610.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg008.fu-sp.tok:697.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg008.fu-sp.tok:766.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg008.fu-sp.tok:771.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg008.fu-sp.tok:805.2.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg008.fu-sp.tok:818.2.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg008.fu-sp.tok:842.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg008.fu-sp.tok:936.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg008.fu-sp.tok:940.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg008.fu-sp.tok:1099.text.token6	γε	γε
δεσπόζοντ’	urn:cts:greekLit:tlg0006.tlg008.fu-sp.tok:518.text.token5		δεσπόζοντ’
δείν’	urn:cts:greekLit:tlg0006.tlg008.fu-sp.tok:542.text.token4		δείν’
δείσασ’	urn:cts:greekLit:tlg0006.tlg008.fu-sp.tok:300.text.token1		δείσασ’
