Αὐλίδι	*au)li/di	Αὐλίς	*au)li/s	n-s---fd-
Αὐλίδος	*au)li/dos	Αὐλίς	*au)li/s	n-s---fg-
Αὐλίδ’	*au)li/d'	Αὐλίς	*au)li/s	n-s---fa-
Αὐλίδ’	*au)li/d'	Αὐλίς	*au)li/s	n-s---fd-
Αὖλιν	*au)=lin	αὖλις	au)=lis	n-s---fa-
Βραυρωνίας	*braurwni/as	Βραυρώνιος	*braurw/nios	a-p---fa-
Βραυρωνίας	*braurwni/as	Βραυρώνιος	*braurw/nios	a-s---fg-
Βάκχου	*ba/kxou	Βάκχος	*ba/kxos	n-s---mg-
Γαῖα	*gai=a	Γαῖα	*gai=a	n-s---fn-
Γαῖα	*gai=a	Γαῖα	*gai=a	n-s---fv-
Γαῖα	*gai=a	Γαῖον	*gai=on	n-p---nn-
Γαῖα	*gai=a	Γαῖον	*gai=on	n-p---nv-
Γαῖα	*gai=a	Γαῖον	*gai=on	n-p---na-
Γαῖα	*gai=a	γαῖα	gai=a	n-s---fn-
Γαῖα	*gai=a	γαῖα	gai=a	n-s---fv-
Δαναΐδαι	*danai+/dai	Δαναίδαι	*danai/dai	n-p---mn-
Δαναΐδαι	*danai+/dai	Δαναίδαι	*danai/dai	n-p---mv-
Δαναΐδαι	*danai+/dai	Δαναίδαι	*danai/dai	n-s---md-
Δηλιάς	*dhlia/s	Δηλιάς	*dhlia/s	n-s---fn-
Διονύσῳ	*dionu/sw|	Διόνυσος	*dio/nusos	n-s---md-
Διονύσῳ	*dionu/sw|	Διονύσος	*dionu/sos	n-s---md-
Διοσκόρω	*diosko/rw	Διόσκοροι	*dio/skoroi	n-d---mn-
Διοσκόρω	*diosko/rw	Διόσκοροι	*dio/skoroi	n-d---mv-
Διοσκόρω	*diosko/rw	Διόσκοροι	*dio/skoroi	n-d---ma-
Διοσκόρω	*diosko/rw	Διόσκοροι	*dio/skoroi	n-s---mg-
Διοσκόρω	*diosko/rw	Διόσκοροι	*dio/skoroi	n-d---mn-
Διοσκόρω	*diosko/rw	Διόσκοροι	*dio/skoroi	n-d---mv-
Διοσκόρω	*diosko/rw	Διόσκοροι	*dio/skoroi	n-d---ma-
Διοσκόρω	*diosko/rw	Διόσκοροι	*dio/skoroi	n-s---mg-
Διοσκόρω	*diosko/rw	Διοσκόρος	*diosko/ros	n-s---mg-
Διόθεν	*dio/qen	Διόθεν	*dio/qen	d--------
Διόθεν	*dio/qen	Ζεύς	*zeu/s	d--------
Διός	*dio/s	Ζεύς	*zeu/s	n-s---mg-
Δυστυχής	*dustuxh/s	δυστυχής	dustuxh/s	n-s---mn-
Δυστυχής	*dustuxh/s	δυστυχής	dustuxh/s	n-s---fn-
Δία	*di/a	Δίη	*di/h	n-s---fn-
Δία	*di/a	Δίη	*di/h	n-s---fv-
Δία	*di/a	Δίον	*di/on	n-p---nn-
Δία	*di/a	Δίον	*di/on	n-p---nv-
Δία	*di/a	Δίον	*di/on	n-p---na-
Δία	*di/a	Ζεύς	*zeu/s	n-s---ma-
Δία	*di/a	δῖος	di=os	a-d---fn-
Δία	*di/a	δῖος	di=os	a-d---fv-
Δία	*di/a	δῖος	di=os	a-d---fa-
Δία	*di/a	δῖος	di=os	a-s---fn-
Δία	*di/a	δῖος	di=os	a-s---fv-
Δίκτυνν’	*di/ktunn'	Δίκτυννα	*di/ktunna	n-s---fn-
Δίκτυνν’	*di/ktunn'	Δίκτυννα	*di/ktunna	n-s---fv-
Δίρκας	*di/rkas	Δίρκη	*di/rkh	n-p---fa-
Δίρκας	*di/rkas	Δίρκη	*di/rkh	n-s---fg-
Εὐρώπαν	*eu)rw/pan	Εὐρώπη	*eu)rw/ph	n-s---fa-
Εὐρώπαν	*eu)rw/pan	Εὐρώπης	*eu)rw/phs	n-s---ma-
Εὐρώπας	*eu)rw/pas	Εὐρώπη	*eu)rw/ph	n-p---fa-
