form	token_urn	expanded_form	presentation_form
Κυκλώπι’	urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1088.1.text.token2		Κυκλώπι’
Μενέλα’	urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:890.1.text.token4		Μενέλα’
Μενέλα’	urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1029.1.text.token1		Μενέλα’
Σαλαμῖν’	urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1096.1.text.token2		Σαλαμῖν’
αἰθέρ’	urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1024.1.text.token3		αἰθέρ’
αἴνιγμ’	urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:625.1.text.token2		αἴνιγμ’
αἴρετ’	urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:465.1.text.token4		αἴρετ’
αὔτ’	urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1171.1.text.token3	αὔτε	αὔτε
βασίλει’	urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:966.1.text.token1		βασίλει’
βοάσαθ’	urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:335.1.text.token1		βοάσαθ’
βάρβαρ’	urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:764.1.text.token2		βάρβαρ’
βέβακ’	urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:582.1.text.token1		βέβακ’
βέβηκ’	urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:617.1.text.token1		βέβηκ’
βῆμ’	urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:342.1.text.token4		βῆμ’
γαύρωμ’	urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1250.1.text.token3		γαύρωμ’
γοᾶσθ’	urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:288.1.text.token1		γοᾶσθ’
γυμνάδ’	urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:448.1.text.token5		γυμνάδ’
γένοιτ’	urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:385.1.text.token1		γένοιτ’
γένοιτ’	urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:705.1.text.token5		γένοιτ’
γ’	urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:71.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:72.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:210.1.text.token5	γε	γε
