frequency	elided_form	expanded_form	presentation_form	turns
126	δ’	δέ	δέ	urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:15.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:32.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:34.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:36.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:66.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:67.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:82.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:140.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:146.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:163.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:173.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:174.2.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:190.2.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:197.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:260.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:271.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:285.1.text.token10,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:292.1.text.token9,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:305.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:312.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:319.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:374.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:376.1.text.token6,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:379.1.text.token4,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:380.1.text.token6,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:387.1.text.token6,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:394.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:397.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:398.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:401.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:421.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:422.1.text.token6,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:428.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:430.1.text.token8,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:460.1.text.token7,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:470.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:482.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:484.1.text.token6,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:491.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:507.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:509.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:522.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:529.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:538.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:545.1.text.token6,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:555.1.text.token4,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:560.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:562.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:570.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:596.2.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:600.1.text.token6,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:606.1.text.token6,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:614.1.text.token7,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:633.1.text.token7,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:639.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:641.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:655.1.text.token4,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:660.1.text.token4,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:663.1.text.token7,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:673.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:677.1.text.token8,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:683.1.text.token6,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:687.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:690.1.text.token7,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:691.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:691.1.text.token8,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:712.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:721.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:727.1.text.token6,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:737.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:744.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:760.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:762.1.text.token6,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:810.1.text.token4,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:826.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:876.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:877.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:882.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:889.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:899.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:909.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:912.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:913.1.text.token6,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:916.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:920.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:927.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:931.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:935.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:950.1.text.token7,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:951.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:959.1.text.token3,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:963.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:974.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:983.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:988.1.text.token3,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:994.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1007.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1008.1.text.token4,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1009.1.text.token7,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1016.1.text.token7,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1017.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1046.1.text.token6,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1050.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1053.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1055.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1058.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1107.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1126.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1130.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1142.1.text.token7,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1149.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1164.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1171.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1172.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1179.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1185.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1202.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1218.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1233.1.text.token8,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1234.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1242.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1253.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1265.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1279.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1320.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1322.1.text.token8
48	τ’	τε	τε	urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:25.1.text.token6,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:43.1.text.token7,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:54.1.text.token3,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:79.1.text.token4,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:90.1.text.token7,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:117.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:127.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:133.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:217.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:224.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:229.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:301.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:351.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:363.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:364.1.text.token4,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:380.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:436.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:439.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:479.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:480.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:488.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:502.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:583.2.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:591.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:605.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:609.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:671.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:672.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:711.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:730.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:739.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:776.1.text.token4,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1001.1.text.token3,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1033.1.text.token4,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1035.1.text.token4,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1040.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1066.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1071.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1132.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1136.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1163.1.text.token3,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1176.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1187.1.text.token7,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1188.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1197.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1221.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1225.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1269.1.text.token2
26	ἀλλ’	ἀλλά	ἀλλά	urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:45.1.text.token1,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:92.1.text.token1,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:143.1.text.token1,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:246.1.text.token3,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:350.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:361.1.text.token1,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:366.1.text.token8,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:476.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:630.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:669.1.text.token1,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:697.1.text.token1,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:706.1.text.token1,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:716.1.text.token1,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:726.1.text.token1,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:748.1.text.token1,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:774.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:865.1.text.token4,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:880.1.text.token1,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:901.1.text.token6,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:945.2.text.token4,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1141.1.text.token1,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1153.1.text.token1,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1185.1.text.token6,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1192.1.text.token1,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1275.1.text.token1,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1285.1.text.token1
24	σ’	σε	σε	urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:174.2.text.token4,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:277.1.text.token6,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:346.1.text.token6,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:349.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:408.1.text.token3,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:734.1.text.token3,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:742.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:767.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:770.1.text.token8,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:792.1.text.token8,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:891.1.text.token7,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:902.1.text.token3,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:916.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:918.1.text.token6,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:985.1.text.token6,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:998.1.text.token8,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1015.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1150.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1173.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1213.1.text.token8,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1228.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1232.1.text.token6,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1270.1.text.token4,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1279.1.text.token2
19	μ’	με	με	urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:161.1.text.token9,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:187.2.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:188.1.text.token3,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:235.1.text.token6,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:457.1.text.token6,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:460.1.text.token4,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:466.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:503.1.text.token3,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:505.1.text.token3,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:577.1.text.token3,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:594.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:658.1.text.token3,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:675.1.text.token3,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:685.1.text.token4,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:953.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:957.1.text.token3,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:959.1.text.token6,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1092.1.text.token7,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1181.1.text.token4
17	ποτ’	ποτε	ποτε	urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:45.1.text.token4,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:424.1.text.token7,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:433.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:455.1.text.token8,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:502.1.text.token8,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:572.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:581.2.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:610.1.text.token6,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:770.1.text.token3,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:840.1.text.token8,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:870.1.text.token4,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:885.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1110.1.text.token3,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1213.1.text.token3,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1217.1.text.token7,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1221.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1277.1.text.token4
16	θ’	τε	τε	urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:24.1.text.token3,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:90.1.text.token4,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:96.1.text.token4,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:116.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:407.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:437.1.text.token4,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:438.1.text.token4,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:439.1.text.token6,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:484.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:609.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:654.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:769.1.text.token4,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:927.1.text.token6,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1069.1.text.token3,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1144.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1183.1.text.token6
13	γ’	γε	γε	urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:71.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:72.1.text.token4,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:210.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:355.1.text.token9,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:367.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:388.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:620.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:631.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:770.1.text.token6,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:946.1.text.token4,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1191.1.text.token6,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1305.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1311.2.text.token3
12	οὐδ’	οὐδέ	οὐδέ	urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:71.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:346.1.text.token8,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:376.1.text.token1,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:477.1.text.token3,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:681.1.text.token3,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:733.1.text.token1,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:733.1.text.token4,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:734.1.text.token1,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:996.1.text.token3,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1210.1.text.token1,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1292.1.text.token3,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1323.1.text.token4
10	τόδ’		τόδ’	urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:240.1.text.token5,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:269.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:309.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:401.1.text.token4,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:525.1.text.token1,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:720.1.text.token4,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:896.1.text.token1,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:913.1.text.token2,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1019.1.text.token7,urn:cts:greekLit:tlg0006.tlg011.fu-sp.tok:1261.1.text.token2
