Αἰγαίων’	*ai)gai/wn'	Αἰγαίων	*ai)gai/wn	n-s---ma-
Αἰγαίων’	*ai)gai/wn'	Αἰγαίων	*ai)gai/wn	n-s---md-
Αἰγαίων’	*ai)gai/wn'	Αἰγαίων	*ai)gai/wn	n-d---mn-
Αἰγαίων’	*ai)gai/wn'	Αἰγαίων	*ai)gai/wn	n-d---mv-
Αἰγαίων’	*ai)gai/wn'	Αἰγαίων	*ai)gai/wn	n-d---ma-
Βιστόνων	*bisto/nwn	Βίστονες	*bi/stones	n-p---mg-
Γοργόν’	*gorgo/n'	Γοργόνη	*gorgo/nh	n-s---fd-
Γοργόν’	*gorgo/n'	Γοργών	*gorgw/n	n-s---fa-
Γοργόν’	*gorgo/n'	Γοργών	*gorgw/n	n-s---fd-
Γοργόν’	*gorgo/n'	Γοργών	*gorgw/n	n-d---fn-
Γοργόν’	*gorgo/n'	Γοργών	*gorgw/n	n-d---fv-
Γοργόν’	*gorgo/n'	Γοργών	*gorgw/n	n-d---fa-
Διομήδους	*diomh/dous	Διομήδης	*diomh/dhs	n-s---mg-
Διί	*dii/	Ζεύς	*zeu/s	n-s---md-
Διός	*dio/s	Ζεύς	*zeu/s	n-s---mg-
Δέσποιν’	*de/spoin'	Δέσποινα	*de/spoina	n-s---fn-
Δέσποιν’	*de/spoin'	Δέσποινα	*de/spoina	n-s---fv-
Δέσποιν’	*de/spoin'	δέσποινα	de/spoina	n-s---fn-
Δέσποιν’	*de/spoin'	δέσποινα	de/spoina	n-s---fv-
Δέσποιν’	*de/spoin'	δέσποινα	de/spoina	n-p---fn-
Δέσποιν’	*de/spoin'	δέσποινα	de/spoina	n-p---fv-
Δήμητρος	*dh/mhtros	Δημήτηρ	*dhmh/thr	n-s---fg-
Δήμητρος	*dh/mhtros	Δημήτηρ	*dhmh/thr	n-s---fg-
Δίου	*di/ou	Δίον	*di/on	n-s---ng-
Δίου	*di/ou	Δῖον	*di=on	n-s---ng-
Δίου	*di/ou	Δῖος	*di=os	n-s---mg-
Δίου	*di/ou	δίεμαι	di/emai	v2spme---
Δίου	*di/ou	δίω	di/w	v2spme---
Δίου	*di/ou	δίω	di/w	v2siie---
Δίου	*di/ou	δῖος	di=os	a-s---mg-
Δίου	*di/ou	δῖος	di=os	a-s---ng-
Δίου	*di/ou	δῖος	di=os	n-s---mg-
Δίου	*di/ou	δῖος	di=os	n-s---fg-
Δίου	*di/ou	δῖος	di=os	n-s---ng-
Εὐρυσθεῖ	*eu)rusqei=	Εὐρυσθεύς	*eu)rusqeu/s	n-s---md-
Εὐρυσθέως	*eu)rusqe/ws	Εὐρυσθεύς	*eu)rusqeu/s	n-s---mg-
Εὐρυσθέως	*eu)rusqe/ws	Εὐρυσθεύς	*eu)rusqeu/s	n-s---mg-
Εὐρυσθέως	*eu)rusqe/ws	Εὐρυσθεύς	*eu)rusqeu/s	n-s---mn-
Ζεύς	*zeu/s	Ζεύς	*zeu/s	n-s---mn-
Ζεῦ	*zeu=	Ζεύς	*zeu/s	n-s---mv-
Ζεῦ	*zeu=	ζέω	ze/w	v2spme---
Ζεῦ	*zeu=	ζέω	ze/w	v2siie---
Ζηνός	*zhno/s	Ζεύς	*zeu/s	n-s---mg-
Θανάτῳ	*qana/tw|	Θάνατος	*qa/natos	n-s---md-
Θανάτῳ	*qana/tw|	θάνατος	qa/natos	n-s---md-
Θεσσαλοῖσιν	*qessaloi=sin	Θεσσαλός	*qessalo/s	a-p---md-
Θεσσαλοῖσιν	*qessaloi=sin	Θεσσαλός	*qessalo/s	a-p---nd-
Θεσσαλοῖσιν	*qessaloi=sin	Θεσσαλός	*qessalo/s	n-p---md-
Θεσσαλοῦ	*qessalou=	Θεσσαλός	*qessalo/s	a-s---mg-
Θεσσαλοῦ	*qessalou=	Θεσσαλός	*qessalo/s	a-s---ng-
