frequency	elided_form	expanded_form	presentation_form	turns
120	δ’	δέ	δέ	urn:cts:greekLit:tlg0006.tlg019.fu.sp:44.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:49.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:68.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:74.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:79.1.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:91.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:99.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:107.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:117.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:119.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:128.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:132.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:143.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:148.1.text.token.3,urn:cts:greekLit:tlg0006.tlg019.fu.sp:161.1.text.token.7,urn:cts:greekLit:tlg0006.tlg019.fu.sp:167.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:173.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:182.1.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:187.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:191.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:193.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:195.1.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:201.1.text.token.6,urn:cts:greekLit:tlg0006.tlg019.fu.sp:214.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:220.1.text.token.6,urn:cts:greekLit:tlg0006.tlg019.fu.sp:237.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:258.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:287.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:291.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:296.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:305.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:306.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:312.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:312.1.text.token.7,urn:cts:greekLit:tlg0006.tlg019.fu.sp:324.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:336.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:340.1.text.token.3,urn:cts:greekLit:tlg0006.tlg019.fu.sp:391.1.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:404.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:413.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:416.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:428.1.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:434.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:437.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:443.1.text.token.8,urn:cts:greekLit:tlg0006.tlg019.fu.sp:445.1.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:449.1.text.token.6,urn:cts:greekLit:tlg0006.tlg019.fu.sp:463.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:468.1.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:477.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:489.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:498.1.text.token.6,urn:cts:greekLit:tlg0006.tlg019.fu.sp:503.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:504.1.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:507.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:512.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:519.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:521.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:530.1.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:541.1.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:554.1.text.token.3,urn:cts:greekLit:tlg0006.tlg019.fu.sp:572.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:581.1.text.token.7,urn:cts:greekLit:tlg0006.tlg019.fu.sp:584.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:591.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:594.1.text.token.7,urn:cts:greekLit:tlg0006.tlg019.fu.sp:598.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:605.1.text.token.7,urn:cts:greekLit:tlg0006.tlg019.fu.sp:611.1.text.token.3,urn:cts:greekLit:tlg0006.tlg019.fu.sp:618.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:626.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:631.1.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:647.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:648.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:654.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:656.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:659.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:668.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:671.1.text.token.6,urn:cts:greekLit:tlg0006.tlg019.fu.sp:703.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:715.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:760.1.text.token.3,urn:cts:greekLit:tlg0006.tlg019.fu.sp:761.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:769.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:774.1.text.token.6,urn:cts:greekLit:tlg0006.tlg019.fu.sp:776.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:778.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:779.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:784.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:785.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:787.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:789.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:792.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:797.1.text.token.6,urn:cts:greekLit:tlg0006.tlg019.fu.sp:800.1.text.token.8,urn:cts:greekLit:tlg0006.tlg019.fu.sp:807.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:814.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:844.1.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:849.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:851.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:852.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:859.1.text.token.3,urn:cts:greekLit:tlg0006.tlg019.fu.sp:863.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:867.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:868.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:876.1.text.token.9,urn:cts:greekLit:tlg0006.tlg019.fu.sp:877.1.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:879.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:901.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:915.1.text.token.7,urn:cts:greekLit:tlg0006.tlg019.fu.sp:934.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:939.1.text.token.3,urn:cts:greekLit:tlg0006.tlg019.fu.sp:949.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:957.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:970.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:976.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:984.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:986.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:988.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:995.1.text.token.5
20	τ’	τε	τε	urn:cts:greekLit:tlg0006.tlg019.fu.sp:64.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:243.1.text.token.3,urn:cts:greekLit:tlg0006.tlg019.fu.sp:302.1.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:339.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:374.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:435.1.text.token.3,urn:cts:greekLit:tlg0006.tlg019.fu.sp:441.1.text.token.3,urn:cts:greekLit:tlg0006.tlg019.fu.sp:449.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:470.1.text.token.3,urn:cts:greekLit:tlg0006.tlg019.fu.sp:477.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:499.1.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:522.1.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:671.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:716.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:733.2.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:766.1.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:815.1.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:947.1.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:987.1.text.token.3,urn:cts:greekLit:tlg0006.tlg019.fu.sp:990.1.text.token.2
20	ἀλλ’	ἀλλά	ἀλλά	urn:cts:greekLit:tlg0006.tlg019.fu.sp:36.1.text.token.1,urn:cts:greekLit:tlg0006.tlg019.fu.sp:65.1.text.token.1,urn:cts:greekLit:tlg0006.tlg019.fu.sp:70.1.text.token.1,urn:cts:greekLit:tlg0006.tlg019.fu.sp:97.1.text.token.1,urn:cts:greekLit:tlg0006.tlg019.fu.sp:106.1.text.token.1,urn:cts:greekLit:tlg0006.tlg019.fu.sp:170.1.text.token.1,urn:cts:greekLit:tlg0006.tlg019.fu.sp:189.1.text.token.1,urn:cts:greekLit:tlg0006.tlg019.fu.sp:216.1.text.token.1,urn:cts:greekLit:tlg0006.tlg019.fu.sp:272.1.text.token.1,urn:cts:greekLit:tlg0006.tlg019.fu.sp:321.1.text.token.1,urn:cts:greekLit:tlg0006.tlg019.fu.sp:426.1.text.token.1,urn:cts:greekLit:tlg0006.tlg019.fu.sp:440.1.text.token.1,urn:cts:greekLit:tlg0006.tlg019.fu.sp:443.1.text.token.1,urn:cts:greekLit:tlg0006.tlg019.fu.sp:480.1.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:485.1.text.token.1,urn:cts:greekLit:tlg0006.tlg019.fu.sp:511.1.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:560.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:614.1.text.token.1,urn:cts:greekLit:tlg0006.tlg019.fu.sp:636.1.text.token.1,urn:cts:greekLit:tlg0006.tlg019.fu.sp:672.1.text.token.5
19	ἐπ’	ἐπί	ἐπί	urn:cts:greekLit:tlg0006.tlg019.fu.sp:84.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:97.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:146.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:150.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:155.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:182.1.text.token.6,urn:cts:greekLit:tlg0006.tlg019.fu.sp:203.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:221.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:237.1.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:305.1.text.token.3,urn:cts:greekLit:tlg0006.tlg019.fu.sp:306.1.text.token.6,urn:cts:greekLit:tlg0006.tlg019.fu.sp:471.1.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:493.1.text.token.8,urn:cts:greekLit:tlg0006.tlg019.fu.sp:502.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:514.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:540.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:585.1.text.token.3,urn:cts:greekLit:tlg0006.tlg019.fu.sp:589.1.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:649.1.text.token.3
16	σ’	σε	σε	urn:cts:greekLit:tlg0006.tlg019.fu.sp:120.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:174.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:189.1.text.token.3,urn:cts:greekLit:tlg0006.tlg019.fu.sp:216.1.text.token.3,urn:cts:greekLit:tlg0006.tlg019.fu.sp:270.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:389.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:390.1.text.token.3,urn:cts:greekLit:tlg0006.tlg019.fu.sp:397.1.text.token.6,urn:cts:greekLit:tlg0006.tlg019.fu.sp:646.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:896.1.text.token.3,urn:cts:greekLit:tlg0006.tlg019.fu.sp:912.1.text.token.7,urn:cts:greekLit:tlg0006.tlg019.fu.sp:917.1.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:928.1.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:932.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:935.1.text.token.7,urn:cts:greekLit:tlg0006.tlg019.fu.sp:978.1.text.token.7
16	οὐδ’	οὐδέ	οὐδέ	urn:cts:greekLit:tlg0006.tlg019.fu.sp:82.1.text.token.1,urn:cts:greekLit:tlg0006.tlg019.fu.sp:121.1.text.token.1,urn:cts:greekLit:tlg0006.tlg019.fu.sp:168.1.text.token.1,urn:cts:greekLit:tlg0006.tlg019.fu.sp:222.1.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:309.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:400.1.text.token.3,urn:cts:greekLit:tlg0006.tlg019.fu.sp:400.1.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:439.1.text.token.1,urn:cts:greekLit:tlg0006.tlg019.fu.sp:641.1.text.token.3,urn:cts:greekLit:tlg0006.tlg019.fu.sp:647.1.text.token.8,urn:cts:greekLit:tlg0006.tlg019.fu.sp:764.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:765.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:778.1.text.token.7,urn:cts:greekLit:tlg0006.tlg019.fu.sp:802.1.text.token.1,urn:cts:greekLit:tlg0006.tlg019.fu.sp:854.1.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:939.1.text.token.5
15	μ’	με	με	urn:cts:greekLit:tlg0006.tlg019.fu.sp:55.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:56.1.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:145.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:175.1.text.token.6,urn:cts:greekLit:tlg0006.tlg019.fu.sp:181.1.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:281.1.text.token.7,urn:cts:greekLit:tlg0006.tlg019.fu.sp:432.1.text.token.3,urn:cts:greekLit:tlg0006.tlg019.fu.sp:491.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:722.1.text.token.9,urn:cts:greekLit:tlg0006.tlg019.fu.sp:750.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:752.1.text.token.3,urn:cts:greekLit:tlg0006.tlg019.fu.sp:793.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:859.1.text.token.8,urn:cts:greekLit:tlg0006.tlg019.fu.sp:908.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:918.1.text.token.2
11	κατ’	κατά	κατά	urn:cts:greekLit:tlg0006.tlg019.fu.sp:92.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:136.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:287.1.text.token.6,urn:cts:greekLit:tlg0006.tlg019.fu.sp:371.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:421.1.text.token.6,urn:cts:greekLit:tlg0006.tlg019.fu.sp:551.1.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:570.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:679.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:690.1.text.token.3,urn:cts:greekLit:tlg0006.tlg019.fu.sp:736.1.text.token.7,urn:cts:greekLit:tlg0006.tlg019.fu.sp:852.1.text.token.6
9	ποτ’	ποτε	ποτε	urn:cts:greekLit:tlg0006.tlg019.fu.sp:135.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:237.1.text.token.4,urn:cts:greekLit:tlg0006.tlg019.fu.sp:360.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:376.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:475.1.text.token.6,urn:cts:greekLit:tlg0006.tlg019.fu.sp:557.1.text.token.3,urn:cts:greekLit:tlg0006.tlg019.fu.sp:653.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:736.1.text.token.3,urn:cts:greekLit:tlg0006.tlg019.fu.sp:882.1.text.token.2
8	πάντ’	πάντα	πάντα	urn:cts:greekLit:tlg0006.tlg019.fu.sp:80.1.text.token.1,urn:cts:greekLit:tlg0006.tlg019.fu.sp:106.1.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:142.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:152.1.text.token.5,urn:cts:greekLit:tlg0006.tlg019.fu.sp:156.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:300.1.text.token.2,urn:cts:greekLit:tlg0006.tlg019.fu.sp:605.1.text.token.3,urn:cts:greekLit:tlg0006.tlg019.fu.sp:665.1.text.token.5
