Αἰακίδᾳ	*ai)aki/da|	Αἰακίδης	*ai)aki/dhs	n-p---mn-
Αἰακίδᾳ	*ai)aki/da|	Αἰακίδης	*ai)aki/dhs	n-p---mv-
Αἰακίδᾳ	*ai)aki/da|	Αἰακίδης	*ai)aki/dhs	n-s---md-
Αἰνέα	*ai)ne/a	Αἰνείας	*ai)nei/as	n-s---mv-
Αἰνέα	*ai)ne/a	Αἰνείας	*ai)nei/as	n-s---mg-
Αἰνέαν	*ai)ne/an	Αἰνείας	*ai)nei/as	n-s---ma-
Αἰνέας	*ai)ne/as	Αἰνείας	*ai)nei/as	n-s---mn-
Αἴαντος	*ai)/antos	Αἴας	*ai)/as	n-s---mg-
Αἴας	*ai)/as	Αἴας	*ai)/as	n-s---mn-
Αἴας	*ai)/as	Αἶα	*ai)=a	n-p---fa-
Αἴας	*ai)/as	Αἶα	*ai)=a	n-s---fg-
Αἴας	*ai)/as	αἶα	ai)=a	n-s---fg-
Βάκχου	*ba/kxou	Βάκχος	*ba/kxos	n-s---mg-
Βᾶθι	*ba=qi	βαίνω	bai/nw	v2sama---
Γοργών	*gorgw/n	Γοργών	*gorgw/n	n-s---fn-
Γοργών	*gorgw/n	Γοργών	*gorgw/n	n-s---fv-
Δαρδανίδαις	*dardani/dais	Δαρδανίδης	*dardani/dhs	n-p---md-
Διόθεν	*dio/qen	Διόθεν	*dio/qen	d--------
Διόθεν	*dio/qen	Ζεύς	*zeu/s	d--------
Διόμηδες	*dio/mhdes	Διομήδης	*diomh/dhs	n-s---mv-
Διός	*dio/s	Ζεύς	*zeu/s	n-s---mg-
Δάλιε	*da/lie	Δήλιος	*dh/lios	a-s---mv-
Δήμητρος	*dh/mhtros	Δημήτηρ	*dhmh/thr	n-s---fg-
Δήμητρος	*dh/mhtros	Δημήτηρ	*dhmh/thr	n-s---fg-
Δίκα	*di/ka	Δίκη	*di/kh	n-d---fn-
Δίκα	*di/ka	Δίκη	*di/kh	n-d---fv-
Δίκα	*di/ka	Δίκη	*di/kh	n-d---fa-
Δίκα	*di/ka	Δίκη	*di/kh	n-s---fn-
Δίκα	*di/ka	Δίκη	*di/kh	n-s---fv-
Δίκα	*di/ka	δίκη	di/kh	n-d---fn-
Δίκα	*di/ka	δίκη	di/kh	n-d---fv-
Δίκα	*di/ka	δίκη	di/kh	n-d---fa-
Δίκα	*di/ka	δίκη	di/kh	n-s---fn-
Δίκα	*di/ka	δίκη	di/kh	n-s---fv-
Δίκη	*di/kh	Δίκη	*di/kh	n-s---fn-
Δίκη	*di/kh	Δίκη	*di/kh	n-s---fv-
Δίκη	*di/kh	δίκη	di/kh	n-s---fn-
Δίκη	*di/kh	δίκη	di/kh	n-s---fv-
Δόλων	*do/lwn	Δόλων	*do/lwn	n-s---mn-
Δόλων	*do/lwn	Δόλων	*do/lwn	n-s---mv-
Δόλων	*do/lwn	δόλος	do/los	n-p---mg-
Δόλων	*do/lwn	δόλων	do/lwn	n-s---mn-
Δόλων	*do/lwn	δόλων	do/lwn	n-s---mv-
Δόλων	*do/lwn	δολόω	dolo/w	v3piia---
Δόλων	*do/lwn	δολόω	dolo/w	v1siia---
Δόλωνα	*do/lwna	Δόλων	*do/lwn	n-s---ma-
Δόλωνα	*do/lwna	δόλων	do/lwn	n-s---ma-
Δόλωνος	*do/lwnos	Δόλων	*do/lwn	n-s---mg-
Δόλωνος	*do/lwnos	δόλων	do/lwn	n-s---mg-
Εὐξένου	*eu)ce/nou	Εὔξενος	*eu)/cenos	n-s---mg-
Εὐξένου	*eu)ce/nou	εὔξενος	eu)/cenos	n-s---mg-
Εὐξένου	*eu)ce/nou	εὔξενος	eu)/cenos	n-s---fg-
Εὐξένου	*eu)ce/nou	εὔξενος	eu)/cenos	n-s---ng-
Εὐρώπας	*eu)rw/pas	Εὐρώπη	*eu)rw/ph	n-p---fa-
Εὐρώπας	*eu)rw/pas	Εὐρώπη	*eu)rw/ph	n-s---fg-
Εὐρώπας	*eu)rw/pas	Εὐρώπης	*eu)rw/phs	n-p---ma-
Εὐρώπας	*eu)rw/pas	Εὐρώπης	*eu)rw/phs	n-s---mn-
Ζεύς	*zeu/s	Ζεύς	*zeu/s	n-s---mn-
Ζῆνα	*zh=na	Ζεύς	*zeu/s	n-s---ma-
Ζῆνα	*zh=na	ζῆνος	zh=nos	a-p---nn-
Ζῆνα	*zh=na	ζῆνος	zh=nos	a-p---nv-
Ζῆνα	*zh=na	ζῆνος	zh=nos	a-p---na-
Θεσσαλός	*qessalo/s	Θεσσαλός	*qessalo/s	a-s---mn-
Θεσσαλός	*qessalo/s	Θεσσαλός	*qessalo/s	n-s---mn-
Θρῃκί	*qrh|ki/	Θρᾷξ	*qra=|c	n-s---md-
Θρῃκίαν	*qrh|ki/an	Θρᾷξ	*qra=|c	a-s---fa-
Θρῃκίαν	*qrh|ki/an	Θρᾷξ	*qra=|c	a-s---fa-
Θρῃκίαν	*qrh|ki/an	Θρᾳκία	*qra|ki/a	n-s---fa-
Θρῃκίαν	*qrh|ki/an	Θρᾳκία	*qra|ki/a	n-s---fa-
Θρῃκίαν	*qrh|ki/an	Θρῄκιος	*qrh/|kios	a-s---fa-
Θρῃκίοις	*qrh|ki/ois	Θρᾷξ	*qra=|c	a-p---md-
Θρῃκίοις	*qrh|ki/ois	Θρᾷξ	*qra=|c	a-p---nd-
Θρῃκίοις	*qrh|ki/ois	Θρᾷξ	*qra=|c	a-p---md-
Θρῃκίοις	*qrh|ki/ois	Θρᾷξ	*qra=|c	a-p---nd-
Θρῃκίοις	*qrh|ki/ois	Θρῄκιος	*qrh/|kios	a-p---md-
Θρῃκίοις	*qrh|ki/ois	Θρῄκιος	*qrh/|kios	a-p---nd-
Θρῃκίων	*qrh|ki/wn	Θρᾷξ	*qra=|c	a-p---fg-
Θρῃκίων	*qrh|ki/wn	Θρᾷξ	*qra=|c	a-p---mg-
Θρῃκίων	*qrh|ki/wn	Θρᾷξ	*qra=|c	a-p---ng-
Θρῃκίων	*qrh|ki/wn	Θρᾷξ	*qra=|c	a-p---fg-
Θρῃκίων	*qrh|ki/wn	Θρᾷξ	*qra=|c	a-p---mg-
Θρῃκίων	*qrh|ki/wn	Θρᾷξ	*qra=|c	a-p---ng-
Θρῃκίων	*qrh|ki/wn	Θρῄκιος	*qrh/|kios	a-p---fg-
Θρῃκίων	*qrh|ki/wn	Θρῄκιος	*qrh/|kios	a-p---mg-
Θρῃκίων	*qrh|ki/wn	Θρῄκιος	*qrh/|kios	a-p---ng-
Θρῃκίῳ	*qrh|ki/w|	Θρᾷξ	*qra=|c	a-s---md-
Θρῃκίῳ	*qrh|ki/w|	Θρᾷξ	*qra=|c	a-s---nd-
Θρῃκίῳ	*qrh|ki/w|	Θρᾷξ	*qra=|c	a-s---md-
Θρῃκίῳ	*qrh|ki/w|	Θρᾷξ	*qra=|c	a-s---nd-
Θρῃκίῳ	*qrh|ki/w|	Θρῄκιος	*qrh/|kios	a-s---md-
Θρῃκίῳ	*qrh|ki/w|	Θρῄκιος	*qrh/|kios	a-s---nd-
Θρῃκός	*qrh|ko/s	Θρᾷξ	*qra=|c	n-s---mg-
Θρῃκῶν	*qrh|kw=n	Θρᾷξ	*qra=|c	n-p---mg-
Θρῃκῶν	*qrh|kw=n	Θρᾳκία	*qra|ki/a	n-p---fg-
Θρῃξίν	*qrh|ci/n	Θρᾷξ	*qra=|c	n-p---md-
Θρῄκη	*qrh/|kh	Θρᾳκία	*qra|ki/a	n-s---fn-
Θρῄκη	*qrh/|kh	Θρᾳκία	*qra|ki/a	n-s---fv-
Θρῄκης	*qrh/|khs	Θρᾳκία	*qra|ki/a	n-s---fg-
Θρῄκιον	*qrh/|kion	Θρᾷξ	*qra=|c	a-s---ma-
Θρῄκιον	*qrh/|kion	Θρᾷξ	*qra=|c	a-s---nn-
Θρῄκιον	*qrh/|kion	Θρᾷξ	*qra=|c	a-s---nv-
Θρῄκιον	*qrh/|kion	Θρᾷξ	*qra=|c	a-s---na-
Θρῄκιον	*qrh/|kion	Θρῄκιος	*qrh/|kios	a-s---ma-
Θρῄκιον	*qrh/|kion	Θρῄκιος	*qrh/|kios	a-s---nn-
Θρῄκιον	*qrh/|kion	Θρῄκιος	*qrh/|kios	a-s---nv-
Θρῄκιον	*qrh/|kion	Θρῄκιος	*qrh/|kios	a-s---na-
Θρῄκιος	*qrh/|kios	Θρᾷξ	*qra=|c	a-s---mn-
Θρῄκιος	*qrh/|kios	Θρῄκιος	*qrh/|kios	a-s---mn-
Θρῄξ	*qrh/|c	Θρᾷξ	*qra=|c	n-s---mn-
Θρῄξ	*qrh/|c	Θρᾷξ	*qra=|c	n-s---mv-
Θρῇκα	*qrh=|ka	Θρᾷξ	*qra=|c	n-s---ma-
Θυμβραῖε	*qumbrai=e	Θυμβραῖος	*qumbrai=os	n-s---mv-
Θυμβραῖον	*qumbrai=on	Θυμβραῖος	*qumbrai=os	n-s---ma-
Θάμυριν	*qa/murin	Θάμυρις	*qa/muris	n-s---ma-
Θέτιδος	*qe/tidos	Θέτις	*qe/tis	n-s---fg-
Κρονίου	*kroni/ou	Κρόνιος	*kro/nios	a-s---mg-
Κρονίου	*kroni/ou	Κρόνιος	*kro/nios	a-s---ng-
Κίλικας	*ki/likas	Κίλιξ	*ki/lic	n-p---ma-
