token_urn	surface_form	normalized_form	reason
	!cexversion	!cexversion	no_match_in_morph_dict
	!citelibrary	!citelibrary	no_match_in_morph_dict
name	CEX Library created by CEXWriter	CEX Library created by CEXWriter	no_match_in_morph_dict
urn	urn:cite2:cex:TEMPCOLL.TEMPVERSION:TEMPID	urn:cite2:cex:TEMPCOLL.TEMPVERSION:TEMPID	no_match_in_morph_dict
license	Public Domain.	Public Domain.	no_match_in_morph_dict
	!ctscatalog	!ctscatalog	no_match_in_morph_dict
urn	citationScheme	citationScheme	no_match_in_morph_dict
urn:cts:greekLit:tlg0016.tlg001.grc.token:	line/speech/speaker/token,line/speech/text/token	line/speech/speaker/token,line/speech/text/token	no_match_in_morph_dict
urn	citationScheme	citationScheme	no_match_in_morph_dict
urn:cts:greekLit:tlg0016.tlg001.grc:	book/section	book/section	no_match_in_morph_dict
	!ctsdata	!ctsdata	no_match_in_morph_dict
urn:cts:greekLit:tlg0016.tlg001.grc:1.0.token.1	Ἡροδότου	Ἡροδότου	no_match_in_morph_dict
urn:cts:greekLit:tlg0016.tlg001.grc:1.0.token.2	Ἁλικαρνησσέος	Ἁλικαρνησσέος	no_match_in_morph_dict
urn:cts:greekLit:tlg0016.tlg001.grc:1.1.token.47	Ἀσσύρια	Ἀσσύρια	no_match_in_morph_dict
urn:cts:greekLit:tlg0016.tlg001.grc:1.1.token.147	μάλιστα	μάλιστα	no_match_in_morph_dict
urn:cts:greekLit:tlg0016.tlg001.grc:1.2.token.97	Μηδείην	Μηδείην	no_match_in_morph_dict
urn:cts:greekLit:tlg0016.tlg001.grc:1.2.token.120	ὑποκρίνασθαι	ὑποκρίνασθαι	no_match_in_morph_dict
urn:cts:greekLit:tlg0016.tlg001.grc:1.4.token.93	Λακεδαιμονίης	Λακεδαιμονίης	no_match_in_morph_dict
urn:cts:greekLit:tlg0016.tlg001.grc:1.5.token.50	ἐμίσγετο	ἐμίσγετο	no_match_in_morph_dict
urn:cts:greekLit:tlg0016.tlg001.grc:1.6.token.1	Κροῖσος	Κροῖσος	no_match_in_morph_dict
urn:cts:greekLit:tlg0016.tlg001.grc:1.6.token.9	Ἀλυάττεω	Ἀλυάττεω	no_match_in_morph_dict
urn:cts:greekLit:tlg0016.tlg001.grc:1.6.token.40	Κροῖσος	Κροῖσος	no_match_in_morph_dict
urn:cts:greekLit:tlg0016.tlg001.grc:1.6.token.61	Ἴωνάς	Ἴωνάς	no_match_in_morph_dict
urn:cts:greekLit:tlg0016.tlg001.grc:1.6.token.75	Λακεδαιμονίους	Λακεδαιμονίους	no_match_in_morph_dict
urn:cts:greekLit:tlg0016.tlg001.grc:1.6.token.80	Κροίσου	Κροίσου	no_match_in_morph_dict
urn:cts:greekLit:tlg0016.tlg001.grc:1.6.token.97	Κροίσου	Κροίσου	no_match_in_morph_dict
urn:cts:greekLit:tlg0016.tlg001.grc:1.7.token.14	Κροίσου	Κροίσου	no_match_in_morph_dict
urn:cts:greekLit:tlg0016.tlg001.grc:1.7.token.18	Μερμνάδας	Μερμνάδας	no_match_in_morph_dict
urn:cts:greekLit:tlg0016.tlg001.grc:1.7.token.26	Μυρσίλον	Μυρσίλον	no_match_in_morph_dict
urn:cts:greekLit:tlg0016.tlg001.grc:1.7.token.38	Ἄγρων	Ἄγρων	no_match_in_morph_dict
