Αἰακιδέων	*ai)aki/dhs	none-found	n-p---mg-
Αἰακοῦ	*ai)ako/s	none-found	n-s---mg-
Αἰακίδας	*ai)aki/dhs	none-found	n-p---ma-
Αἰακίδας	*ai)aki/dhs	none-found	n-s---mn-
Αἰακόν	*ai)ako/s	none-found	n-s---ma-
Αἰακῷ	*ai)ako/s	none-found	n-s---md-
Αἰγαί	*ai)gai/	none-found	n-p---fn-
Αἰγαί	*ai)gai/	none-found	n-p---fv-
Αἰγεύς	*ai)geu/s	none-found	n-s---mn-
Αἰγεῖδαι	*ai)gei/dhs	none-found	n-p---mn-
Αἰγεῖδαι	*ai)gei/dhs	none-found	n-p---mv-
Αἰγικόρεος	*ai)giko/ras	none-found	n-s---mg-
Αἰγιναίη	*ai)ginai/h	none-found	n-s---fn-
Αἰγιναίη	*ai)ginai/h	none-found	n-s---fv-
Αἰγιναίην	*ai)ginai/h	none-found	n-s---fa-
Αἰγιναῖαι	*ai)ginai/h	none-found	n-p---fn-
Αἰγιναῖαι	*ai)ginai/h	none-found	n-p---fv-
Αἰγινητέων	*ai)ginh/ths	none-found	n-p---mg-
Αἰγινήτας	*ai)ginh/ths	none-found	n-p---ma-
Αἰγινήτας	*ai)ginh/ths	none-found	n-s---mn-
Αἰγινήτεω	*ai)ginh/ths	none-found	n-s---mg-
Αἰγινήτην	*ai)ginh/ths	none-found	n-s---ma-
Αἰγινήτης	*ai)ginh/ths	none-found	n-s---mn-
Αἰγινήτῃσι	*ai)ginh/ths	none-found	n-p---md-
Αἰγινῆτα	*ai)ginh/ths	none-found	n-s---mv-
Αἰγινῆτα	*ai)ginh/ths	none-found	n-s---mn-
Αἰγινῆται	*ai)ginh/ths	none-found	n-p---mn-
Αἰγινῆται	*ai)ginh/ths	none-found	n-p---mv-
Αἰγινῆταί	*ai)ginh/ths	none-found	n-p---mn-
Αἰγινῆταί	*ai)ginh/ths	none-found	n-p---mv-
Αἰγιρόεσσα	*ai)giro/essa	none-found	n-s---fn-
Αἰγιρόεσσα	*ai)giro/essa	none-found	n-s---fv-
Αἰγυπτιέων	ai)gupti/a	none-found	n-p---fg-
Αἰγυπτίη	ai)gupti/a	none-found	n-s---fn-
Αἰγυπτίη	ai)gupti/a	none-found	n-s---fv-
Αἰγυπτίης	ai)gupti/a	none-found	n-s---fg-
Αἰγυπτίῃσι	ai)gupti/a	none-found	n-p---fd-
Αἰγάλεως	*ai)ga/leus	none-found	n-s---mg-
Αἰγέος	*ai)geu/s	none-found	n-s---mg-
Αἰγίλια	*ai)gili/a	none-found	n-s---fn-
Αἰγίλια	*ai)gili/a	none-found	n-s---fv-
Αἰγύπτιαι	ai)gupti/a	none-found	n-p---fn-
Αἰγύπτιαι	ai)gupti/a	none-found	n-p---fv-
Αἰγῆς	*ai)geu/s	none-found	n-p---mn-
Αἰγῆς	*ai)geu/s	none-found	n-p---mn-
Αἰγῆς	*ai)geu/s	none-found	n-p---mv-
Αἰθιοπίδα	*ai)qiopi/s	none-found	n-s---fa-
Αἰθιοπίη	*ai)qio/pios	none-found	a-s---fn-
Αἰθιοπίη	*ai)qio/pios	none-found	a-s---fv-
Αἰθιοπίη	*ai)qiopi/a	none-found	n-s---fn-
Αἰθιοπίη	*ai)qiopi/a	none-found	n-s---fv-
Αἰθιοπίην	*ai)qio/pios	none-found	a-s---fa-
Αἰθιοπίην	*ai)qiopi/a	none-found	n-s---fa-
Αἰθιοπίης	*ai)qio/pios	none-found	a-s---fg-
Αἰθιοπίης	*ai)qiopi/a	none-found	n-s---fg-
Αἰθιοπίῃ	*ai)qio/pios	none-found	a-s---fd-
Αἰθιοπίῃ	*ai)qiopi/a	none-found	n-s---fd-
Αἰνησιδήμου	*ai)nhsi/dhmos	none-found	n-s---mg-
Αἰολίδα	*ai)oli/dhs	none-found	n-s---mv-
Αἰολίδα	*ai)oli/dhs	none-found	n-s---mg-
Αἰολίδα	*ai)oli/dhs	none-found	n-s---mn-
Αἰολίδα	*ai)oli/s	none-found	n-s---fa-
Αἰολίδες	*ai)oli/s	none-found	n-p---fn-
Αἰολίδες	*ai)oli/s	none-found	n-p---fv-
Αἰολίδος	*ai)oli/s	none-found	n-s---fg-
Αἰσανίου	*ai)sa/nios	none-found	n-s---mg-
Αἰσχραίου	*ai)/sxraios	none-found	n-s---mg-
Αἰσχριωνίης	*ai)sxriw/nios	none-found	a-s---fg-
Αἰσχίνης	*ai)sxi/nhs	none-found	n-s---mn-
Αἰσχίνῃ	*ai)sxi/nhs	none-found	n-s---md-
Αἰσχύλος	*ai)sxu/los	none-found	n-s---mn-
Αἰσώπου	*ai)/swpos	none-found	n-s---mg-
Αἰτωλοί	*ai)twlo/s	none-found	a-p---mn-
Αἰτωλοί	*ai)twlo/s	none-found	a-p---mv-
Αἰτωλοί	*ai)twloi/	none-found	n-p---mn-
Αἰτωλοί	*ai)twloi/	none-found	n-p---mv-
Αἰτωλίδος	*ai)twli/s	none-found	n-s---fg-
Αἰτωλός	*ai)twlo/s	none-found	a-s---mn-
Αἰτωλῶν	*ai)twlo/s	none-found	a-p---fg-
Αἰτωλῶν	*ai)twlo/s	none-found	a-p---mg-
Αἰτωλῶν	*ai)twlo/s	none-found	a-p---ng-
Αἰτωλῶν	*ai)twloi/	none-found	n-p---mg-
Αἰάκεα	*ai)a/khs	none-found	n-s---ma-
Αἰάκεος	*ai)a/khs	none-found	n-s---mg-
Αἰάκεϊ	*ai)a/khs	none-found	n-d---mn-
Αἰάκεϊ	*ai)a/khs	none-found	n-d---mv-
Αἰάκεϊ	*ai)a/khs	none-found	n-d---ma-
Αἰάκεϊ	*ai)a/khs	none-found	n-s---md-
Αἰάκεϊ	*ai)a/khs	none-found	n-s---md-
Αἰάκης	*ai)a/khs	none-found	n-p---ma-
Αἰάκης	*ai)a/khs	none-found	n-p---mn-
Αἰάκης	*ai)a/khs	none-found	n-p---mv-
Αἰάκης	*ai)a/khs	none-found	n-s---mn-
Αἴγειρα	*ai)/geira	none-found	n-s---fn-
Αἴγειρα	*ai)/geira	none-found	n-s---fv-
Αἴγιον	*ai)/gion	none-found	n-s---nn-
Αἴγιον	*ai)/gion	none-found	n-s---nv-
Αἴγιον	*ai)/gion	none-found	n-s---na-
Αἴγιον	*ai)/gios	none-found	n-s---ma-
Αἴνεια	*ai)neia/des	none-found	n-s---fv-
Αἴσωπος	*ai)/swpos	none-found	n-s---mn-
Αὐσχισέων	*au)sxi/sai	none-found	n-p---mg-
Αὐσχίσαι	*au)sxi/sai	none-found	n-p---mn-
Αὐσχίσαι	*au)sxi/sai	none-found	n-p---mv-
Αὐσέες	*au)se/as	none-found	n-s---mv-
Αὐσέων	*au)/sa	none-found	n-p---fg-
Αὐτεσίωνος	*au)tesi/wn	none-found	n-s---mg-
Αὐχάται	*au)xa/tai	none-found	n-p---mn-
Αὐχάται	*au)xa/tai	none-found	n-p---mv-
Αὔγιλα	*au)/gila	none-found	n-s---fn-
Αὔγιλα	*au)/gila	none-found	n-s---fv-
Αὔγιλά	*au)/gila	none-found	n-s---fn-
Αὔγιλά	*au)/gila	none-found	n-s---fv-
Αὔρας	*au)/ras	none-found	n-p---ma-
Αὔρας	*au)/ras	none-found	n-s---mn-
Βαβυλωνίη	*babulw/nios	none-found	a-s---fn-
Βαβυλωνίη	*babulw/nios	none-found	a-s---fv-
Βαβυλωνίην	*babulw/nios	none-found	a-s---fa-
Βαβυλωνίης	*babulw/nios	none-found	a-s---fg-
Βαβυλωνίοισι	*babulw/nios	none-found	a-p---md-
Βαβυλωνίοισι	*babulw/nios	none-found	a-p---nd-
Βαβυλωνίου	*babulw/nios	none-found	a-s---mg-
Βαβυλωνίου	*babulw/nios	none-found	a-s---ng-
Βαβυλωνίους	*babulw/nios	none-found	a-p---ma-
Βαβυλωνίων	*babulw/nios	none-found	a-p---fg-
Βαβυλωνίων	*babulw/nios	none-found	a-p---mg-
Βαβυλωνίων	*babulw/nios	none-found	a-p---ng-
Βαβυλωνίῃ	*babulw/nios	none-found	a-s---fd-
Βαβυλώνιοι	*babulw/nios	none-found	a-p---mn-
Βαβυλώνιοι	*babulw/nios	none-found	a-p---mv-
Βαβυλώνιον	*babulw/nios	none-found	a-s---ma-
Βαβυλώνιον	*babulw/nios	none-found	a-s---nn-
Βαβυλώνιον	*babulw/nios	none-found	a-s---nv-
Βαβυλώνιον	*babulw/nios	none-found	a-s---na-
Βαβυλώνιος	*babulw/nios	none-found	a-s---mn-
Βακτριανῶν	*baktrianh/s	none-found	n-p---mg-
Βακτριανῶν	*baktriano/s	none-found	a-p---fg-
Βακτριανῶν	*baktriano/s	none-found	a-p---mg-
Βακτριανῶν	*baktriano/s	none-found	a-p---ng-
Βακτρίης	*ba/ktrios	none-found	a-s---fg-
Βακτρίοισι	*ba/ktrios	none-found	a-p---md-
Βακτρίοισι	*ba/ktrios	none-found	a-p---nd-
Βακτρίοισι	*baktri/on	none-found	n-p---nd-
Βακτρίους	*ba/ktrios	none-found	a-p---ma-
Βακτρίων	*ba/ktrios	none-found	a-p---fg-
Βακτρίων	*ba/ktrios	none-found	a-p---mg-
