form	token_urn	expanded_form	presentation_form
Βάττ’	urn:cts:greekLit:tlg0016.tlg001.grc:4.155.token120		Βάττ’
Δι’	urn:cts:greekLit:tlg0016.tlg001.grc:2.47.token101		Δι’
Δι’	urn:cts:greekLit:tlg0016.tlg001.grc:2.48.token85		Δι’
Δί’	urn:cts:greekLit:tlg0016.tlg001.grc:7.141.token104	Δία	Δία
Κατ’	urn:cts:greekLit:tlg0016.tlg001.grc:1.84.token207		Κατ’
Μετ’	urn:cts:greekLit:tlg0016.tlg001.grc:7.9a.token1		Μετ’
Οὐδ’	urn:cts:greekLit:tlg0016.tlg001.grc:3.34.token120		Οὐδ’
Οὐδ’	urn:cts:greekLit:tlg0016.tlg001.grc:4.45.token31		Οὐδ’
Οὐδ’	urn:cts:greekLit:tlg0016.tlg001.grc:9.8.token55		Οὐδ’
Ταῦτ’	urn:cts:greekLit:tlg0016.tlg001.grc:2.92.token74		Ταῦτ’
Ταῦτ’	urn:cts:greekLit:tlg0016.tlg001.grc:7.130.token57		Ταῦτ’
Τότ’	urn:cts:greekLit:tlg0016.tlg001.grc:8.77.token76		Τότ’
βούλοιτ’	urn:cts:greekLit:tlg0016.tlg001.grc:4.143.token66		βούλοιτ’
γενοίατ’	urn:cts:greekLit:tlg0016.tlg001.grc:7.103.token194		γενοίατ’
γένοιτ’	urn:cts:greekLit:tlg0016.tlg001.grc:8.101.token99		γένοιτ’
γίνοιτ’	urn:cts:greekLit:tlg0016.tlg001.grc:2.16.token107		γίνοιτ’
γίνοιτ’	urn:cts:greekLit:tlg0016.tlg001.grc:6.108.token81		γίνοιτ’
γ’	urn:cts:greekLit:tlg0016.tlg001.grc:1.174.token215	γε	γε
γ’	urn:cts:greekLit:tlg0016.tlg001.grc:7.141.token157	γε	γε
δεξαίατ’	urn:cts:greekLit:tlg0016.tlg001.grc:3.38.token155		δεξαίατ’
δι’	urn:cts:greekLit:tlg0016.tlg001.grc:1.0.token40	διά	διά
δι’	urn:cts:greekLit:tlg0016.tlg001.grc:1.3.token17	διά	διά
δι’	urn:cts:greekLit:tlg0016.tlg001.grc:1.22.token63	διά	διά
δι’	urn:cts:greekLit:tlg0016.tlg001.grc:1.51.token176	διά	διά
δι’	urn:cts:greekLit:tlg0016.tlg001.grc:1.69.token94	διά	διά
δι’	urn:cts:greekLit:tlg0016.tlg001.grc:1.70.token60	διά	διά
δι’	urn:cts:greekLit:tlg0016.tlg001.grc:1.75.token12	διά	διά
δι’	urn:cts:greekLit:tlg0016.tlg001.grc:1.97.token47	διά	διά
δι’	urn:cts:greekLit:tlg0016.tlg001.grc:1.99.token42	διά	διά
δι’	urn:cts:greekLit:tlg0016.tlg001.grc:1.109.token129	διά	διά
δι’	urn:cts:greekLit:tlg0016.tlg001.grc:1.117.token194	διά	διά
δι’	urn:cts:greekLit:tlg0016.tlg001.grc:1.121.token22	διά	διά
δι’	urn:cts:greekLit:tlg0016.tlg001.grc:1.129.token102	διά	διά
δι’	urn:cts:greekLit:tlg0016.tlg001.grc:1.141.token122	διά	διά
δι’	urn:cts:greekLit:tlg0016.tlg001.grc:1.199.token97	διά	διά
δι’	urn:cts:greekLit:tlg0016.tlg001.grc:1.206.token61	διά	διά
δι’	urn:cts:greekLit:tlg0016.tlg001.grc:2.10.token121	διά	διά
δι’	urn:cts:greekLit:tlg0016.tlg001.grc:2.22.token145	διά	διά
δι’	urn:cts:greekLit:tlg0016.tlg001.grc:2.22.token179	διά	διά
δι’	urn:cts:greekLit:tlg0016.tlg001.grc:2.24.token16	διά	διά
δι’	urn:cts:greekLit:tlg0016.tlg001.grc:2.29.token189	διά	διά
δι’	urn:cts:greekLit:tlg0016.tlg001.grc:2.30.token67	διά	διά
