form	token_urn	expanded_form	presentation_form
Δημοφόωνθ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:234.token1		Δημοφόωνθ’
Δήμητρ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:1.token1		Δήμητρ’
Δήμητρ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:315.token1		Δήμητρ’
αἶψ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:299.token4		αἶψ’
αὐτίκ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:145.token7		αὐτίκ’
αὐτίκ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:411.token1		αὐτίκ’
αὖτ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:137.token7		αὖτ’
βάλετ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:42.token6		βάλετ’
γαῖ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:134.token4		γαῖ’
γαῖ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:401.token4		γαῖ’
γούνατ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:281.token9		γούνατ’
γ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:96.token2	γε	γε
γ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:122.token3	γε	γε
γ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:166.token3	γε	γε
γ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:195.token2	γε	γε
γ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:202.token2	γε	γε
γ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:296.token3	γε	γε
γ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:332.token2	γε	γε
γ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:334.token4	γε	γε
γ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:371.token9	γε	γε
γ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:388.token6	γε	γε
γ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:451.token6	γε	γε
δείσασ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:246.token1		δείσασ’
δεῦρ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:133.token2	δεῦρο	δεῦρο
δι’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:67.token5	διά	διά
δι’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:130.token4	διά	διά
δι’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:185.token3	διά	διά
δώμαθ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:138.token8		δώμαθ’
δώμαθ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:184.token3		δώμαθ’
δώματ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:135.token6		δώματ’
δώματ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:163.token5		δώματ’
δώματ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:312.token5		δώματ’
δ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:15.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:19.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:20.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:30.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:35.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:38.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:39.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:43.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:44.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:58.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:59.token7	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:62.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:63.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:74.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:80.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:88.token7	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:90.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:98.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:112.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:118.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:120.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:124.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:130.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:137.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:145.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:160.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:169.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:174.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:179.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:181.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:188.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:190.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:196.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg002.fucex.tok:198.token2	δέ	δέ
