form	token_urn	expanded_form	presentation_form
Πύλονδ’	urn:cts:greekLit:tlg0013.tlg004.fucex:342.token.2		Πύλονδ’
αἰνότερ’	urn:cts:greekLit:tlg0013.tlg004.fucex:226.token.8		αἰνότερ’
αἰῶν’	urn:cts:greekLit:tlg0013.tlg004.fucex:42.token.1		αἰῶν’
αἶψ’	urn:cts:greekLit:tlg0013.tlg004.fucex:135.token.8		αἶψ’
αἶψ’	urn:cts:greekLit:tlg0013.tlg004.fucex:142.token.3		αἶψ’
αὖθ’	urn:cts:greekLit:tlg0013.tlg004.fucex:303.token.6		αὖθ’
αὖθ’	urn:cts:greekLit:tlg0013.tlg004.fucex:366.token.3		αὖθ’
αὖθ’	urn:cts:greekLit:tlg0013.tlg004.fucex:511.token.3		αὖθ’
αὖτ’	urn:cts:greekLit:tlg0013.tlg004.fucex:304.token.6		αὖτ’
αὖτ’	urn:cts:greekLit:tlg0013.tlg004.fucex:394.token.3		αὖτ’
αὖτ’	urn:cts:greekLit:tlg0013.tlg004.fucex:491.token.3		αὖτ’
βήματ’	urn:cts:greekLit:tlg0013.tlg004.fucex:345.token.2		βήματ’
γηρύετ’	urn:cts:greekLit:tlg0013.tlg004.fucex:426.token.1		γηρύετ’
γένετ’	urn:cts:greekLit:tlg0013.tlg004.fucex:353.token.2		γένετ’
γ’	urn:cts:greekLit:tlg0013.tlg004.fucex:22.token.3	γε	γε
γ’	urn:cts:greekLit:tlg0013.tlg004.fucex:220.token.4	γε	γε
γ’	urn:cts:greekLit:tlg0013.tlg004.fucex:440.token.3	γε	γε
γ’	urn:cts:greekLit:tlg0013.tlg004.fucex:538.token.2	γε	γε
γ’	urn:cts:greekLit:tlg0013.tlg004.fucex:568b.token.8	γε	γε
διοισόμεθ’	urn:cts:greekLit:tlg0013.tlg004.fucex:255.token.6		διοισόμεθ’
δι’	urn:cts:greekLit:tlg0013.tlg004.fucex:88.token.3	διά	διά
δι’	urn:cts:greekLit:tlg0013.tlg004.fucex:119.token.4	διά	διά
δι’	urn:cts:greekLit:tlg0013.tlg004.fucex:231.token.4	διά	διά
δι’	urn:cts:greekLit:tlg0013.tlg004.fucex:563.token.4	διά	διά
δι’	urn:cts:greekLit:tlg0013.tlg004.fucex:578.token.2	διά	διά
δώματ’	urn:cts:greekLit:tlg0013.tlg004.fucex:445.token.7		δώματ’
δ’	urn:cts:greekLit:tlg0013.tlg004.fucex:11.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg004.fucex:28.token.6	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg004.fucex:43.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg004.fucex:47.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg004.fucex:53.token.7	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg004.fucex:54.token.5	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg004.fucex:64.token.5	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg004.fucex:75.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg004.fucex:76.token.5	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg004.fucex:78.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg004.fucex:78.token.7	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg004.fucex:79.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg004.fucex:95.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg004.fucex:97.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg004.fucex:98.token.5	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg004.fucex:103.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg004.fucex:108.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg004.fucex:108.token.8	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg004.fucex:116.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg004.fucex:118.token.2	δέ	δέ
