form	token_urn	expanded_form	presentation_form
αἵτ’	urn:cts:greekLit:tlg0013.tlg005.fucex:97.token5		αἵτ’
αὖτ’	urn:cts:greekLit:tlg0013.tlg005.fucex:231.token3		αὖτ’
βάλ’	urn:cts:greekLit:tlg0013.tlg005.fucex:73.token5		βάλ’
γ’	urn:cts:greekLit:tlg0013.tlg005.fucex:60.token3	γε	γε
γ’	urn:cts:greekLit:tlg0013.tlg005.fucex:128.token11	γε	γε
γ’	urn:cts:greekLit:tlg0013.tlg005.fucex:215.token5	γε	γε
δεῦρ’	urn:cts:greekLit:tlg0013.tlg005.fucex:95.token5	δεῦρο	δεῦρο
δι’	urn:cts:greekLit:tlg0013.tlg005.fucex:69.token5	διά	διά
δέρματ’	urn:cts:greekLit:tlg0013.tlg005.fucex:159.token2		δέρματ’
δύνατ’	urn:cts:greekLit:tlg0013.tlg005.fucex:234.token5		δύνατ’
δώμαθ’	urn:cts:greekLit:tlg0013.tlg005.fucex:92.token10		δώμαθ’
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:6.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:7.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:23.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:31.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:34.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:42.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:43.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:53.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:58.token3	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:64.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:68.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:69.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:72.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:73.token9	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:75.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:76.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:78.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:81.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:84.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:87.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:88.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:91.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:100.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:102.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:104.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:107.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:111.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:113.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:120.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:122.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:123.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:127.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:137.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:144.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:146.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:148.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:155.token7	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:161.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:166.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:168.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:172.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:180.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:183.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:186.token7	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:191.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:196.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:217.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:218.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:220.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:225.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:230.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:231.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:236.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:237.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:255.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:264.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:268.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:271.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:271.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:276.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:280.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:290.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0013.tlg005.fucex:293.token2	δέ	δέ
εἰποῦσ’	urn:cts:greekLit:tlg0013.tlg005.fucex:291.token2		εἰποῦσ’
εὖτ’	urn:cts:greekLit:tlg0013.tlg005.fucex:38.token5		εὖτ’
ζῶντ’	urn:cts:greekLit:tlg0013.tlg005.fucex:188.token3		ζῶντ’
θ’	urn:cts:greekLit:tlg0013.tlg005.fucex:139.token9	τε	τε
θ’	urn:cts:greekLit:tlg0013.tlg005.fucex:163.token4	τε	τε
θ’	urn:cts:greekLit:tlg0013.tlg005.fucex:272.token3	τε	τε
κατ’	urn:cts:greekLit:tlg0013.tlg005.fucex:30.token5	κατά	κατά
κατ’	urn:cts:greekLit:tlg0013.tlg005.fucex:156.token3	κατά	κατά
κάλ’	urn:cts:greekLit:tlg0013.tlg005.fucex:181.token8		κάλ’
κέδν’	urn:cts:greekLit:tlg0013.tlg005.fucex:44.token4		κέδν’
κέδν’	urn:cts:greekLit:tlg0013.tlg005.fucex:134.token7		κέδν’
μαλ’	urn:cts:greekLit:tlg0013.tlg005.fucex:25.token3		μαλ’
μετ’	urn:cts:greekLit:tlg0013.tlg005.fucex:69.token10	μετά	μετά
μετ’	urn:cts:greekLit:tlg0013.tlg005.fucex:253.token2	μετά	μετά
μετ’	urn:cts:greekLit:tlg0013.tlg005.fucex:261.token3	μετά	μετά
μηδ’	urn:cts:greekLit:tlg0013.tlg005.fucex:47.token1	μηδέ	μηδέ
μηδ’	urn:cts:greekLit:tlg0013.tlg005.fucex:290.token2	μηδέ	μηδέ
μάλ’	urn:cts:greekLit:tlg0013.tlg005.fucex:180.token8	μάλα	μάλα
μέγ’	urn:cts:greekLit:tlg0013.tlg005.fucex:247.token3		μέγ’
μίσγοντ’	urn:cts:greekLit:tlg0013.tlg005.fucex:263.token1		μίσγοντ’
μ’	urn:cts:greekLit:tlg0013.tlg005.fucex:109.token8	με	με
μ’	urn:cts:greekLit:tlg0013.tlg005.fucex:117.token3	με	με
μ’	urn:cts:greekLit:tlg0013.tlg005.fucex:121.token2	με	με
μ’	urn:cts:greekLit:tlg0013.tlg005.fucex:133.token2	με	με
