frequency	elided_form	expanded_form	presentation_form	turns
63	δ’	δέ	δέ	urn:cts:greekLit:tlg0013.tlg005.fucex:6.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:7.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:23.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:31.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:34.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:42.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:43.token6,urn:cts:greekLit:tlg0013.tlg005.fucex:53.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:58.token3,urn:cts:greekLit:tlg0013.tlg005.fucex:64.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:68.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:69.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:72.token4,urn:cts:greekLit:tlg0013.tlg005.fucex:73.token9,urn:cts:greekLit:tlg0013.tlg005.fucex:75.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:76.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:78.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:81.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:84.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:87.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:88.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:91.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:100.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:102.token5,urn:cts:greekLit:tlg0013.tlg005.fucex:104.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:107.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:111.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:113.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:120.token4,urn:cts:greekLit:tlg0013.tlg005.fucex:122.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:123.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:127.token5,urn:cts:greekLit:tlg0013.tlg005.fucex:137.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:144.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:146.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:148.token4,urn:cts:greekLit:tlg0013.tlg005.fucex:155.token7,urn:cts:greekLit:tlg0013.tlg005.fucex:161.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:166.token4,urn:cts:greekLit:tlg0013.tlg005.fucex:168.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:172.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:180.token5,urn:cts:greekLit:tlg0013.tlg005.fucex:183.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:186.token7,urn:cts:greekLit:tlg0013.tlg005.fucex:191.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:196.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:217.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:218.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:220.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:225.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:230.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:231.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:236.token6,urn:cts:greekLit:tlg0013.tlg005.fucex:237.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:255.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:264.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:268.token4,urn:cts:greekLit:tlg0013.tlg005.fucex:271.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:271.token6,urn:cts:greekLit:tlg0013.tlg005.fucex:276.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:280.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:290.token6,urn:cts:greekLit:tlg0013.tlg005.fucex:293.token2
19	τ’	τε	τε	urn:cts:greekLit:tlg0013.tlg005.fucex:3.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:8.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:19.token6,urn:cts:greekLit:tlg0013.tlg005.fucex:37.token3,urn:cts:greekLit:tlg0013.tlg005.fucex:37.token6,urn:cts:greekLit:tlg0013.tlg005.fucex:138.token3,urn:cts:greekLit:tlg0013.tlg005.fucex:144.token6,urn:cts:greekLit:tlg0013.tlg005.fucex:144.token9,urn:cts:greekLit:tlg0013.tlg005.fucex:145.token5,urn:cts:greekLit:tlg0013.tlg005.fucex:175.token4,urn:cts:greekLit:tlg0013.tlg005.fucex:176.token3,urn:cts:greekLit:tlg0013.tlg005.fucex:176.token6,urn:cts:greekLit:tlg0013.tlg005.fucex:176.token9,urn:cts:greekLit:tlg0013.tlg005.fucex:211.token5,urn:cts:greekLit:tlg0013.tlg005.fucex:221.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:224.token4,urn:cts:greekLit:tlg0013.tlg005.fucex:232.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:240.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:245.token4
6	μ’	με	με	urn:cts:greekLit:tlg0013.tlg005.fucex:109.token8,urn:cts:greekLit:tlg0013.tlg005.fucex:117.token3,urn:cts:greekLit:tlg0013.tlg005.fucex:121.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:133.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:198.token9,urn:cts:greekLit:tlg0013.tlg005.fucex:243.token4
6	οὐδ’	οὐδέ	οὐδέ	urn:cts:greekLit:tlg0013.tlg005.fucex:7.token7,urn:cts:greekLit:tlg0013.tlg005.fucex:33.token6,urn:cts:greekLit:tlg0013.tlg005.fucex:151.token4,urn:cts:greekLit:tlg0013.tlg005.fucex:195.token1,urn:cts:greekLit:tlg0013.tlg005.fucex:223.token3,urn:cts:greekLit:tlg0013.tlg005.fucex:234.token6
6	ἀλλ’	ἀλλά	ἀλλά	urn:cts:greekLit:tlg0013.tlg005.fucex:10.token1,urn:cts:greekLit:tlg0013.tlg005.fucex:136.token7,urn:cts:greekLit:tlg0013.tlg005.fucex:189.token3,urn:cts:greekLit:tlg0013.tlg005.fucex:233.token1,urn:cts:greekLit:tlg0013.tlg005.fucex:241.token1,urn:cts:greekLit:tlg0013.tlg005.fucex:269.token1
3	μετ’	μετά	μετά	urn:cts:greekLit:tlg0013.tlg005.fucex:69.token10,urn:cts:greekLit:tlg0013.tlg005.fucex:253.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:261.token3
3	ἀπ’	ἀπό	ἀπό	urn:cts:greekLit:tlg0013.tlg005.fucex:76.token7,urn:cts:greekLit:tlg0013.tlg005.fucex:79.token8,urn:cts:greekLit:tlg0013.tlg005.fucex:152.token2
3	ἔργ’		ἔργ’	urn:cts:greekLit:tlg0013.tlg005.fucex:11.token7,urn:cts:greekLit:tlg0013.tlg005.fucex:15.token2,urn:cts:greekLit:tlg0013.tlg005.fucex:21.token6
3	γ’	γε	γε	urn:cts:greekLit:tlg0013.tlg005.fucex:60.token3,urn:cts:greekLit:tlg0013.tlg005.fucex:128.token11,urn:cts:greekLit:tlg0013.tlg005.fucex:215.token5
3	θ’	τε	τε	urn:cts:greekLit:tlg0013.tlg005.fucex:139.token9,urn:cts:greekLit:tlg0013.tlg005.fucex:163.token4,urn:cts:greekLit:tlg0013.tlg005.fucex:272.token3
