token_urn	surface_form	normalized_form	reason
	!cexversion	!cexversion	no_match_in_morph_dict
	!citelibrary	!citelibrary	no_match_in_morph_dict
name	CEX Library created by CEXWriter	CEX Library created by CEXWriter	no_match_in_morph_dict
urn	urn:cite2:cex:TEMPCOLL.TEMPVERSION:TEMP_ID	urn:cite2:cex:TEMPCOLL.TEMPVERSION:TEMP_ID	no_match_in_morph_dict
license	Public Domain.	Public Domain.	no_match_in_morph_dict
	!ctscatalog	!ctscatalog	no_match_in_morph_dict
urn	citationScheme	citationScheme	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen.token:	line/speech/speaker/token,line/speech/text/token	line/speech/speaker/token,line/speech/text/token	no_match_in_morph_dict
urn	citationScheme	citationScheme	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:	Plaintext	Plaintext	no_match_in_morph_dict
	!ctsdata	!ctsdata	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.1.token4	Πηληϊάδεω	Πηληϊάδεω	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.11.token3	Χρύσην	Χρύσην	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.16.token3	μάλιστα	μάλιστα	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.37.token6	Χρύσην	Χρύσην	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.38.token1	Κίλλάν	Κίλλάν	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.56.token7	θνήσκοντας	θνήσκοντας	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.69.token2	Θεστορίδης	Θεστορίδης	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.100.token2	Χρύσην	Χρύσην	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.111.token4	Χρυσηΐδος	Χρυσηΐδος	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.113.token7	Κλυταιμνήστρης	Κλυταιμνήστρης	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.126.token4	ἐπέοικε	ἐπέοικε	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.143.token6	Χρυσηΐδα	Χρυσηΐδα	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.145.token4	Ἰδομενεὺς	Ἰδομενεύς	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.160.token7	μετατρέπῃ	μετατρέπῃ	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.175.token6	μάλιστα	μάλιστα	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.180.token1	Μυρμιδόνεσσιν	Μυρμιδόνεσσιν	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.182.token4	Χρυσηΐδα	Χρυσηΐδα	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.184.token7	Βρισηΐδα	Βρισηΐδα	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.219.token6	σχέθε	σχέθε	no_match_in_morph_dict
