token_urn	surface_form	normalized_form	reason
	!cexversion	!cexversion	no_match_in_morph_dict
	!citelibrary	!citelibrary	no_match_in_morph_dict
name	CEX Library created by CEXWriter	CEX Library created by CEXWriter	no_match_in_morph_dict
urn	urn:cite2:cex:TEMPCOLL.TEMPVERSION:TEMP_ID	urn:cite2:cex:TEMPCOLL.TEMPVERSION:TEMP_ID	no_match_in_morph_dict
license	Public Domain.	Public Domain.	no_match_in_morph_dict
	!ctscatalog	!ctscatalog	no_match_in_morph_dict
urn	citationScheme	citationScheme	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen.token:	line/speech/speaker/token,line/speech/text/token	line/speech/speaker/token,line/speech/text/token	no_match_in_morph_dict
urn	citationScheme	citationScheme	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:	Plaintext	Plaintext	no_match_in_morph_dict
	!ctsdata	!ctsdata	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.1.token.4	Πηληϊάδεω	Πηληϊάδεω	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.11.token.3	Χρύσην	Χρύσην	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.16.token.3	μάλιστα	μάλιστα	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.37.token.6	Χρύσην	Χρύσην	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.38.token.1	Κίλλάν	Κίλλάν	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.56.token.7	θνήσκοντας	θνήσκοντας	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.69.token.2	Θεστορίδης	Θεστορίδης	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.100.token.2	Χρύσην	Χρύσην	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.111.token.4	Χρυσηΐδος	Χρυσηΐδος	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.113.token.7	Κλυταιμνήστρης	Κλυταιμνήστρης	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.126.token.4	ἐπέοικε	ἐπέοικε	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.143.token.6	Χρυσηΐδα	Χρυσηΐδα	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.145.token.4	Ἰδομενεὺς	Ἰδομενεύς	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.160.token.7	μετατρέπῃ	μετατρέπῃ	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.175.token.6	μάλιστα	μάλιστα	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.180.token.1	Μυρμιδόνεσσιν	Μυρμιδόνεσσιν	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.182.token.4	Χρυσηΐδα	Χρυσηΐδα	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.184.token.7	Βρισηΐδα	Βρισηΐδα	no_match_in_morph_dict
urn:cts:greekLit:tlg0012.tlg001.allen:1.219.token.6	σχέθε	σχέθε	no_match_in_morph_dict
