Σώστρατος	*sw/stratos	none-found	n-s---mn-
βοᾷ	boei/h	none-found	n-s---fd-
διῃτώμην	dia/-diaita/w	none-found	v1siie---
δοκῶ	doko/n	none-found	n-s---ng-
κακῶν	kaka/zw	none-found	v-sfpamv-
κακῶν	kaka/zw	none-found	v-sfpann-
κακῶν	kaka/zw	none-found	v-sfpanv-
κακῶν	kaka/zw	none-found	v-sfpana-
κακῶν	kaka/zw	none-found	v-sfpamn-
καίτοι	kai/toi	none-found	g--------
καίτοιγε	kai/toi	none-found	g--------
κάτω	kato/w	none-found	v2spma---
κάτω	kato/w	none-found	v3siia---
λοῦσθαι	lo/w	none-found	v--pne---
παιδίῳ	pai/dios	none-found	n-s---md-
συλλεγῆναι	su/n-le/gw	none-found	v--anp---
τεθνεῶτος	qnh/skw	none-found	v-srpamg-
τεθνεῶτος	qnh/skw	none-found	v-srpang-
τάχιστα	ta/xistos	none-found	a-p---nn-
τάχιστα	ta/xistos	none-found	a-p---nv-
τάχιστα	ta/xistos	none-found	a-p---na-
ἀκριβῶς	a)kribw=s	none-found	d--------
ἀποθανοῦσα	a)poqnh/skw	none-found	v-sapafn-
ἀποθανοῦσα	a)poqnh/skw	none-found	v-sapafv-
ἀποθάνῃ	a)poqnh/skw	none-found	v2sase---
ἀποθάνῃ	a)poqnh/skw	none-found	v3sasa---
ἀφιγμένος	a)fi/zw	none-found	v-srpemn-
ἄλλου	a)/llou	none-found	d--------
Ἀρείου	*)/areias	none-found	n-s---mg-
ἐγγυτάτω	e)ggu/tatos	none-found	a-d---mn-
ἐγγυτάτω	e)ggu/tatos	none-found	a-d---mv-
ἐγγυτάτω	e)ggu/tatos	none-found	a-d---ma-
ἐγγυτάτω	e)ggu/tatos	none-found	a-d---nn-
ἐγγυτάτω	e)ggu/tatos	none-found	a-d---nv-
ἐγγυτάτω	e)ggu/tatos	none-found	a-d---na-
ἐγγυτάτω	e)ggu/tatos	none-found	a-s---mg-
ἐγγυτάτω	e)ggu/tatos	none-found	a-s---ng-
ἐγγύτατα	e)ggu/tatos	none-found	a-p---nn-
ἐγγύτατα	e)ggu/tatos	none-found	a-p---nv-
ἐγγύτατα	e)ggu/tatos	none-found	a-p---na-
ἐκάθευδον	kata/-kaqeu/dw	none-found	v3piia---
ἐκάθευδον	kata/-kaqeu/dw	none-found	v1siia---
ἐπιδείξω	e)pidei/knumi	none-found	v1sasa---
ἐπιδείξω	e)pidei/knumi	none-found	v1sfia---
ἐπιδείξω	e)pidei/knumi	none-found	v2saim---
ἐπιδεῖξαι	e)pidei/knumi	none-found	v--ana---
ἔξω	e)/ssomai	none-found	v2saie---
ἔργον	e)/rgnumi	none-found	v-sppamv-
ἔργον	e)/rgnumi	none-found	v-sppann-
ἔργον	e)/rgnumi	none-found	v-sppanv-
ἔργον	e)/rgnumi	none-found	v-sppana-
ἔργου	e)/rgnumi	none-found	v2siie---
ἔργων	e)/rgnumi	none-found	v-sppamn-
ἔχθρα	e)/xqrh	none-found	n-d---fn-
ἔχθρα	e)/xqrh	none-found	n-d---fv-
ἔχθρα	e)/xqrh	none-found	n-d---fa-
ἔχθρα	e)/xqrh	none-found	n-s---fn-
ἔχθρα	e)/xqrh	none-found	n-s---fv-
Ἐρατοσθένει	*)eratosqe/nhs	none-found	n-d---mn-
Ἐρατοσθένει	*)eratosqe/nhs	none-found	n-d---mv-
Ἐρατοσθένει	*)eratosqe/nhs	none-found	n-d---ma-
Ἐρατοσθένει	*)eratosqe/nhs	none-found	n-s---md-
Ἐρατοσθένει	*)eratosqe/nhs	none-found	n-s---md-
Ἐρατοσθένης	*)eratosqe/nhs	none-found	n-p---ma-
Ἐρατοσθένης	*)eratosqe/nhs	none-found	n-p---mn-
Ἐρατοσθένης	*)eratosqe/nhs	none-found	n-p---mv-
Ἐρατοσθένης	*)eratosqe/nhs	none-found	n-s---mn-
Ἐρατοσθένους	*)eratosqe/nhs	none-found	n-s---mg-
ἠμφεσβήτει	a)mfi/-a)mfisbhte/w	none-found	v3siia---
ἠντεβόλει	a)nti/-a)ntibole/w	none-found	v3siia---
ἡδονῶν	h(dona/	none-found	n-p---fg-
Ὀῆθεν	*)oh=qen	none-found	d--------
