token_urn	surface_form	normalized_form	reason
	!citelibrary	!citelibrary	no_match_in_morph_dict
name	New Testament: John	New Testament: John	no_match_in_morph_dict
urn	urn:cite2:cex:fufolio.2026:nt_john	urn:cite2:cex:fufolio.2026:nt_john	no_match_in_morph_dict
license	CC Share Alike. For details, see more info.	CC Share Alike. For details, see more info.	no_match_in_morph_dict
	!ctscatalog	!ctscatalog	no_match_in_morph_dict
urn	citationScheme	citationScheme	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh.token:	line/speech/speaker/token,line/speech/text/token	line/speech/speaker/token,line/speech/text/token	no_match_in_morph_dict
urn	citationScheme	citationScheme	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:	chapter/verse	chapter/verse	no_match_in_morph_dict
	!ctsdata	!ctsdata	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.head.token2	Ἰοάννην	Ἰοάννην	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.6.token9	Ἰωάννης	Ἰωάννης	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.15.token1	Ἰωάννης	Ἰωάννης	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.17.token5	Μωϋσέως	Μωϋσέως	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.19.token7	Ἰωάννου	Ἰωάννου	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.19.token13	Ἱεροσολύμων	Ἱεροσολύμων	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.23.token17	Ἠσαΐας	Ἠσαΐας	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.24.token6	Φαρισαίων	Φαρισαίων	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.26.token4	Ἰωάννης	Ἰωάννης	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.28.token3	Βηθανίᾳ	Βηθανίᾳ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.28.token7	Ἰορδάνου	Ἰορδάνου	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.28.token12	Ἰωάννης	Ἰωάννης	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.31.token10	Ἰσραὴλ	Ἰσραήλ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.32.token3	Ἰωάννης	Ἰωάννης	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.35.token6	Ἰωάννης	Ἰωάννης	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.39.token11	εἶδαν	εἶδαν	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.40.token2	Ἀνδρέας	Ἀνδρέας	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.40.token14	Ἰωάννου	Ἰωάννου	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.41.token15	Μεσσίαν	Μεσσίαν	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.42.token18	Ἰωάννου	Ἰωάννου	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.43.token7	Γαλιλαίαν	Γαλιλαίαν	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.44.token6	Βηθσαϊδά	Βηθσαϊδά	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.44.token11	Ἀνδρέου	Ἀνδρέου	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.45.token4	Ναθαναὴλ	Ναθαναήλ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.45.token11	Μωϋσῆς	Μωϋσῆς	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.45.token23	Ἰωσὴφ	Ἰωσήφ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.45.token26	Ναζαρέτ	Ναζαρέτ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.46.token4	Ναθαναήλ	Ναθαναήλ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.46.token7	Ναζαρὲτ	Ναζαρέτ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.47.token5	Ναθαναὴλ	Ναθαναήλ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.47.token16	Ἰσραηλίτης	Ἰσραηλίτης	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.48.token3	Ναθαναήλ	Ναθαναήλ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.48.token23	συκῆν	συκῆν	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.49.token3	Ναθαναήλ	Ναθαναήλ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:1.49.token18	Ἰσραήλ	Ἰσραήλ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:2.1.token9	Κανὰ	Κανά	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:2.1.token11	Γαλιλαίας	Γαλιλαίας	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:2.11.token9	Κανὰ	Κανά	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:2.11.token11	Γαλιλαίας	Γαλιλαίας	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:2.12.token5	Καφαρναοὺμ	Καφαρναούμ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:2.13.token12	Ἱεροσόλυμα	Ἱεροσόλυμα	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:2.23.token6	Ἱεροσολύμοις	Ἱεροσολύμοις	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:3.1.token6	Φαρισαίων	Φαρισαίων	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:3.1.token8	Νικόδημος	Νικόδημος	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:3.4.token5	Νικόδημος	Νικόδημος	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:3.9.token2	Νικόδημος	Νικόδημος	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:3.10.token12	Ἰσραὴλ	Ἰσραήλ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:3.14.token3	Μωϋσῆς	Μωϋσῆς	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:3.17.token18	σωθῇ	σωθῇ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:3.23.token5	Ἰωάννης	Ἰωάννης	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:3.23.token8	Αἰνὼν	Αἰνών	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:3.23.token11	Σαλείμ	Σαλείμ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:3.24.token9	Ἰωάννης	Ἰωάννης	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:3.25.token7	Ἰωάννου	Ἰωάννου	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:3.26.token5	Ἰωάννην	Ἰωάννην	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:3.26.token18	Ἰορδάνου	Ἰορδάνου	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg004.wh:3.27.token2	Ἰωάννης	Ἰωάννης	no_match_in_morph_dict
