’	'	ἒ	e)\	x--------
’Καί	'*kai/	ἀκή	a)kh/	n-p---fn-
’Καί	'*kai/	ἀκή	a)kh/	n-p---fv-
’Κύριον	'*ku/rion	κυρέω	kure/w	v3piia---
’Κύριον	'*ku/rion	κυρέω	kure/w	v1siia---
’Σταύρου	'*stau/rou	σταυρόω	stauro/w	v3siia---
’Τί	'*ti/	ἔτι	e)/ti	d--------
’δέ	'de/	ἔδω	e)/dw	v2spma---
’δέ	'de/	ἔδω	e)/dw	v3siia---
’δέκα	'de/ka	δεκάω	deka/w	v3siia---
’καθ’	'kaq'	ἀκατίς	a)kati/s	n-s---fv-
’καλῶς	'kalw=s	ἀκαλός	a)kalo/s	x--------
’καί	'kai/	ἀκή	a)kh/	n-p---fn-
’καί	'kai/	ἀκή	a)kh/	n-p---fv-
’λέγοντες	'le/gontes	ἀλέγω	a)le/gw	v-pppamn-
’λέγοντες	'le/gontes	ἀλέγω	a)le/gw	v-pppamv-
’λέγω	'le/gw	ἀλέγω	a)le/gw	v1spsa---
’λέγω	'le/gw	ἀλέγω	a)le/gw	v1spia---
’λέγω	'le/gw	ἔλεγος	e)/legos	n-d---mn-
’λέγω	'le/gw	ἔλεγος	e)/legos	n-d---mv-
’λέγω	'le/gw	ἔλεγος	e)/legos	n-d---ma-
’λέγω	'le/gw	ἔλεγος	e)/legos	n-s---mg-
’λέγων	'le/gwn	ἀλέγω	a)le/gw	v-sppamn-
’λέγων	'le/gwn	ἔλεγος	e)/legos	n-p---mg-
’μετά	'meta/	ἐμετός	e)meto/s	a-p---nn-
’μετά	'meta/	ἐμετός	e)meto/s	a-p---nv-
’μετά	'meta/	ἐμετός	e)meto/s	a-p---na-
’μετά	'meta/	ἐμετός	e)meto/s	a-d---fn-
’μετά	'meta/	ἐμετός	e)meto/s	a-d---fv-
’μετά	'meta/	ἐμετός	e)meto/s	a-d---fa-
’μετά	'meta/	ἐμετός	e)meto/s	a-s---fn-
’μετά	'meta/	ἐμετός	e)meto/s	a-s---fv-
’μου	'mou	ἀμόω	a)mo/w	v3siia---
’μου	'mou	ἀμόω	a)mo/w	v2spma---
’μου	'mou	ἀμόω	a)mo/w	v3siia---
’μοί	'moi/	ἁμόσ1	a(mo/s1	a-p---mn-
’μοί	'moi/	ἁμόσ1	a(mo/s1	a-p---mv-
’μοί	'moi/	ἀμόω	a)mo/w	v2spse---
’μοί	'moi/	ἀμόω	a)mo/w	v2spie---
’μοί	'moi/	ἀμόω	a)mo/w	v3spsa---
’μοί	'moi/	ἐγώ	e)gw/	p-s---md-
’μοί	'moi/	ἐγώ	e)gw/	p-s---fd-
’μοί	'moi/	ἐμός	e)mo/s	a-p---mn-
