token_urn	surface_form	normalized_form	reason
	!citelibrary	!citelibrary	no_match_in_morph_dict
name	New Testament: Luke	New Testament: Luke	no_match_in_morph_dict
urn	urn:cite2:cex:fufolio.2026:nt_luke	urn:cite2:cex:fufolio.2026:nt_luke	no_match_in_morph_dict
license	CC Share Alike. For details, see more info.	CC Share Alike. For details, see more info.	no_match_in_morph_dict
	!ctscatalog	!ctscatalog	no_match_in_morph_dict
urn	citationScheme	citationScheme	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:	chapter/verse/token	chapter/verse/token	no_match_in_morph_dict
	!ctsdata	!ctsdata	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.5.token5	Ἡρῴδου	Ἡρῴδου	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.5.token12	Ζαχαρίας	Ζαχαρίας	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.5.token15	Ἀβιά	Ἀβιά	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.5.token23	Ἀαρών	Ἀαρών	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.5.token29	Ἐλισάβετ	Ἐλισάβετ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.7.token8	ʹἦν	ʹἦν	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.7.token10	Ἐλισάβετʹ	Ἐλισάβετʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.12.token3	Ζαχαρίας	Ζαχαρίας	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.13.token11	Ζαχαρία	Ζαχαρία	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.13.token23	Ἐλισάβετ	Ἐλισάβετ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.13.token33	Ἰωάννην	Ἰωάννην	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.16.token5	Ἰσραὴλ	Ἰσραήλ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.18.token3	Ζαχαρίας	Ζαχαρίας	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.19.token10	Γαβριὴλ	Γαβριήλ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.21.token7	Ζαχαρίαν	Ζαχαρίαν	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.21.token14	ʹἐν	ʹἐν	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.21.token17	αὐτόνʹ	αὐτόνʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.24.token7	Ἐλισάβετ	Ἐλισάβετ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.26.token10	Γαβριὴλ	Γαβριήλ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.26.token17	Γαλιλαίας	Γαλιλαίας	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.26.token20	Ναζαρὲθ	Ναζαρέθ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.27.token7	Ἰωσὴφ	Ἰωσήφ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.27.token10	Δαυὶδ	Δαυίδ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.27.token17	Μαριάμ	Μαριάμ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.29.token3	ʹἐπὶ	ʹἐπί	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.29.token6	διεταράχθηʹ	διεταράχθηʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.29.token9	ποταπὸς	ποταπός	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.30.token10	Μαριάμ	Μαριάμ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.31.token3	συλλήμψῃ	συλλήμψῃ	no_match_in_morph_dict
