form	token_urn	expanded_form	presentation_form
Μεθ’	urn:cts:greekLit:tlg0031.tlg001.wh:1.23.token.24		Μεθ’
δι’	urn:cts:greekLit:tlg0031.tlg001.wh:2.12.token.9	διά	διά
δι’	urn:cts:greekLit:tlg0031.tlg001.wh:7.13.token.24	διά	διά
δι’	urn:cts:greekLit:tlg0031.tlg001.wh:12.43.token.12	διά	διά
δι’	urn:cts:greekLit:tlg0031.tlg001.wh:18.7.token.18	διά	διά
δι’	urn:cts:greekLit:tlg0031.tlg001.wh:26.24.token.17	διά	διά
δι’	urn:cts:greekLit:tlg0031.tlg001.wh:27.19.token.27	διά	διά
δ’	urn:cts:greekLit:tlg0031.tlg001.wh:5.19.token.26	δέ	δέ
δ’	urn:cts:greekLit:tlg0031.tlg001.wh:5.21.token.12	δέ	δέ
δ’	urn:cts:greekLit:tlg0031.tlg001.wh:5.22.token.18	δέ	δέ
δ’	urn:cts:greekLit:tlg0031.tlg001.wh:5.22.token.32	δέ	δέ
δ’	urn:cts:greekLit:tlg0031.tlg001.wh:10.11.token.3	δέ	δέ
δ’	urn:cts:greekLit:tlg0031.tlg001.wh:12.32.token.16	δέ	δέ
δ’	urn:cts:greekLit:tlg0031.tlg001.wh:16.25.token.13	δέ	δέ
δ’	urn:cts:greekLit:tlg0031.tlg001.wh:18.6.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0031.tlg001.wh:21.44.token.13	δέ	δέ
δ’	urn:cts:greekLit:tlg0031.tlg001.wh:23.16.token.19	δέ	δέ
δ’	urn:cts:greekLit:tlg0031.tlg001.wh:23.18.token.13	δέ	δέ
δ’	urn:cts:greekLit:tlg0031.tlg001.wh:27.44.token.2	δέ	δέ
καθ’	urn:cts:greekLit:tlg0031.tlg001.wh:5.11.token.12	κατά	κατά
καθ’	urn:cts:greekLit:tlg0031.tlg001.wh:12.25.token.11	κατά	κατά
καθ’	urn:cts:greekLit:tlg0031.tlg001.wh:12.25.token.21	κατά	κατά
κατ’	urn:cts:greekLit:tlg0031.tlg001.wh:1.20.token.8	κατά	κατά
κατ’	urn:cts:greekLit:tlg0031.tlg001.wh:2.12.token.3	κατά	κατά
κατ’	urn:cts:greekLit:tlg0031.tlg001.wh:2.13.token.8	κατά	κατά
κατ’	urn:cts:greekLit:tlg0031.tlg001.wh:2.19.token.9	κατά	κατά
κατ’	urn:cts:greekLit:tlg0031.tlg001.wh:2.22.token.19	κατά	κατά
κατ’	urn:cts:greekLit:tlg0031.tlg001.wh:12.14.token.7	κατά	κατά
κατ’	urn:cts:greekLit:tlg0031.tlg001.wh:12.30.token.6	κατά	κατά
κατ’	urn:cts:greekLit:tlg0031.tlg001.wh:14.13.token.12	κατά	κατά
κατ’	urn:cts:greekLit:tlg0031.tlg001.wh:14.23.token.9	κατά	κατά
κατ’	urn:cts:greekLit:tlg0031.tlg001.wh:17.1.token.24	κατά	κατά
κατ’	urn:cts:greekLit:tlg0031.tlg001.wh:17.19.token.7	κατά	κατά
κατ’	urn:cts:greekLit:tlg0031.tlg001.wh:20.17.token.13	κατά	κατά
κατ’	urn:cts:greekLit:tlg0031.tlg001.wh:24.3.token.13	κατά	κατά
κατ’	urn:cts:greekLit:tlg0031.tlg001.wh:27.19.token.25	κατά	κατά
μεθ’	urn:cts:greekLit:tlg0031.tlg001.wh:12.45.token.5	μετά	μετά
μεθ’	urn:cts:greekLit:tlg0031.tlg001.wh:15.30.token.7	μετά	μετά
μεθ’	urn:cts:greekLit:tlg0031.tlg001.wh:17.1.token.2	μετά	μετά
μεθ’	urn:cts:greekLit:tlg0031.tlg001.wh:17.17.token.14	μετά	μετά
μεθ’	urn:cts:greekLit:tlg0031.tlg001.wh:25.3.token.12	μετά	μετά
μεθ’	urn:cts:greekLit:tlg0031.tlg001.wh:26.11.token.6	μετά	μετά
μεθ’	urn:cts:greekLit:tlg0031.tlg001.wh:26.29.token.23	μετά	μετά
μεθ’	urn:cts:greekLit:tlg0031.tlg001.wh:28.20.token.12	μετά	μετά
μετ’	urn:cts:greekLit:tlg0031.tlg001.wh:2.3.token.10	μετά	μετά
μετ’	urn:cts:greekLit:tlg0031.tlg001.wh:5.25.token.10	μετά	μετά
μετ’	urn:cts:greekLit:tlg0031.tlg001.wh:5.41.token.9	μετά	μετά
μετ’	urn:cts:greekLit:tlg0031.tlg001.wh:9.15.token.15	μετά	μετά
μετ’	urn:cts:greekLit:tlg0031.tlg001.wh:12.3.token.14	μετά	μετά
μετ’	urn:cts:greekLit:tlg0031.tlg001.wh:12.4.token.25	μετά	μετά
μετ’	urn:cts:greekLit:tlg0031.tlg001.wh:12.30.token.4	μετά	μετά
μετ’	urn:cts:greekLit:tlg0031.tlg001.wh:12.30.token.14	μετά	μετά
μετ’	urn:cts:greekLit:tlg0031.tlg001.wh:17.3.token.9	μετά	μετά
μετ’	urn:cts:greekLit:tlg0031.tlg001.wh:21.2.token.18	μετά	μετά
μετ’	urn:cts:greekLit:tlg0031.tlg001.wh:25.10.token.13	μετά	μετά
μετ’	urn:cts:greekLit:tlg0031.tlg001.wh:25.19.token.14	μετά	μετά
μετ’	urn:cts:greekLit:tlg0031.tlg001.wh:25.31.token.19	μετά	μετά
