Αἰγύπτου	*ai)gu/ptou	Αἴγυπτος	*ai)/guptos	n-s---fg-
Αἰγύπτου	*ai)gu/ptou	Αἴγυπτος	*ai)/guptos	n-s---mg-
Αἰγύπτῳ	*ai)gu/ptw|	Αἴγυπτος	*ai)/guptos	n-s---fd-
Αἰγύπτῳ	*ai)gu/ptw|	Αἴγυπτος	*ai)/guptos	n-s---md-
Αἰτεῖτε	*ai)tei=te	αἰτέω	ai)te/w	v2ppma---
Αἰτεῖτε	*ai)tei=te	αἰτέω	ai)te/w	v2ppoa---
Αἰτεῖτε	*ai)tei=te	αἰτέω	ai)te/w	v2ppia---
Αἰτεῖτε	*ai)tei=te	αἰτέω	ai)te/w	v2piia---
Αἱ	*ai(	ὁ	o(	l-p---fn-
Αἱ	*ai(	ὁ	o(	l-p---fv-
Αἴγυπτον	*ai)/gupton	Αἴγυπτος	*ai)/guptos	n-s---fa-
Αἴγυπτον	*ai)/gupton	Αἴγυπτος	*ai)/guptos	n-s---ma-
Αἵματος	*ai(/matos	αἷμα	ai(=ma	n-s---ng-
Αὐτός	*au)to/s	αὐτός	au)to/s	n-s---mn-
Αὐτῶν	*au)tw=n	αὐτός	au)to/s	n-p---ng-
Αὐτῶν	*au)tw=n	αὐτός	au)to/s	n-p---fg-
Αὐτῶν	*au)tw=n	αὐτός	au)to/s	n-p---mg-
Βαβυλῶνος	*babulw=nos	Βαβυλών	*babulw/n	n-s---fg-
Βαβυλῶνος	*babulw=nos	Βαβυλών	*babulw/n	n-s---mg-
Βαραχίου	*baraxi/ou	Βαραχίας	*baraxi/as	n-s---mg-
Βαρθολομαῖος	*barqolomai=os	Βαρθολομαῖος	*barqolomai=os	a-s---mn-
Βασιλεύς	*basileu/s	βασιλεύς	basileu/s	n-s---mn-
Βδέλυγμα	*bde/lugma	βδέλυγμα	bde/lugma	n-s---nn-
Βδέλυγμα	*bde/lugma	βδέλυγμα	bde/lugma	n-s---nv-
Βδέλυγμα	*bde/lugma	βδέλυγμα	bde/lugma	n-s---na-
Βηθανίᾳ	*bhqani/a|	Βηθανία	*bhqani/a	n-s---fd-
Βηθλεέμ	*bhqlee/m	Βηθλεέμ	*bhqlee/m	n-s---n--
Βλέπετε	*ble/pete	βλέπω	ble/pw	v2ppma---
Βλέπετε	*ble/pete	βλέπω	ble/pw	v2ppia---
Βλέπετε	*ble/pete	βλέπω	ble/pw	v2piia---
Βίβλος	*bi/blos	Βίβλος	*bi/blos	n-s---mn-
Βίβλος	*bi/blos	βίβλος	bi/blos	n-s---fn-
Γαδαρηνῶν	*gadarhnw=n	Γαδαρηνός	*gadarhno/s	n-p---mg-
Γαλιλαία	*galilai/a	Γαλιλαία	*galilai/a	n-d---fn-
Γαλιλαία	*galilai/a	Γαλιλαία	*galilai/a	n-d---fv-
Γαλιλαία	*galilai/a	Γαλιλαία	*galilai/a	n-d---fa-
Γαλιλαία	*galilai/a	Γαλιλαία	*galilai/a	n-s---fn-
Γαλιλαία	*galilai/a	Γαλιλαία	*galilai/a	n-s---fv-
