Αἰγύπτου	*ai)gu/ptou	Αἴγυπτος	*ai)/guptos	urn:cite2:hmt:lsj.chicago_md:n2224	n-s---fg-
Αἰγύπτου	*ai)gu/ptou	Αἴγυπτος	*ai)/guptos	urn:cite2:hmt:lsj.chicago_md:n2224	n-s---mg-
Αἰγύπτῳ	*ai)gu/ptw|	Αἴγυπτος	*ai)/guptos	urn:cite2:hmt:lsj.chicago_md:n2224	n-s---fd-
Αἰγύπτῳ	*ai)gu/ptw|	Αἴγυπτος	*ai)/guptos	urn:cite2:hmt:lsj.chicago_md:n2224	n-s---md-
Αἰτεῖτε	*ai)tei=te	αἰτέω	ai)te/w	urn:cite2:hmt:lsj.chicago_md:n2754	v2ppma---
Αἰτεῖτε	*ai)tei=te	αἰτέω	ai)te/w	urn:cite2:hmt:lsj.chicago_md:n2754	v2ppoa---
Αἰτεῖτε	*ai)tei=te	αἰτέω	ai)te/w	urn:cite2:hmt:lsj.chicago_md:n2754	v2ppia---
Αἰτεῖτε	*ai)tei=te	αἰτέω	ai)te/w	urn:cite2:hmt:lsj.chicago_md:n2754	v2piia---
Αἱ	*ai(	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-p---fn-
Αἱ	*ai(	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-p---fv-
Αἴγυπτον	*ai)/gupton	Αἴγυπτος	*ai)/guptos	urn:cite2:hmt:lsj.chicago_md:n2224	n-s---fa-
Αἴγυπτον	*ai)/gupton	Αἴγυπτος	*ai)/guptos	urn:cite2:hmt:lsj.chicago_md:n2224	n-s---ma-
Αἵματος	*ai(/matos	αἷμα	ai(=ma	urn:cite2:hmt:lsj.chicago_md:n2392	n-s---ng-
Αὐτός	*au)to/s	αὐτός	au)to/s	urn:cite2:hmt:lsj.chicago_md:n17907	n-s---mn-
Αὐτῶν	*au)tw=n	αὐτός	au)to/s	urn:cite2:hmt:lsj.chicago_md:n17907	n-p---ng-
Αὐτῶν	*au)tw=n	αὐτός	au)to/s	urn:cite2:hmt:lsj.chicago_md:n17907	n-p---fg-
Αὐτῶν	*au)tw=n	αὐτός	au)to/s	urn:cite2:hmt:lsj.chicago_md:n17907	n-p---mg-
Βαβυλῶνος	*babulw=nos	Βαβυλών	*babulw/n	urn:cite2:hmt:lsj.chicago_md:n18968	n-s---fg-
Βαβυλῶνος	*babulw=nos	Βαβυλών	*babulw/n	urn:cite2:hmt:lsj.chicago_md:n18968	n-s---mg-
Βασιλεύς	*basileu/s	βασιλεύς	basileu/s	urn:cite2:hmt:lsj.chicago_md:n19546	n-s---mn-
Βδέλυγμα	*bde/lugma	βδέλυγμα	bde/lugma	urn:cite2:hmt:lsj.chicago_md:n19703	n-s---nn-
Βδέλυγμα	*bde/lugma	βδέλυγμα	bde/lugma	urn:cite2:hmt:lsj.chicago_md:n19703	n-s---nv-
Βδέλυγμα	*bde/lugma	βδέλυγμα	bde/lugma	urn:cite2:hmt:lsj.chicago_md:n19703	n-s---na-
Βλέπετε	*ble/pete	βλέπω	ble/pw	urn:cite2:hmt:lsj.chicago_md:n20097	v2ppma---
Βλέπετε	*ble/pete	βλέπω	ble/pw	urn:cite2:hmt:lsj.chicago_md:n20097	v2ppia---
Βλέπετε	*ble/pete	βλέπω	ble/pw	urn:cite2:hmt:lsj.chicago_md:n20097	v2piia---
Βίβλος	*bi/blos	Βίβλος	*bi/blos	urn:cite2:hmt:lsj.chicago_md:n19924a	n-s---mn-
