token_urn	surface_form	normalized_form	reason
	!citelibrary	!citelibrary	no_match_in_morph_dict
name	New Testament: Luke	New Testament: Luke	no_match_in_morph_dict
urn	urn:cite2:cex:fufolio.2026:nt_luke	urn:cite2:cex:fufolio.2026:nt_luke	no_match_in_morph_dict
license	CC Share Alike. For details, see more info.	CC Share Alike. For details, see more info.	no_match_in_morph_dict
	!ctscatalog	!ctscatalog	no_match_in_morph_dict
urn	citationScheme	citationScheme	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.token:	line/speech/speaker/token,line/speech/text/token	line/speech/speaker/token,line/speech/text/token	no_match_in_morph_dict
urn	citationScheme	citationScheme	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh:	chapter/verse	chapter/verse	no_match_in_morph_dict
	!ctsdata	!ctsdata	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh:1.5.token.5	Ἡρῴδου	Ἡρῴδου	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh:1.5.token.12	Ζαχαρίας	Ζαχαρίας	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh:1.5.token.15	Ἀβιά	Ἀβιά	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh:1.5.token.23	Ἀαρών	Ἀαρών	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh:1.5.token.29	Ἐλισάβετ	Ἐλισάβετ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh:1.7.token.8	ʹἦν	ʹἦν	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh:1.7.token.10	Ἐλισάβετʹ	Ἐλισάβετʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh:1.12.token.3	Ζαχαρίας	Ζαχαρίας	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.11	Ζαχαρία	Ζαχαρία	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.23	Ἐλισάβετ	Ἐλισάβετ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.33	Ἰωάννην	Ἰωάννην	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh:1.16.token.5	Ἰσραὴλ	Ἰσραήλ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh:1.18.token.3	Ζαχαρίας	Ζαχαρίας	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh:1.19.token.10	Γαβριὴλ	Γαβριήλ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh:1.21.token.7	Ζαχαρίαν	Ζαχαρίαν	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh:1.21.token.14	ʹἐν	ʹἐν	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh:1.21.token.17	αὐτόνʹ	αὐτόνʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh:1.24.token.7	Ἐλισάβετ	Ἐλισάβετ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh:1.26.token.10	Γαβριὴλ	Γαβριήλ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh:1.26.token.17	Γαλιλαίας	Γαλιλαίας	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh:1.26.token.20	Ναζαρὲθ	Ναζαρέθ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh:1.27.token.7	Ἰωσὴφ	Ἰωσήφ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh:1.27.token.10	Δαυὶδ	Δαυίδ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh:1.27.token.17	Μαριάμ	Μαριάμ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh:1.29.token.3	ʹἐπὶ	ʹἐπί	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh:1.29.token.6	διεταράχθηʹ	διεταράχθηʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh:1.29.token.9	ποταπὸς	ποταπός	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh:1.30.token.10	Μαριάμ	Μαριάμ	no_match_in_morph_dict
