’πάσαις	a)po/-a)/w	none-found	v2saoa---
’πάσαις	e)pi/-a)/w	none-found	v2saoa---
’τάς	e)/tai	none-found	n-p---ma-
’τῶν	e)/tai	none-found	n-p---mg-
Βαρθολομαῖον	*barqolomai=os	none-found	a-s---ma-
Βαρθολομαῖον	*barqolomai=os	none-found	a-s---nn-
Βαρθολομαῖον	*barqolomai=os	none-found	a-s---nv-
Βαρθολομαῖον	*barqolomai=os	none-found	a-s---na-
Γαλιλαίαν	*galilai/a	none-found	n-s---fa-
Γαλιλαίαν	*galilai=os	none-found	a-s---fa-
Γαλιλαίας	*galilai/a	none-found	n-p---fa-
Γαλιλαίας	*galilai/a	none-found	n-s---fg-
Γαλιλαίας	*galilai=os	none-found	a-p---fa-
Γαλιλαίας	*galilai=os	none-found	a-s---fg-
Γαλιλαίους	*galilai=os	none-found	a-p---ma-
Γαλιλαίων	*galilai=os	none-found	a-p---fg-
Γαλιλαίων	*galilai=os	none-found	a-p---mg-
Γαλιλαίων	*galilai=os	none-found	a-p---ng-
Γαλιλαίᾳ	*galilai/a	none-found	n-s---fd-
Γαλιλαίᾳ	*galilai=os	none-found	a-s---fd-
Γαλιλαῖοι	*galilai=os	none-found	a-p---mn-
Γαλιλαῖοι	*galilai=os	none-found	a-p---mv-
Γαλιλαῖός	*galilai=os	none-found	a-s---mn-
Γερασηνῶν	*gerashno/s	none-found	n-p---mg-
Ζακχαῖε	*zakxai=os	none-found	a-s---mv-
Ζακχαῖος	*zakxai=os	none-found	a-s---mn-
Ζαχαρία	*zaxari/as	none-found	n-s---mv-
Ζαχαρία	*zaxari/as	none-found	n-s---mg-
Ζαχαρίαν	*zaxari/as	none-found	n-s---ma-
Ζαχαρίας	*zaxari/as	none-found	n-s---mn-
Ζαχαρίου	*zaxari/as	none-found	n-s---mg-
Ζεβεδαίου	*zebedai=os	none-found	n-s---mg-
Θωμᾶν	*qwma=s	none-found	n-s---ma-
Θωμᾶν	qwma/zw	none-found	v-sfpamv-
Θωμᾶν	qwma/zw	none-found	v-sfpann-
Θωμᾶν	qwma/zw	none-found	v-sfpanv-
Θωμᾶν	qwma/zw	none-found	v-sfpana-
Θωμᾶν	qwma/zw	none-found	v-sfpamn-
Θωμᾶν	qwma/zw	none-found	v--fna---
Καφαρναούμ	*kafarnaou/m	none-found	n-s---m--
Κυρηναῖον	*kurhnai=os	none-found	a-s---ma-
Κυρηναῖον	*kurhnai=os	none-found	a-s---nn-
Κυρηναῖον	*kurhnai=os	none-found	a-s---nv-
Κυρηναῖον	*kurhnai=os	none-found	a-s---na-
Λυσανίου	lusani/hs	none-found	n-s---mg-
Λάζαρον	*la/zaros	none-found	n-s---ma-
Λάζαρος	*la/zaros	none-found	n-s---mn-
Μαγδαληνή	*magdalhnh/	none-found	n-s---fn-
Μαγδαληνή	*magdalhnh/	none-found	n-s---fv-
Μαθθαῖον	*maqqai=os	none-found	a-s---ma-
Μαθθαῖον	*maqqai=os	none-found	a-s---nn-
Μαθθαῖον	*maqqai=os	none-found	a-s---nv-
Μαθθαῖον	*maqqai=os	none-found	a-s---na-
Μακαρία	*makari/h	none-found	n-d---fn-
Μακαρία	*makari/h	none-found	n-d---fv-
Μακαρία	*makari/h	none-found	n-d---fa-
Μακαρία	*makari/h	none-found	n-s---fn-
Μακαρία	*makari/h	none-found	n-s---fv-
Μακάριαι	*makari/h	none-found	n-p---fn-
Μακάριαι	*makari/h	none-found	n-p---fv-
Μαριάμ	*maria/m	none-found	n-s---f--
Μαρία	*mari/a	none-found	n-d---fn-
Μαρία	*mari/a	none-found	n-d---fv-
Μαρία	*mari/a	none-found	n-d---fa-
Μαρίας	*mari/a	none-found	n-p---fa-
Μαρίας	*mari/a	none-found	n-s---fg-
Ματταθίου	*mattaqi/as	none-found	n-s---mg-
Μωϋσεῖ	*mwush=s-pl	none-found	n-s---md-
Μωϋσέα	*mwush=s	none-found	n-s---mg-
Μωϋσέως	*mwush=s-pl	none-found	n-s---mg-
Μωϋσέως	*mwush=s-pl	none-found	n-s---mg-
Μωϋσέως	*mwush=s-pl	none-found	n-s---mn-
Μωϋσῆς	*mwush=s	none-found	n-s---mn-
Μάρθα	*ma/rqa	none-found	n-s---fn-
Μάρθα	*ma/rqa	none-found	n-s---fv-
Ναζαρηνοῦ	*nazarhno/s	none-found	n-s---mg-
Ναζαρηνέ	*nazarhno/s	none-found	n-s---mv-
Ναζωραῖος	*nazwrai=os	none-found	a-s---mn-
Ναχώρ	*naxw/r	none-found	n-s---n--
Πιλάτου	*pila=tos	none-found	n-s---mg-
Πιλάτῳ	*pila=tos	none-found	n-s---md-
Πιλᾶτον	*pila=tos	none-found	n-s---ma-
Πιλᾶτος	*pila=tos	none-found	n-s---mn-
Ποῖα	*poi/as	none-found	n-s---mv-
Σαμαριτῶν	*samari/ths	none-found	n-p---mg-
Σαμαρίτης	*samari/ths	none-found	n-s---mn-
Σατανᾶς	*sata/n-pl	none-found	n-s---mn-
Σιδωνίας	*sidw/nios	none-found	a-p---fa-
Σιδωνίας	*sidw/nios	none-found	a-s---fg-
Σολομών	*solomw/n	none-found	n-s---mn-
Σολομών	*solomw/n	none-found	n-s---mv-
Σολομῶνος	*solomw/n	none-found	n-s---mg-
Συκῆν	*su/kh	none-found	n-s---fa-
Συκῆν	sukh=	none-found	n-s---fa-
Συκῆν	sukh=	none-found	n-s---fa-
Συμεών	*sumew/n	none-found	n-s---mn-
Συμεών	*sumew/n	none-found	n-s---mv-
Σήθ	*sh/q	none-found	n-s---nn-
Σήθ	*sh/q	none-found	n-s---nv-
Σήθ	*sh/q	none-found	n-s---na-
Τιβερίου	*tibe/rios	none-found	n-s---mg-
Τέθνηκεν	qnh/skw	none-found	v3sria---
Τέθνηκεν	qnh/skw	none-found	v3plia---
Τύρου	*tu/ras	none-found	n-s---mg-
Φαρισαίοις	*farisai=os	none-found	n-p---md-
Φαρισαίου	*farisai=os	none-found	n-s---mg-
Φαρισαίους	*farisai=os	none-found	n-p---ma-
Φαρισαίων	*farisai=os	none-found	n-p---mg-
Φαρισαῖοι	*farisai=os	none-found	n-p---mn-
Φαρισαῖοι	*farisai=os	none-found	n-p---mv-
Φαρισαῖος	*farisai=os	none-found	n-s---mn-
βαθέως	baqe/ws	none-found	d--------
βλητέον	blhte/os	none-found	n-s---ma-
βλητέον	blhte/os	none-found	n-s---fa-
βλητέον	blhte/os	none-found	n-s---nn-
βλητέον	blhte/os	none-found	n-s---nv-
βλητέον	blhte/os	none-found	n-s---na-
βορρᾶ	*bore/as-pl	none-found	n-s---mv-
βορρᾶ	*bore/as-pl	none-found	n-s---mg-
βορρᾶ	*bore/as-pl	none-found	n-s---mn-
γάρ’	ga/ron	none-found	n-p---nn-
γάρ’	ga/ron	none-found	n-p---nv-
γάρ’	ga/ron	none-found	n-p---na-
γήρει	ghra/w	none-found	v2spma---
γήρει	ghra/w	none-found	v3siia---
γύναι’	gu/naion	none-found	n-p---nn-
γύναι’	gu/naion	none-found	n-p---nv-
γύναι’	gu/naion	none-found	n-p---na-
διεγερθείς	dia/-e)gei/rw	none-found	v-sappmn-
διεγερθείς	dia/-e)gei/rw	none-found	v-sappmv-
διήγειραν	dia/-a)gei/rw	none-found	v3paia---
διήγειραν	dia/-e)gei/rw	none-found	v3paia---
δοκόν	doko/n	none-found	n-s---nn-
δοκόν	doko/n	none-found	n-s---nv-
δοκόν	doko/n	none-found	n-s---na-
δούλη	dou/lh	none-found	n-s---fn-
δούλη	dou/lh	none-found	n-s---fv-
δούλης	dou/lh	none-found	n-s---fg-
δωμάτων	dwmato/w	none-found	v3piia---
δωμάτων	dwmato/w	none-found	v1siia---
εὐθείας	eu)qei=a	none-found	n-p---fa-
εὐθείας	eu)qei=a	none-found	n-s---fg-
ζωή	zwh/	none-found	n-s---fn-
