Αἴτησόν	*ai)/thso/n	αἰτέω	ai)te/w	v2sama---
Αὐτός	*au)to/s	αὐτός	au)to/s	n-s---mn-
Βαρθολομαῖον	*barqolomai=on	Βαρθολομαῖος	*barqolomai=os	a-s---ma-
Βαρθολομαῖον	*barqolomai=on	Βαρθολομαῖος	*barqolomai=os	a-s---nn-
Βαρθολομαῖον	*barqolomai=on	Βαρθολομαῖος	*barqolomai=os	a-s---nv-
Βαρθολομαῖον	*barqolomai=on	Βαρθολομαῖος	*barqolomai=os	a-s---na-
Βασιλεύς	*basileu/s	βασιλεύς	basileu/s	n-s---mn-
Βηθανίας	*bhqani/as	Βηθανία	*bhqani/a	n-p---fa-
Βηθανίας	*bhqani/as	Βηθανία	*bhqani/a	n-s---fg-
Βηθανίᾳ	*bhqani/a|	Βηθανία	*bhqani/a	n-s---fd-
Βλέπεις	*ble/peis	βλέπω	ble/pw	v2spia---
Βλέπετε	*ble/pete	βλέπω	ble/pw	v2ppma---
Βλέπετε	*ble/pete	βλέπω	ble/pw	v2ppia---
Βλέπετε	*ble/pete	βλέπω	ble/pw	v2piia---
Βλέπω	*ble/pw	βλέπω	ble/pw	v1spsa---
Βλέπω	*ble/pw	βλέπω	ble/pw	v1spia---
Βροντῆς	*bronth=s	βροντάω	bronta/w	v2spia---
Βροντῆς	*bronth=s	βροντάω	bronta/w	v2spia---
Βροντῆς	*bronth=s	βροντάζω	bronta/zw	v2sfia---
Βροντῆς	*bronth=s	βροντή	bronth/	n-s---fg-
Γαλιλαίαν	*galilai/an	Γαλιλαία	*galilai/a	n-s---fa-
Γαλιλαίαν	*galilai/an	Γαλιλαῖος	*galilai=os	a-s---fa-
Γαλιλαίας	*galilai/as	Γαλιλαία	*galilai/a	n-p---fa-
Γαλιλαίας	*galilai/as	Γαλιλαία	*galilai/a	n-s---fg-
Γαλιλαίας	*galilai/as	Γαλιλαῖος	*galilai=os	a-p---fa-
Γαλιλαίας	*galilai/as	Γαλιλαῖος	*galilai=os	a-s---fg-
Γαλιλαίᾳ	*galilai/a|	Γαλιλαία	*galilai/a	n-s---fd-
Γαλιλαίᾳ	*galilai/a|	Γαλιλαῖος	*galilai=os	a-s---fd-
Γαλιλαῖος	*galilai=os	Γαλιλαῖος	*galilai=os	a-s---mn-
Γερασηνῶν	*gerashnw=n	Γερασηνός	*gerashno/s	n-p---mg-
Δαυείδ	*dauei/d	Δαυίδησ-πλ	*daui/dhs-pl	n-s---n--
Δεκαπόλει	*dekapo/lei	δεκάπολις	deka/polis	n-d---fn-
Δεκαπόλει	*dekapo/lei	δεκάπολις	deka/polis	n-d---fv-
Δεκαπόλει	*dekapo/lei	δεκάπολις	deka/polis	n-d---fa-
Δεκαπόλει	*dekapo/lei	δεκάπολις	deka/polis	n-s---fd-
Δεκαπόλει	*dekapo/lei	δεκάπολις	deka/polis	n-s---fd-
Δεκαπόλεως	*dekapo/lews	δεκάπολις	deka/polis	n-s---fg-
Δεῦτε	*deu=te	δεῦτε	deu=te	d--------
Διανοίχθητι	*dianoi/xqhti	διανοίγω	dianoi/gw	v2samp---
Διδάσκαλε	*dida/skale	διδάσκαλος	dida/skalos	n-s---mv-
Διδάσκαλε	*dida/skale	διδάσκαλος	dida/skalos	n-s---fv-
Διά	*dia/	Ζεύς	*zeu/s	n-s---ma-
Διά	*dia/	διά	dia/	r--------
Διέλθωμεν	*die/lqwmen	διέρχομαι	die/rxomai	v1pasa---
Διέλθωμεν	*die/lqwmen	διέρχομαι	die/rxomai	v1pasa---
Δυνάμεθα	*duna/meqa	δύναμαι	du/namai	v1ppie---
Δυνάμεθα	*duna/meqa	δύναμαι	du/namai	v1piie---
Δός	*do/s	δίδωμι	di/dwmi	v2sama---
Δότε	*do/te	δίδωμι	di/dwmi	v2pama---
Δότε	*do/te	δίδωμι	di/dwmi	v2paia---
Δότε	*do/te	δίδωμι	di/dwmi	v2paia---
Δώδεκα	*dw/deka	δώδεκα	dw/deka	m--------
Δῶρον	*dw=ron	Δῶρος	*dw=ros	n-s---ma-
Δῶρον	*dw=ron	δῶρον	dw=ron	n-s---nn-
Δῶρον	*dw=ron	δῶρον	dw=ron	n-s---nv-
Δῶρον	*dw=ron	δῶρον	dw=ron	n-s---na-
Εἰ	*ei)	εἰ	ei)	c--------
Εἰπόν	*ei)po/n	εἶπον	ei)=pon	v2sama---
Εἰπόν	*ei)po/n	εἶπον	ei)=pon	v-sapamv-
Εἰπόν	*ei)po/n	εἶπον	ei)=pon	v-sapann-
Εἰπόν	*ei)po/n	εἶπον	ei)=pon	v-sapanv-
Εἰπόν	*ei)po/n	εἶπον	ei)=pon	v-sapana-
Εἰς	*ei)s	εἰς	ei)s	r--------
Εἴ	*ei)/	εἰ	ei)	c--------
Εἶπεν	*ei)=pen	εἶπον	ei)=pon	v3saia---
Εἶπεν	*ei)=pen	εἶπον	ei)=pon	v3saia---
Εἶπεν	*ei)=pen	εἶπον	ei)=pon	v3saia---
Εἶπεν	*ei)=pen	εἶπον	ei)=pon	v3saia---
Εἷς	*ei(=s	εἷς	ei(=s	n-s---mn-
Ζεβεδαίου	*zebedai/ou	Ζεβεδαῖος	*zebedai=os	n-s---mg-
Ζεβεδαῖον	*zebedai=on	Ζεβεδαῖος	*zebedai=os	n-s---ma-
Θαδδαῖον	*qaddai=on	Θαδδαῖος	*qaddai=os	a-s---ma-
Θαδδαῖον	*qaddai=on	Θαδδαῖος	*qaddai=os	a-s---nn-
Θαδδαῖον	*qaddai=on	Θαδδαῖος	*qaddai=os	a-s---nv-
Θαδδαῖον	*qaddai=on	Θαδδαῖος	*qaddai=os	a-s---na-
Θαρσεῖτε	*qarsei=te	θαρσέω	qarse/w	v2ppma---
Θαρσεῖτε	*qarsei=te	θαρσέω	qarse/w	v2ppoa---
Θαρσεῖτε	*qarsei=te	θαρσέω	qarse/w	v2ppia---
Θαρσεῖτε	*qarsei=te	θαρσέω	qarse/w	v2piia---
Θυγάτηρ	*quga/thr	θυγάτηρ	quga/thr	n-s---fn-
Θωμᾶν	*qwma=n	Θωμᾶς	*qwma=s	n-s---ma-
Θωμᾶν	*qwma=n	θαυμάζω	qauma/zw	v-sfpamv-
Θωμᾶν	*qwma=n	θαυμάζω	qauma/zw	v-sfpann-
Θωμᾶν	*qwma=n	θαυμάζω	qauma/zw	v-sfpanv-
Θωμᾶν	*qwma=n	θαυμάζω	qauma/zw	v-sfpana-
Θωμᾶν	*qwma=n	θαυμάζω	qauma/zw	v-sfpamn-
Θωμᾶν	*qwma=n	θαυμάζω	qauma/zw	v--fna---
Θωμᾶν	*qwma=n	θωμάζω	qwma/zw	v-sfpamv-
Θωμᾶν	*qwma=n	θωμάζω	qwma/zw	v-sfpann-
Θωμᾶν	*qwma=n	θωμάζω	qwma/zw	v-sfpanv-
Θωμᾶν	*qwma=n	θωμάζω	qwma/zw	v-sfpana-
Θωμᾶν	*qwma=n	θωμάζω	qwma/zw	v-sfpamn-
Θωμᾶν	*qwma=n	θωμάζω	qwma/zw	v--fna---
Θάρσει	*qa/rsei	θάρσος	qa/rsos	n-d---nn-
Θάρσει	*qa/rsei	θάρσος	qa/rsos	n-d---nv-
Θάρσει	*qa/rsei	θάρσος	qa/rsos	n-d---na-
Θάρσει	*qa/rsei	θάρσος	qa/rsos	n-s---nd-
Θάρσει	*qa/rsei	θάρσος	qa/rsos	n-s---nd-
Θάρσει	*qa/rsei	θαρσέω	qarse/w	v2spma---
Θάρσει	*qa/rsei	θαρσέω	qarse/w	v3siia---
Θέλετε	*qe/lete	ἐθέλω	e)qe/lw	v2ppma---
Θέλετε	*qe/lete	ἐθέλω	e)qe/lw	v2ppia---
Θέλετε	*qe/lete	ἐθέλω	e)qe/lw	v2piia---
Θέλω	*qe/lw	ἐθέλω	e)qe/lw	v1spsa---
Θέλω	*qe/lw	ἐθέλω	e)qe/lw	v1spia---
Καθεύδετε	*kaqeu/dete	καθεύδω	kaqeu/dw	v2ppma---
Καθεύδετε	*kaqeu/dete	καθεύδω	kaqeu/dw	v2ppia---
