form	token_urn	expanded_form	presentation_form
δ’	urn:cts:greekLit:tlg0540.tlg001.fucex:14.token65	δέ	δέ
δ’	urn:cts:greekLit:tlg0540.tlg001.fucex:16.token37	δέ	δέ
δ’	urn:cts:greekLit:tlg0540.tlg001.fucex:17.token12	δέ	δέ
δ’	urn:cts:greekLit:tlg0540.tlg001.fucex:18.token14	δέ	δέ
δ’	urn:cts:greekLit:tlg0540.tlg001.fucex:23.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0540.tlg001.fucex:23.token41	δέ	δέ
δ’	urn:cts:greekLit:tlg0540.tlg001.fucex:23.token45	δέ	δέ
δ’	urn:cts:greekLit:tlg0540.tlg001.fucex:24.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0540.tlg001.fucex:24.token50	δέ	δέ
δ’	urn:cts:greekLit:tlg0540.tlg001.fucex:25.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0540.tlg001.fucex:25.token46	δέ	δέ
δ’	urn:cts:greekLit:tlg0540.tlg001.fucex:27.token47	δέ	δέ
δ’	urn:cts:greekLit:tlg0540.tlg001.fucex:29.token21	δέ	δέ
δ’	urn:cts:greekLit:tlg0540.tlg001.fucex:34.token27	δέ	δέ
δ’	urn:cts:greekLit:tlg0540.tlg001.fucex:41.token69	δέ	δέ
δ’	urn:cts:greekLit:tlg0540.tlg001.fucex:42.token45	δέ	δέ
δ’	urn:cts:greekLit:tlg0540.tlg001.fucex:49.token30	δέ	δέ
μεθ’	urn:cts:greekLit:tlg0540.tlg001.fucex:41.token12	μετά	μετά
μετ’	urn:cts:greekLit:tlg0540.tlg001.fucex:40.token63	μετά	μετά
οἶδ’	urn:cts:greekLit:tlg0540.tlg001.fucex:1.token30	οἶδα	οἶδα
οὐδ’	urn:cts:greekLit:tlg0540.tlg001.fucex:13.token22	οὐδέ	οὐδέ
οὐδ’	urn:cts:greekLit:tlg0540.tlg001.fucex:14.token66	οὐδέ	οὐδέ
οὐδ’	urn:cts:greekLit:tlg0540.tlg001.fucex:27.token24	οὐδέ	οὐδέ
παρ’	urn:cts:greekLit:tlg0540.tlg001.fucex:2.token7	παρά	παρά
παρ’	urn:cts:greekLit:tlg0540.tlg001.fucex:15.token48	παρά	παρά
παρ’	urn:cts:greekLit:tlg0540.tlg001.fucex:18.token66	παρά	παρά
παρ’	urn:cts:greekLit:tlg0540.tlg001.fucex:20.token3	παρά	παρά
παρ’	urn:cts:greekLit:tlg0540.tlg001.fucex:43.token11	παρά	παρά
ταῦθ’	urn:cts:greekLit:tlg0540.tlg001.fucex:9.token12		ταῦθ’
τριάκονθ’	urn:cts:greekLit:tlg0540.tlg001.fucex:14.token61		τριάκονθ’
ἀλλ’	urn:cts:greekLit:tlg0540.tlg001.fucex:2.token12	ἀλλά	ἀλλά
ἀλλ’	urn:cts:greekLit:tlg0540.tlg001.fucex:10.token39	ἀλλά	ἀλλά
ἀλλ’	urn:cts:greekLit:tlg0540.tlg001.fucex:25.token41	ἀλλά	ἀλλά
ἀλλ’	urn:cts:greekLit:tlg0540.tlg001.fucex:26.token2	ἀλλά	ἀλλά
ἀλλ’	urn:cts:greekLit:tlg0540.tlg001.fucex:28.token1	ἀλλά	ἀλλά
ἀλλ’	urn:cts:greekLit:tlg0540.tlg001.fucex:28.token23	ἀλλά	ἀλλά
ἀλλ’	urn:cts:greekLit:tlg0540.tlg001.fucex:29.token7	ἀλλά	ἀλλά
ἀλλ’	urn:cts:greekLit:tlg0540.tlg001.fucex:47.token18	ἀλλά	ἀλλά
ἀνθ’	urn:cts:greekLit:tlg0540.tlg001.fucex:33.token44		ἀνθ’
ἐπ’	urn:cts:greekLit:tlg0540.tlg001.fucex:6.token29	ἐπί	ἐπί
ἐπ’	urn:cts:greekLit:tlg0540.tlg001.fucex:8.token1	ἐπί	ἐπί
ἐπ’	urn:cts:greekLit:tlg0540.tlg001.fucex:21.token28	ἐπί	ἐπί
ἐπ’	urn:cts:greekLit:tlg0540.tlg001.fucex:31.token53	ἐπί	ἐπί
ἐπ’	urn:cts:greekLit:tlg0540.tlg001.fucex:33.token23	ἐπί	ἐπί
ἐφ’	urn:cts:greekLit:tlg0540.tlg001.fucex:30.token39	ἐπί	ἐπί
ἐφ’	urn:cts:greekLit:tlg0540.tlg001.fucex:32.token26	ἐπί	ἐπί
ἔμ’	urn:cts:greekLit:tlg0540.tlg001.fucex:21.token22		ἔμ’
ἵν’	urn:cts:greekLit:tlg0540.tlg001.fucex:42.token17	ἵνα	ἵνα
ὑπ’	urn:cts:greekLit:tlg0540.tlg001.fucex:45.token44	ὑπό	ὑπό
ὥστ’	urn:cts:greekLit:tlg0540.tlg001.fucex:33.token10	ὥστε	ὥστε
